trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,860,960,1,0,1,1
2,100,0,3,1151,1356,1,0,0,0
3,100,0,3,1258,928,1,1,1,1
4,100,0,3,782,856,1,0,0,1
5,100,0,3,834,891,1,0,1,1
6,100,0,3,1246,808,1,0,1,0
7,100,0,3,820,1111,1,1,0,1
8,100,0,3,870,1183,1,0,1,1
9,100,0,3,824,1105,1,0,1,0
10,100,0,3,1161,1024,1,0,0,1
11,100,0,3,876,1085,1,1,0,1
12,100,0,3,949,884,1,0,0,1
1,100,1,3,1366,794,1,0,1,1
2,100,1,3,1217,1210,1,0,1,1
3,100,1,3,867,1141,1,0,0,1
4,100,1,3,846,1456,1,1,1,0
5,100,1,3,834,1436,1,0,0,1
6,100,1,3,902,1007,1,0,0,1
7,100,1,3,1244,1036,1,0,1,1
8,100,1,3,907,768,1,1,0,0
9,100,1,3,1298,842,1,1,1,1
10,100,1,3,866,833,1,0,1,1
11,100,1,3,1031,861,1,0,0,0
12,100,1,3,1027,1315,1,0,0,1
1,100,2,3,1042,977,1,0,1,1
2,100,2,3,985,1478,1,0,1,0
3,100,2,3,1321,941,1,1,0,1
4,100,2,3,1317,1085,1,0,0,1
5,100,2,3,1218,904,1,0,1,1
6,100,2,3,1029,995,1,0,1,0
7,100,2,3,989,1020,1,1,0,1
8,100,2,3,855,1272,1,0,0,1
9,100,2,3,883,1027,1,0,1,1
10,100,2,3,1357,1317,1,0,0,0
11,100,2,3,1256,783,1,1,1,1
12,100,2,3,854,1292,1,0,0,1
1,100,3,3,905,753,1,0,1,1
2,100,3,3,1049,1280,1,1,0,0
3,100,3,3,1179,1414,1,0,0,1
4,100,3,3,784,758,1,0,0,1
5,100,3,3,889,1441,1,0,1,1
6,100,3,3,818,1266,1,1,0,0
7,100,3,3,1201,1151,1,0,1,1
8,100,3,3,922,784,1,0,1,1
9,100,3,3,1460,942,1,1,0,0
10,100,3,3,868,1090,1,0,1,1
11,100,3,3,757,1168,1,0,1,1
12,100,3,3,976,1032,1,0,0,1
1,100,4,3,1107,873,1,0,0,0
2,100,4,3,1029,966,1,0,0,1
3,100,4,3,861,1030,1,0,1,1
4,100,4,3,757,1219,1,1,0,1
5,100,4,3,792,1149,1,0,1,0
6,100,4,3,1011,1081,1,0,1,1
7,100,4,3,1049,760,1,0,1,1
8,100,4,3,877,1127,1,1,0,1
9,100,4,3,817,778,1,0,1,0
10,100,4,3,1305,1302,1,0,0,1
11,100,4,3,1466,1183,1,1,1,1
12,100,4,3,1344,1395,1,0,0,1
1,100,5,3,995,799,1,0,0,1
2,100,5,3,1025,1104,1,0,1,1
3,100,5,3,1042,868,1,1,1,0
4,100,5,3,760,1355,1,0,1,1
5,100,5,3,1183,1424,1,0,0,0
6,100,5,3,813,819,1,1,0,1
7,100,5,3,1441,1253,1,0,0,1
8,100,5,3,793,1064,1,0,1,1
9,100,5,3,906,1363,1,0,1,0
10,100,5,3,1320,984,1,1,0,1
11,100,5,3,774,878,1,0,0,1
12,100,5,3,1262,815,1,0,1,1
1,100,0,3,1175,1435,2,0,0,1
2,100,0,3,1277,1092,2,0,0,1
3,100,0,3,1161,886,2,0,1,1
4,100,0,3,886,756,2,1,0,0
5,100,0,3,1425,1026,2,0,1,1
6,100,0,3,795,800,2,1,1,1
7,100,0,3,981,909,2,0,0,0
8,100,0,3,757,1415,2,0,0,1
9,100,0,3,811,842,2,0,1,1
10,100,0,3,979,850,2,1,1,1
11,100,0,3,832,1456,2,0,1,0
12,100,0,3,1164,992,2,0,0,1
1,100,1,3,788,878,2,0,0,1
2,100,1,3,1104,918,2,0,0,1
3,100,1,3,863,1303,2,1,1,0
4,100,1,3,1418,995,2,0,0,1
5,100,1,3,1211,756,2,0,1,1
6,100,1,3,1371,1037,2,1,0,1
7,100,1,3,1214,929,2,0,1,0
8,100,1,3,1347,1017,2,0,1,1
9,100,1,3,780,829,2,1,0,0
10,100,1,3,1020,1172,2,0,1,1
11,100,1,3,1374,1058,2,0,1,1
12,100,1,3,817,1148,2,0,0,1
1,100,2,3,868,1372,2,0,0,1
2,100,2,3,825,1134,2,0,0,1
3,100,2,3,791,885,2,1,0,0
4,100,2,3,771,982,2,0,1,1
5,100,2,3,1144,1081,2,0,0,1
6,100,2,3,1140,802,2,1,1,1
7,100,2,3,1342,1081,2,0,1,0
8,100,2,3,793,1349,2,0,1,1
9,100,2,3,936,896,2,0,0,1
10,100,2,3,763,934,2,1,0,0
11,100,2,3,966,1221,2,0,1,1
12,100,2,3,1423,1273,2,0,1,1
1,100,3,3,983,893,2,0,1,1
2,100,3,3,905,915,2,1,1,1
3,100,3,3,1314,912,2,0,1,1
4,100,3,3,833,982,2,0,0,0
5,100,3,3,1227,1430,2,0,0,1
6,100,3,3,896,1031,2,1,0,1
7,100,3,3,955,1057,2,0,1,1
8,100,3,3,830,1001,2,0,0,0
9,100,3,3,1357,1176,2,0,0,1
10,100,3,3,1343,1424,2,1,1,1
11,100,3,3,1199,1145,2,0,1,1
12,100,3,3,815,1231,2,0,0,0
1,100,4,3,888,1117,2,0,1,1
2,100,4,3,1151,783,2,0,0,1
3,100,4,3,800,857,2,1,1,0
4,100,4,3,1210,811,2,0,0,1
5,100,4,3,1139,817,2,1,1,1
6,100,4,3,1337,952,2,0,1,1
7,100,4,3,960,1443,2,0,1,0
8,100,4,3,886,1410,2,0,0,1
9,100,4,3,866,1029,2,1,0,1
10,100,4,3,760,818,2,0,0,0
11,100,4,3,836,1284,2,0,1,1
12,100,4,3,1113,785,2,0,0,1
1,100,5,3,954,976,2,0,1,1
2,100,5,3,797,1303,2,0,1,1
3,100,5,3,970,1253,2,0,0,0
4,100,5,3,789,998,2,1,1,1
5,100,5,3,766,1088,2,0,0,1
6,100,5,3,839,800,2,0,0,0
7,100,5,3,1272,819,2,0,1,1
8,100,5,3,897,1260,2,1,0,1
9,100,5,3,879,1131,2,0,0,0
10,100,5,3,986,935,2,0,1,1
11,100,5,3,974,805,2,1,1,1
12,100,5,3,1068,962,2,0,0,1
