trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,434,276,1
2,4,5,0,0,0,9,341,345,1
3,3,4,1,0,0,9,501,493,1
4,7,8,0,1,0,9,859,315,1
5,7,8,1,1,0,9,547,370,1
6,2,3,0,1,0,9,886,410,1
7,0,1,1,1,0,9,344,411,1
8,1,2,1,1,0,9,674,440,1
9,0,1,0,1,0,9,653,415,1
10,3,4,0,1,0,9,654,376,1
11,6,7,0,0,0,9,542,443,1
12,1,2,0,0,0,9,390,791,1
13,5,6,0,0,0,9,965,440,1
14,2,3,1,1,0,9,468,348,1
15,5,6,1,0,0,9,997,279,1
16,4,5,1,0,0,9,577,529,1
1,6,7,1,0,1,9,286,379,1
2,4,5,0,0,1,9,559,921,1
3,3,4,1,0,1,9,486,369,1
4,7,8,0,1,1,9,471,463,1
5,7,8,1,1,1,9,480,734,1
6,2,3,0,1,1,9,642,362,1
7,0,1,1,1,1,9,425,863,1
8,1,2,1,1,1,9,340,406,1
9,0,1,0,1,1,9,590,325,1
10,3,4,0,1,1,9,477,423,1
11,6,7,0,0,1,9,260,587,1
12,1,2,0,0,1,9,610,458,1
13,5,6,0,0,1,9,567,268,1
14,2,3,1,1,1,9,977,283,1
15,5,6,1,0,1,9,487,436,1
16,4,5,1,0,1,9,962,771,1
1,6,7,1,0,2,9,607,870,1
2,4,5,0,0,2,9,480,777,1
3,3,4,1,0,2,9,278,447,1
4,7,8,0,1,2,9,368,790,1
5,7,8,1,1,2,9,489,623,1
6,2,3,0,1,2,9,452,607,1
7,0,1,1,1,2,9,855,380,1
8,1,2,1,1,2,9,793,632,1
9,0,1,0,1,2,9,326,881,1
10,3,4,0,1,2,9,542,296,1
11,6,7,0,0,2,9,417,574,1
12,1,2,0,0,2,9,853,496,1
13,5,6,0,0,2,9,426,684,1
14,2,3,1,1,2,9,295,688,1
15,5,6,1,0,2,9,959,593,1
16,4,5,1,0,2,9,400,958,1
1,6,7,1,0,3,9,422,338,1
2,4,5,0,0,3,9,317,417,1
3,3,4,1,0,3,9,692,529,1
4,7,8,0,1,3,9,931,904,1
5,7,8,1,1,3,9,286,497,1
6,2,3,0,1,3,9,350,607,1
7,0,1,1,1,3,9,353,288,1
8,1,2,1,1,3,9,533,679,1
9,0,1,0,1,3,9,586,453,1
10,3,4,0,1,3,9,558,359,1
11,6,7,0,0,3,9,504,268,1
12,1,2,0,0,3,9,496,794,1
13,5,6,0,0,3,9,661,299,1
14,2,3,1,1,3,9,338,836,1
15,5,6,1,0,3,9,459,577,1
16,4,5,1,0,3,9,415,427,1
1,6,7,1,0,4,9,816,627,1
2,4,5,0,0,4,9,496,962,1
3,3,4,1,0,4,9,677,953,1
4,7,8,0,1,4,9,386,853,1
5,7,8,1,1,4,9,375,385,1
6,2,3,0,1,4,9,692,440,1
7,0,1,1,1,4,9,587,523,1
8,1,2,1,1,4,9,616,272,1
9,0,1,0,1,4,9,600,725,1
10,3,4,0,1,4,9,567,998,1
11,6,7,0,0,4,9,275,297,1
12,1,2,0,0,4,9,814,661,1
13,5,6,0,0,4,9,498,476,1
14,2,3,1,1,4,9,324,611,1
15,5,6,1,0,4,9,314,259,1
16,4,5,1,0,4,9,301,572,1
1,6,7,1,0,5,9,996,598,1
2,4,5,0,0,5,9,856,364,1
3,3,4,1,0,5,9,582,384,1
4,7,8,0,1,5,9,895,838,1
5,7,8,1,1,5,9,865,674,1
6,2,3,0,1,5,9,536,921,1
7,0,1,1,1,5,9,674,426,1
8,1,2,1,1,5,9,499,433,1
9,0,1,0,1,5,9,412,556,1
10,3,4,0,1,5,9,286,337,1
11,6,7,0,0,5,9,841,571,1
12,1,2,0,0,5,9,908,283,1
13,5,6,0,0,5,9,458,274,1
14,2,3,1,1,5,9,494,612,1
15,5,6,1,0,5,9,636,269,1
16,4,5,1,0,5,9,900,564,1
1,6,7,1,0,0,9,285,844,2
2,4,5,0,0,0,9,589,439,2
3,3,4,1,0,0,9,649,904,2
4,7,8,0,1,0,9,319,836,2
5,7,8,1,1,0,9,255,404,2
6,2,3,0,1,0,9,835,522,2
7,0,1,1,1,0,9,438,693,2
8,1,2,1,1,0,9,897,428,2
9,0,1,0,1,0,9,369,737,2
10,3,4,0,1,0,9,515,597,2
11,6,7,0,0,0,9,253,705,2
12,1,2,0,0,0,9,550,631,2
13,5,6,0,0,0,9,642,547,2
14,2,3,1,1,0,9,494,257,2
15,5,6,1,0,0,9,428,288,2
16,4,5,1,0,0,9,435,756,2
1,6,7,1,0,1,9,378,816,2
2,4,5,0,0,1,9,882,335,2
3,3,4,1,0,1,9,550,432,2
4,7,8,0,1,1,9,264,828,2
5,7,8,1,1,1,9,300,381,2
6,2,3,0,1,1,9,370,329,2
7,0,1,1,1,1,9,252,947,2
8,1,2,1,1,1,9,396,467,2
9,0,1,0,1,1,9,403,649,2
10,3,4,0,1,1,9,791,582,2
11,6,7,0,0,1,9,344,524,2
12,1,2,0,0,1,9,308,575,2
13,5,6,0,0,1,9,353,650,2
14,2,3,1,1,1,9,364,509,2
15,5,6,1,0,1,9,659,393,2
16,4,5,1,0,1,9,389,293,2
1,6,7,1,0,2,9,579,335,2
2,4,5,0,0,2,9,360,759,2
3,3,4,1,0,2,9,341,434,2
4,7,8,0,1,2,9,807,502,2
5,7,8,1,1,2,9,428,441,2
6,2,3,0,1,2,9,427,478,2
7,0,1,1,1,2,9,939,298,2
8,1,2,1,1,2,9,268,588,2
9,0,1,0,1,2,9,305,283,2
10,3,4,0,1,2,9,481,304,2
11,6,7,0,0,2,9,792,534,2
12,1,2,0,0,2,9,560,547,2
13,5,6,0,0,2,9,476,711,2
14,2,3,1,1,2,9,344,844,2
15,5,6,1,0,2,9,363,507,2
16,4,5,1,0,2,9,443,955,2
1,6,7,1,0,3,9,336,514,2
2,4,5,0,0,3,9,472,321,2
3,3,4,1,0,3,9,723,708,2
4,7,8,0,1,3,9,735,410,2
5,7,8,1,1,3,9,969,494,2
6,2,3,0,1,3,9,403,541,2
7,0,1,1,1,3,9,254,457,2
8,1,2,1,1,3,9,320,530,2
9,0,1,0,1,3,9,414,376,2
10,3,4,0,1,3,9,561,393,2
11,6,7,0,0,3,9,602,792,2
12,1,2,0,0,3,9,358,847,2
13,5,6,0,0,3,9,421,402,2
14,2,3,1,1,3,9,685,431,2
15,5,6,1,0,3,9,536,420,2
16,4,5,1,0,3,9,710,284,2
1,6,7,1,0,4,9,477,319,2
2,4,5,0,0,4,9,649,296,2
3,3,4,1,0,4,9,864,436,2
4,7,8,0,1,4,9,317,671,2
5,7,8,1,1,4,9,306,840,2
6,2,3,0,1,4,9,304,733,2
7,0,1,1,1,4,9,977,371,2
8,1,2,1,1,4,9,589,567,2
9,0,1,0,1,4,9,324,614,2
10,3,4,0,1,4,9,690,696,2
11,6,7,0,0,4,9,843,422,2
12,1,2,0,0,4,9,440,918,2
13,5,6,0,0,4,9,349,426,2
14,2,3,1,1,4,9,584,549,2
15,5,6,1,0,4,9,595,636,2
16,4,5,1,0,4,9,401,420,2
1,6,7,1,0,5,9,803,269,2
2,4,5,0,0,5,9,686,558,2
3,3,4,1,0,5,9,677,551,2
4,7,8,0,1,5,9,772,563,2
5,7,8,1,1,5,9,545,770,2
6,2,3,0,1,5,9,497,282,2
7,0,1,1,1,5,9,256,306,2
8,1,2,1,1,5,9,855,424,2
9,0,1,0,1,5,9,722,391,2
10,3,4,0,1,5,9,274,606,2
11,6,7,0,0,5,9,590,492,2
12,1,2,0,0,5,9,734,362,2
13,5,6,0,0,5,9,892,729,2
14,2,3,1,1,5,9,664,760,2
15,5,6,1,0,5,9,423,523,2
16,4,5,1,0,5,9,380,516,2
