trial_n,gen,condition,task,ITI,ISI,block
1,6,0,4,261,811,1
2,2,0,4,386,903,1
3,5,0,4,530,515,1
4,1,0,4,651,493,1
5,3,0,4,734,448,1
6,4,0,4,667,503,1
7,4,0,4,322,476,1
8,3,0,4,431,619,1
9,6,0,4,767,858,1
10,8,0,4,750,750,1
11,5,0,4,664,384,1
12,7,0,4,895,714,1
13,0,0,4,412,252,1
14,8,0,4,834,501,1
15,0,0,4,258,427,1
16,2,0,4,437,356,1
17,1,0,4,392,892,1
18,7,0,4,514,511,1
1,2,1,4,540,447,1
2,3,1,4,579,772,1
3,5,1,4,509,541,1
4,6,1,4,928,616,1
5,7,1,4,635,333,1
6,2,1,4,327,619,1
7,3,1,4,757,342,1
8,6,1,4,329,369,1
9,1,1,4,358,631,1
10,4,1,4,557,454,1
11,1,1,4,671,568,1
12,0,1,4,299,739,1
13,7,1,4,257,572,1
14,8,1,4,520,820,1
15,8,1,4,404,310,1
16,0,1,4,549,388,1
17,5,1,4,645,421,1
18,4,1,4,647,401,1
1,2,2,4,337,851,1
2,0,2,4,340,588,1
3,1,2,4,821,522,1
4,0,2,4,527,645,1
5,7,2,4,673,306,1
6,1,2,4,388,309,1
7,8,2,4,488,832,1
8,7,2,4,264,644,1
9,4,2,4,619,364,1
10,2,2,4,486,528,1
11,4,2,4,549,693,1
12,3,2,4,252,459,1
13,6,2,4,711,513,1
14,3,2,4,943,661,1
15,8,2,4,343,398,1
16,6,2,4,338,752,1
17,5,2,4,251,379,1
18,5,2,4,274,420,1
1,6,3,4,380,946,1
2,0,3,4,548,643,1
3,6,3,4,588,976,1
4,5,3,4,446,523,1
5,3,3,4,276,837,1
6,4,3,4,758,816,1
7,8,3,4,324,958,1
8,7,3,4,412,540,1
9,0,3,4,333,905,1
10,1,3,4,288,628,1
11,1,3,4,479,565,1
12,3,3,4,463,552,1
13,5,3,4,771,501,1
14,8,3,4,251,345,1
15,4,3,4,346,620,1
16,7,3,4,610,414,1
17,2,3,4,348,511,1
18,2,3,4,448,439,1
1,8,4,4,277,265,1
2,1,4,4,878,846,1
3,6,4,4,663,423,1
4,4,4,4,619,904,1
5,2,4,4,295,256,1
6,3,4,4,255,374,1
7,5,4,4,715,453,1
8,7,4,4,574,558,1
9,3,4,4,873,574,1
