trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,849,1337,1,0,1,1
2,100,0,3,1383,1014,1,0,1,1
3,100,0,3,902,1355,1,0,0,0
4,100,0,3,982,857,1,1,0,1
5,100,0,3,1064,810,1,0,0,1
6,100,0,3,1099,800,1,0,1,0
7,100,0,3,1259,847,1,1,1,1
8,100,0,3,784,812,1,0,1,1
9,100,0,3,1464,830,1,0,0,0
10,100,0,3,1401,964,1,1,1,1
11,100,0,3,1372,1337,1,0,0,1
12,100,0,3,1363,1473,1,0,0,1
1,100,1,3,1166,985,1,0,0,1
2,100,1,3,870,1444,1,0,1,1
3,100,1,3,895,1115,1,1,1,1
4,100,1,3,1196,795,1,0,1,0
5,100,1,3,808,1226,1,0,0,1
6,100,1,3,851,1024,1,0,1,0
7,100,1,3,881,997,1,1,0,1
8,100,1,3,1209,1151,1,0,0,1
9,100,1,3,913,759,1,0,0,1
10,100,1,3,1392,921,1,1,1,0
11,100,1,3,1248,918,1,0,0,1
12,100,1,3,1085,1123,1,0,1,1
1,100,2,3,862,772,1,0,1,1
2,100,2,3,775,1239,1,0,0,0
3,100,2,3,931,1022,1,0,1,1
4,100,2,3,918,1128,1,1,0,1
5,100,2,3,1327,1172,1,0,0,1
6,100,2,3,897,846,1,0,0,0
7,100,2,3,1150,1227,1,1,1,1
8,100,2,3,1235,1334,1,0,1,1
9,100,2,3,846,805,1,0,1,1
10,100,2,3,1413,1273,1,1,0,0
11,100,2,3,793,786,1,0,0,1
12,100,2,3,833,922,1,0,1,1
1,100,3,3,995,942,1,0,0,1
2,100,3,3,914,909,1,0,1,1
3,100,3,3,1486,819,1,0,1,0
4,100,3,3,1397,1229,1,1,0,1
5,100,3,3,1105,836,1,0,0,1
6,100,3,3,1215,918,1,0,1,0
7,100,3,3,881,768,1,0,1,1
8,100,3,3,859,1393,1,1,1,1
9,100,3,3,981,1166,1,0,0,0
10,100,3,3,1015,767,1,0,0,1
11,100,3,3,821,968,1,1,1,1
12,100,3,3,925,999,1,0,0,1
1,100,4,3,875,920,1,0,0,1
2,100,4,3,973,1289,1,1,1,1
3,100,4,3,827,1449,1,0,0,1
4,100,4,3,1343,1460,1,0,0,0
5,100,4,3,1067,1188,1,0,0,1
6,100,4,3,1094,976,1,1,1,1
7,100,4,3,825,932,1,0,1,1
8,100,4,3,793,1073,1,0,0,0
9,100,4,3,1225,793,1,1,1,0
10,100,4,3,1431,1181,1,0,0,1
11,100,4,3,1191,1428,1,0,1,1
12,100,4,3,772,924,1,0,1,1
1,100,5,3,1267,1162,1,0,0,1
2,100,5,3,832,1054,1,0,1,1
3,100,5,3,884,1323,1,0,1,0
4,100,5,3,957,1483,1,1,1,1
5,100,5,3,1467,1412,1,1,0,1
6,100,5,3,1154,895,1,0,0,1
7,100,5,3,1403,811,1,0,0,0
8,100,5,3,793,875,1,0,1,1
9,100,5,3,1394,1236,1,1,0,1
10,100,5,3,1241,1224,1,0,1,0
11,100,5,3,781,1378,1,0,0,1
12,100,5,3,803,1165,1,0,1,1
1,100,0,3,1010,773,2,0,1,1
2,100,0,3,793,1427,2,0,0,0
3,100,0,3,936,1255,2,0,1,1
4,100,0,3,1092,1061,2,1,0,1
5,100,0,3,917,752,2,1,1,1
6,100,0,3,1323,783,2,0,0,0
7,100,0,3,838,752,2,0,0,1
8,100,0,3,792,1252,2,0,1,1
9,100,0,3,1295,1241,2,1,0,0
10,100,0,3,1180,1418,2,0,0,1
11,100,0,3,876,1391,2,0,1,1
12,100,0,3,1498,915,2,0,1,1
1,100,1,3,1092,1264,2,0,1,1
2,100,1,3,1386,791,2,1,0,0
3,100,1,3,971,949,2,0,1,1
4,100,1,3,773,884,2,0,0,1
5,100,1,3,873,936,2,0,0,0
6,100,1,3,1150,1276,2,1,1,1
7,100,1,3,1098,826,2,0,0,1
8,100,1,3,906,1128,2,0,1,1
9,100,1,3,848,808,2,1,0,0
10,100,1,3,1369,844,2,0,1,1
11,100,1,3,952,1239,2,0,0,1
12,100,1,3,1124,897,2,0,1,1
1,100,2,3,1290,1042,2,0,0,1
2,100,2,3,765,1331,2,0,1,1
3,100,2,3,1197,957,2,0,0,0
4,100,2,3,954,1395,2,1,1,1
5,100,2,3,1170,1346,2,1,0,1
6,100,2,3,1281,1221,2,0,0,1
7,100,2,3,1046,1227,2,0,1,0
8,100,2,3,1347,1160,2,0,0,1
9,100,2,3,931,1137,2,1,0,0
10,100,2,3,947,909,2,0,1,1
11,100,2,3,1131,827,2,0,1,1
12,100,2,3,1077,1171,2,0,1,1
1,100,3,3,769,836,2,0,1,1
2,100,3,3,790,1414,2,0,1,1
3,100,3,3,1031,1124,2,1,0,1
4,100,3,3,1195,1263,2,0,0,0
5,100,3,3,840,1001,2,0,1,1
6,100,3,3,757,885,2,1,1,1
7,100,3,3,1056,1232,2,0,0,0
8,100,3,3,794,1488,2,0,1,1
9,100,3,3,999,1147,2,0,1,1
10,100,3,3,1369,876,2,1,0,0
11,100,3,3,1054,846,2,0,0,1
12,100,3,3,827,894,2,0,0,1
1,100,4,3,1265,805,2,0,0,1
2,100,4,3,895,836,2,0,1,1
3,100,4,3,991,1443,2,1,1,1
4,100,4,3,1219,790,2,0,0,0
5,100,4,3,863,775,2,0,1,1
6,100,4,3,772,1170,2,0,0,1
7,100,4,3,1009,891,2,1,1,0
8,100,4,3,1346,842,2,0,0,1
9,100,4,3,1099,954,2,1,1,1
10,100,4,3,884,1243,2,0,0,0
11,100,4,3,1083,1381,2,0,1,1
12,100,4,3,927,935,2,0,0,1
1,100,5,3,910,816,2,0,1,1
2,100,5,3,828,830,2,0,1,1
3,100,5,3,759,1027,2,0,0,1
4,100,5,3,924,1108,2,1,1,0
5,100,5,3,1427,1202,2,0,1,1
6,100,5,3,1253,878,2,0,0,1
7,100,5,3,1339,1384,2,0,1,0
8,100,5,3,966,915,2,1,0,1
9,100,5,3,1492,864,2,0,1,1
10,100,5,3,881,757,2,0,0,1
11,100,5,3,905,948,2,1,0,0
12,100,5,3,1096,1178,2,0,0,1
