trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,1198,1282,1,0,1,0
2,100,0,3,818,1198,1,0,1,1
3,100,0,3,955,885,1,0,1,1
4,100,0,3,1330,886,1,1,0,1
5,100,0,3,831,986,1,0,0,0
6,100,0,3,758,1344,1,0,0,1
7,100,0,3,868,1478,1,0,1,1
8,100,0,3,824,1441,1,1,1,1
9,100,0,3,914,1356,1,0,1,0
10,100,0,3,1184,1044,1,1,0,1
11,100,0,3,1409,1076,1,0,0,1
12,100,0,3,995,903,1,0,0,1
1,100,1,3,816,1393,1,0,0,1
2,100,1,3,1256,828,1,0,0,1
3,100,1,3,762,877,1,1,1,0
4,100,1,3,820,1058,1,0,0,1
5,100,1,3,786,751,1,0,1,0
6,100,1,3,1466,921,1,0,1,1
7,100,1,3,805,930,1,1,0,1
8,100,1,3,1093,1253,1,0,1,1
9,100,1,3,1273,1370,1,0,0,0
10,100,1,3,1416,1295,1,1,1,1
11,100,1,3,1090,751,1,0,0,1
12,100,1,3,888,1271,1,0,1,1
1,100,2,3,827,1242,1,0,0,1
2,100,2,3,798,884,1,0,0,1
3,100,2,3,906,817,1,0,1,0
4,100,2,3,894,1152,1,1,1,1
5,100,2,3,846,1272,1,0,1,1
6,100,2,3,1023,832,1,0,0,1
7,100,2,3,1380,1346,1,1,1,0
8,100,2,3,1012,872,1,0,0,1
9,100,2,3,978,1131,1,0,1,0
10,100,2,3,812,1067,1,0,0,1
11,100,2,3,1446,818,1,1,1,1
12,100,2,3,1009,885,1,0,0,1
1,100,3,3,1040,880,1,0,0,1
2,100,3,3,819,1175,1,1,1,1
3,100,3,3,945,1070,1,0,0,0
4,100,3,3,1314,788,1,0,0,1
5,100,3,3,1173,1270,1,0,0,0
6,100,3,3,991,932,1,1,1,1
7,100,3,3,954,977,1,0,1,1
8,100,3,3,776,1467,1,0,1,1
9,100,3,3,1360,845,1,1,0,0
10,100,3,3,1280,1146,1,0,1,1
11,100,3,3,822,1127,1,0,0,1
12,100,3,3,899,842,1,0,1,1
1,100,4,3,903,849,1,0,1,1
2,100,4,3,958,926,1,0,1,1
3,100,4,3,1386,762,1,0,0,0
4,100,4,3,856,1193,1,1,1,1
5,100,4,3,1045,948,1,0,0,1
6,100,4,3,1144,1190,1,0,0,0
7,100,4,3,846,765,1,0,1,1
8,100,4,3,983,1079,1,1,1,1
9,100,4,3,923,909,1,0,0,1
10,100,4,3,948,1221,1,0,0,0
11,100,4,3,867,1329,1,1,1,1
12,100,4,3,878,936,1,0,0,1
1,100,5,3,1393,1042,1,0,0,1
2,100,5,3,936,1305,1,0,1,1
3,100,5,3,953,1385,1,1,0,1
4,100,5,3,773,773,1,0,1,0
5,100,5,3,1310,787,1,0,0,1
6,100,5,3,1406,804,1,0,1,1
7,100,5,3,943,932,1,1,1,0
8,100,5,3,818,886,1,0,0,1
9,100,5,3,889,861,1,0,1,1
10,100,5,3,1360,782,1,1,1,0
11,100,5,3,1281,1051,1,0,0,1
12,100,5,3,762,1435,1,0,0,1
1,100,0,3,1268,1452,2,0,0,1
2,100,0,3,1435,1110,2,1,0,1
3,100,0,3,947,766,2,0,1,0
4,100,0,3,1070,886,2,0,1,1
5,100,0,3,1416,1071,2,1,0,0
6,100,0,3,1170,1089,2,0,0,1
7,100,0,3,1072,770,2,0,1,1
8,100,0,3,1128,780,2,0,0,1
9,100,0,3,956,782,2,1,1,0
10,100,0,3,820,1103,2,0,1,1
11,100,0,3,871,1270,2,0,1,1
12,100,0,3,1129,849,2,0,0,1
1,100,1,3,1408,984,2,0,1,1
2,100,1,3,885,1322,2,1,0,1
3,100,1,3,912,919,2,0,0,1
4,100,1,3,788,1025,2,0,1,0
5,100,1,3,1011,985,2,1,1,1
6,100,1,3,985,1214,2,0,0,1
7,100,1,3,1460,907,2,0,1,0
8,100,1,3,1187,1270,2,0,1,1
9,100,1,3,917,817,2,1,0,1
10,100,1,3,1141,1359,2,0,0,1
11,100,1,3,837,967,2,0,0,0
12,100,1,3,804,1395,2,0,1,1
1,100,2,3,1002,1287,2,0,0,1
2,100,2,3,799,1224,2,1,0,1
3,100,2,3,1131,1022,2,0,1,1
4,100,2,3,1294,781,2,0,1,0
5,100,2,3,1239,1154,2,0,0,1
6,100,2,3,813,763,2,1,1,1
7,100,2,3,1321,1161,2,0,1,1
8,100,2,3,881,834,2,0,0,0
9,100,2,3,894,925,2,1,1,0
10,100,2,3,871,815,2,0,1,1
11,100,2,3,1065,917,2,0,0,1
12,100,2,3,1292,1004,2,0,0,1
1,100,3,3,897,795,2,0,1,1
2,100,3,3,1143,844,2,1,0,1
3,100,3,3,1296,1462,2,0,1,1
4,100,3,3,1243,944,2,0,0,0
5,100,3,3,981,796,2,1,1,1
6,100,3,3,968,1057,2,0,1,1
7,100,3,3,1247,1261,2,0,0,1
8,100,3,3,788,811,2,0,1,0
9,100,3,3,1023,919,2,1,0,0
10,100,3,3,1104,903,2,0,1,1
11,100,3,3,1500,855,2,0,0,1
12,100,3,3,1108,1080,2,0,0,1
1,100,4,3,771,877,2,0,0,1
2,100,4,3,792,1259,2,0,0,1
3,100,4,3,834,885,2,0,1,1
4,100,4,3,961,1263,2,1,0,0
5,100,4,3,1174,1205,2,0,1,1
6,100,4,3,1034,1053,2,1,0,0
7,100,4,3,952,901,2,0,1,1
8,100,4,3,1302,1070,2,0,0,1
9,100,4,3,1005,1108,2,1,1,0
10,100,4,3,887,1005,2,0,1,1
11,100,4,3,1174,831,2,0,0,1
12,100,4,3,1058,939,2,0,1,1
1,100,5,3,764,809,2,0,0,1
2,100,5,3,1439,1367,2,0,1,1
3,100,5,3,958,1451,2,0,1,1
4,100,5,3,769,990,2,1,0,0
5,100,5,3,925,760,2,0,0,1
6,100,5,3,1038,806,2,0,1,1
7,100,5,3,764,964,2,0,0,1
8,100,5,3,864,1235,2,1,0,0
9,100,5,3,776,812,2,0,1,1
10,100,5,3,1027,1036,2,0,1,0
11,100,5,3,751,945,2,0,0,1
12,100,5,3,1143,1479,2,1,1,1
