trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,151,0,0,2,520,393,1,0
2,98,0,0,2,777,674,1,0
3,67,1,0,2,638,264,1,2
4,61,0,0,2,502,623,1,0
5,121,1,0,2,327,357,1,0
6,112,0,0,2,777,345,1,0
7,170,1,0,2,419,823,1,0
8,124,0,0,2,331,564,1,0
9,45,1,0,2,809,968,1,0
10,95,1,0,2,509,283,1,0
11,52,0,0,2,256,823,1,0
12,130,1,0,2,638,823,1,0
13,97,1,0,2,638,489,1,0
14,157,0,0,2,765,693,1,0
15,111,0,0,2,262,725,1,0
16,95,1,0,2,777,725,1,0
17,96,1,0,2,765,779,1,0
18,119,0,0,2,683,473,1,0
19,160,1,0,2,466,547,1,0
20,89,0,0,2,777,948,1,0
1,44,1,1,2,435,784,1,2
2,167,0,1,2,426,428,1,0
3,96,1,1,2,592,699,1,0
4,113,0,1,2,592,540,1,0
5,34,0,1,2,304,386,1,0
6,69,1,1,2,537,651,1,0
7,46,1,1,2,336,407,1,0
8,160,0,1,2,537,407,1,0
9,37,0,1,2,294,428,1,0
10,97,1,1,2,336,762,1,0
11,60,1,1,2,415,784,1,0
12,167,0,1,2,290,407,1,0
13,34,1,1,2,592,784,1,0
14,113,0,1,2,638,263,1,0
15,36,0,1,2,592,758,1,0
16,57,1,1,2,822,344,1,0
17,28,0,1,2,818,284,1,0
18,141,1,1,2,273,263,1,0
19,28,1,1,2,362,699,1,0
20,42,0,1,2,419,355,1,0
1,166,0,2,2,291,462,1,0
2,120,1,2,2,613,744,1,2
3,168,0,2,2,253,664,1,0
4,167,1,2,2,256,408,1,0
5,149,0,2,2,905,368,1,0
6,25,1,2,2,737,462,1,0
7,124,0,2,2,253,860,1,0
8,94,0,2,2,617,664,1,0
9,78,1,2,2,321,744,1,0
10,53,1,2,2,866,467,1,0
11,32,0,2,2,804,495,1,0
12,55,0,2,2,435,462,1,0
13,141,1,2,2,253,543,1,0
14,144,1,2,2,730,967,1,0
15,68,0,2,2,291,479,1,0
16,166,0,2,2,324,495,1,0
17,26,1,2,2,278,479,1,0
18,121,0,2,2,253,827,1,0
19,76,1,2,2,826,860,1,0
20,169,1,2,2,253,543,1,0
1,55,1,3,2,513,954,1,2
2,131,1,3,2,328,265,1,0
3,102,0,3,2,911,383,1,0
4,146,0,3,2,395,596,1,0
5,120,1,3,2,280,954,1,0
6,32,0,3,2,650,285,1,0
7,118,0,3,2,431,326,1,0
8,166,1,3,2,308,580,1,0
9,116,0,3,2,942,709,1,0
10,51,0,3,2,253,370,1,0
11,96,1,3,2,510,573,1,0
12,32,0,3,2,328,916,1,0
13,80,1,3,2,431,785,1,0
14,36,1,3,2,942,573,1,0
15,84,0,3,2,785,849,1,0
16,36,1,3,2,641,760,1,0
17,123,0,3,2,942,398,1,0
18,170,1,3,2,537,459,1,0
19,160,1,3,2,641,916,1,0
20,73,0,3,2,641,573,1,0
1,87,0,4,2,999,531,1,0
2,40,1,4,2,429,429,1,2
3,170,1,4,2,429,251,1,0
4,147,0,4,2,363,306,1,0
5,126,1,4,2,789,319,1,0
6,123,0,4,2,789,490,1,0
7,151,1,4,2,396,573,1,0
8,40,0,4,2,384,490,1,0
9,129,0,4,2,789,511,1,0
10,42,1,4,2,540,581,1,0
11,111,1,4,2,906,319,1,0
12,140,0,4,2,398,981,1,0
13,84,1,4,2,917,270,1,0
14,153,0,4,2,540,363,1,0
15,159,0,4,2,789,270,1,0
16,27,1,4,2,928,355,1,0
17,114,1,4,2,917,456,1,0
18,154,0,4,2,906,337,1,0
19,140,0,4,2,416,966,1,0
20,107,1,4,2,277,581,1,0
1,106,1,5,2,636,507,1,2
2,38,0,5,2,401,556,1,0
3,141,1,5,2,932,625,1,0
4,141,1,5,2,329,292,1,0
5,78,0,5,2,636,321,1,0
6,92,0,5,2,413,988,1,0
7,94,1,5,2,788,497,1,0
8,78,0,5,2,271,320,1,0
9,31,1,5,2,423,523,1,0
10,147,0,5,2,313,523,1,0
11,71,0,5,2,576,321,1,0
12,169,1,5,2,388,437,1,0
13,77,0,5,2,271,380,1,0
14,139,1,5,2,582,297,1,0
15,53,1,5,2,524,497,1,0
16,70,0,5,2,332,624,1,0
17,116,0,5,2,803,304,1,0
18,75,1,5,2,935,653,1,0
19,34,1,5,2,341,396,1,0
20,90,0,5,2,502,508,1,0
1,66,0,0,2,577,286,2,0
2,63,0,0,2,261,295,2,0
3,162,1,0,2,709,829,2,0
4,56,0,0,2,422,454,2,0
5,52,1,0,2,640,402,2,0
6,86,1,0,2,741,413,2,0
7,127,0,0,2,422,458,2,0
8,64,1,0,2,777,454,2,0
