trial_n,gen,condition,task,ITI,ISI,block
1,0,0,4,910,586,1
2,6,0,4,432,504,1
3,5,0,4,742,488,1
4,1,0,4,264,567,1
5,1,0,4,910,290,1
6,7,0,4,482,328,1
7,2,0,4,366,351,1
8,4,0,4,391,393,1
9,6,0,4,620,965,1
10,0,0,4,363,474,1
11,3,0,4,272,277,1
12,8,0,4,806,518,1
13,4,0,4,753,746,1
14,8,0,4,618,315,1
15,3,0,4,799,599,1
16,7,0,4,312,564,1
17,2,0,4,382,689,1
18,5,0,4,456,426,1
1,0,1,4,596,797,1
2,1,1,4,673,602,1
3,6,1,4,317,595,1
4,0,1,4,794,419,1
5,4,1,4,712,761,1
6,3,1,4,711,255,1
7,2,1,4,341,719,1
8,5,1,4,471,374,1
9,6,1,4,724,715,1
10,3,1,4,954,333,1
11,8,1,4,961,339,1
12,4,1,4,399,479,1
13,5,1,4,346,503,1
14,7,1,4,727,911,1
15,8,1,4,257,257,1
16,1,1,4,523,343,1
17,7,1,4,325,791,1
18,2,1,4,566,602,1
1,1,2,4,839,389,1
2,3,2,4,264,265,1
3,7,2,4,317,411,1
4,8,2,4,374,287,1
5,0,2,4,752,957,1
6,5,2,4,268,259,1
7,0,2,4,307,377,1
8,6,2,4,789,914,1
9,3,2,4,631,869,1
10,7,2,4,346,276,1
11,1,2,4,398,314,1
12,5,2,4,452,540,1
13,2,2,4,557,303,1
14,2,2,4,961,474,1
15,8,2,4,496,384,1
16,4,2,4,367,309,1
17,6,2,4,962,740,1
18,4,2,4,402,619,1
1,0,3,4,445,444,1
2,0,3,4,626,707,1
3,4,3,4,522,320,1
4,8,3,4,463,316,1
5,4,3,4,356,709,1
6,5,3,4,850,825,1
7,8,3,4,708,739,1
8,7,3,4,259,647,1
9,6,3,4,710,283,1
10,2,3,4,528,421,1
11,1,3,4,755,655,1
12,5,3,4,357,553,1
13,3,3,4,768,559,1
14,3,3,4,469,893,1
15,1,3,4,830,923,1
16,7,3,4,461,462,1
17,2,3,4,804,318,1
18,6,3,4,958,280,1
1,4,4,4,276,341,1
2,2,4,4,526,325,1
3,2,4,4,259,802,1
4,5,4,4,390,700,1
5,1,4,4,827,295,1
6,4,4,4,337,260,1
7,6,4,4,260,306,1
8,6,4,4,699,442,1
9,3,4,4,279,381,1
10,7,4,4,791,350,1
11,8,4,4,588,852,1
12,7,4,4,398,407,1
13,3,4,4,506,520,1
14,0,4,4,666,994,1
15,8,4,4,658,669,1
16,1,4,4,405,637,1
17,0,4,4,293,435,1
18,5,4,4,580,865,1
1,6,5,4,795,316,1
2,3,5,4,597,788,1
3,2,5,4,287,306,1
4,8,5,4,526,300,1
5,5,5,4,498,330,1
6,2,5,4,527,610,1
7,6,5,4,468,746,1
8,5,5,4,354,416,1
9,1,5,4,864,301,1
10,3,5,4,732,770,1
11,0,5,4,256,438,1
12,8,5,4,910,288,1
13,4,5,4,470,812,1
14,4,5,4,263,782,1
15,1,5,4,688,417,1
16,0,5,4,691,876,1
17,7,5,4,722,284,1
18,7,5,4,940,463,1
1,4,0,4,915,343,2
2,1,0,4,382,339,2
3,1,0,4,276,297,2
4,8,0,4,823,595,2
5,6,0,4,315,533,2
6,6,0,4,653,320,2
7,5,0,4,532,505,2
8,3,0,4,365,322,2
9,4,0,4,364,572,2
10,7,0,4,680,256,2
11,3,0,4,639,420,2
12,0,0,4,328,427,2
13,5,0,4,970,903,2
14,2,0,4,641,271,2
15,8,0,4,488,550,2
16,2,0,4,704,333,2
17,0,0,4,664,339,2
18,7,0,4,462,289,2
1,0,1,4,493,445,2
2,4,1,4,840,322,2
3,2,1,4,392,265,2
4,5,1,4,875,549,2
5,3,1,4,263,263,2
6,0,1,4,721,887,2
7,7,1,4,421,257,2
8,1,1,4,437,433,2
9,2,1,4,531,731,2
10,8,1,4,288,889,2
11,5,1,4,617,887,2
12,7,1,4,254,746,2
13,1,1,4,797,357,2
14,6,1,4,630,324,2
15,6,1,4,311,399,2
16,4,1,4,491,325,2
17,8,1,4,372,651,2
18,3,1,4,397,645,2
1,7,2,4,644,472,2
2,2,2,4,571,645,2
3,8,2,4,462,415,2
4,3,2,4,300,263,2
5,4,2,4,380,831,2
6,2,2,4,899,329,2
7,4,2,4,846,303,2
8,5,2,4,308,881,2
9,7,2,4,352,528,2
10,0,2,4,402,308,2
11,3,2,4,321,749,2
12,8,2,4,373,824,2
13,1,2,4,445,754,2
14,6,2,4,893,320,2
15,6,2,4,264,410,2
16,0,2,4,255,512,2
17,1,2,4,368,343,2
18,5,2,4,912,498,2
1,1,3,4,435,447,2
2,8,3,4,921,557,2
3,4,3,4,933,633,2
4,7,3,4,493,525,2
5,5,3,4,493,857,2
6,2,3,4,598,781,2
7,4,3,4,805,334,2
8,0,3,4,347,344,2
9,3,3,4,852,533,2
10,8,3,4,707,854,2
11,1,3,4,714,255,2
12,3,3,4,274,520,2
13,6,3,4,366,324,2
14,2,3,4,566,539,2
15,0,3,4,286,546,2
16,7,3,4,269,985,2
17,5,3,4,719,973,2
18,6,3,4,827,295,2
1,3,4,4,864,622,2
2,1,4,4,272,743,2
3,2,4,4,518,828,2
4,8,4,4,391,598,2
5,8,4,4,778,582,2
6,3,4,4,909,391,2
7,6,4,4,357,356,2
8,6,4,4,565,390,2
9,7,4,4,285,963,2
10,4,4,4,658,257,2
11,2,4,4,598,398,2
12,7,4,4,815,783,2
13,4,4,4,474,713,2
14,0,4,4,722,517,2
15,0,4,4,671,751,2
16,5,4,4,588,792,2
17,5,4,4,993,269,2
18,1,4,4,272,368,2
1,1,5,4,696,750,2
2,6,5,4,342,914,2
3,3,5,4,473,828,2
4,0,5,4,610,405,2
5,7,5,4,732,678,2
6,2,5,4,782,389,2
7,8,5,4,430,298,2
8,4,5,4,365,846,2
9,7,5,4,370,487,2
10,0,5,4,340,389,2
11,2,5,4,555,743,2
12,3,5,4,424,357,2
13,5,5,4,970,280,2
14,4,5,4,824,548,2
15,8,5,4,855,269,2
16,5,5,4,642,395,2
17,1,5,4,320,263,2
18,6,5,4,355,390,2
