trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,95,1,0,2,528,267,1,2
2,92,1,0,2,287,306,1,0
3,56,0,0,2,292,423,1,0
4,88,1,0,2,489,688,1,0
5,150,0,0,2,268,997,1,0
6,77,1,0,2,848,408,1,0
7,32,1,0,2,292,548,1,0
8,35,0,0,2,440,688,1,0
9,30,0,0,2,914,365,1,0
10,90,1,0,2,785,688,1,0
11,148,0,0,2,466,384,1,0
12,124,0,0,2,268,306,1,0
13,84,1,0,2,285,481,1,0
14,106,0,0,2,528,384,1,0
15,147,1,0,2,679,267,1,0
16,127,1,0,2,370,264,1,0
17,149,0,0,2,535,478,1,0
18,26,0,0,2,440,540,1,0
19,88,1,0,2,330,417,1,0
20,31,0,0,2,327,778,1,0
1,145,1,1,2,504,449,1,2
2,159,0,1,2,405,853,1,0
3,153,0,1,2,504,347,1,0
4,102,1,1,2,847,853,1,0
5,64,1,1,2,847,760,1,0
6,52,0,1,2,657,368,1,0
7,160,1,1,2,779,918,1,0
8,92,0,1,2,504,508,1,0
9,145,0,1,2,393,342,1,0
10,34,1,1,2,847,809,1,0
11,165,1,1,2,302,775,1,0
12,38,0,1,2,587,347,1,0
13,96,1,1,2,719,254,1,0
14,173,1,1,2,779,508,1,0
15,141,0,1,2,355,516,1,0
16,67,1,1,2,779,449,1,0
17,74,0,1,2,813,775,1,0
18,115,1,1,2,594,999,1,0
19,32,0,1,2,847,516,1,0
20,79,0,1,2,504,999,1,0
1,107,0,2,2,254,565,1,0
2,139,1,2,2,523,453,1,2
3,43,0,2,2,330,251,1,0
4,100,0,2,2,992,550,1,0
5,75,1,2,2,389,356,1,0
6,145,0,2,2,517,831,1,0
7,127,1,2,2,307,831,1,0
8,89,1,2,2,552,570,1,0
9,143,0,2,2,720,583,1,0
10,174,1,2,2,388,498,1,0
11,31,1,2,2,281,565,1,0
12,165,0,2,2,992,767,1,0
13,146,1,2,2,388,278,1,0
14,138,0,2,2,985,831,1,0
15,141,1,2,2,720,618,1,0
16,40,0,2,2,293,939,1,0
17,105,0,2,2,388,558,1,0
18,29,1,2,2,983,570,1,0
19,61,0,2,2,305,284,1,0
20,142,1,2,2,388,829,1,0
1,166,0,3,2,497,382,1,0
2,142,1,3,2,802,273,1,2
3,94,0,3,2,514,338,1,0
4,28,0,3,2,514,382,1,0
5,118,1,3,2,570,705,1,0
6,125,1,3,2,268,268,1,0
7,29,0,3,2,402,338,1,0
8,139,1,3,2,379,393,1,0
9,56,0,3,2,618,359,1,0
10,99,0,3,2,289,254,1,0
11,50,1,3,2,386,533,1,0
12,123,1,3,2,341,355,1,0
13,83,0,3,2,341,412,1,0
14,157,0,3,2,289,840,1,0
15,25,1,3,2,403,512,1,0
16,97,0,3,2,402,629,1,0
17,156,1,3,2,802,833,1,0
18,174,0,3,2,403,316,1,0
19,170,1,3,2,302,588,1,0
20,47,1,3,2,350,533,1,0
1,35,1,4,2,707,803,1,2
2,101,0,4,2,250,723,1,0
3,156,0,4,2,917,591,1,0
4,123,1,4,2,782,452,1,0
5,57,1,4,2,393,694,1,0
6,43,0,4,2,250,803,1,0
7,107,1,4,2,652,782,1,0
8,159,0,4,2,652,803,1,0
9,120,0,4,2,917,862,1,0
10,117,1,4,2,570,264,1,0
11,136,1,4,2,826,682,1,0
12,28,0,4,2,350,961,1,0
13,55,1,4,2,296,472,1,0
14,118,0,4,2,296,452,1,0
15,118,1,4,2,917,325,1,0
16,25,0,4,2,654,268,1,0
17,62,0,4,2,652,286,1,0
18,123,1,4,2,257,286,1,0
19,99,0,4,2,296,384,1,0
20,143,1,4,2,469,780,1,0
1,118,1,5,2,416,422,1,2
2,167,0,5,2,475,542,1,0
3,141,0,5,2,531,277,1,0
4,147,1,5,2,416,674,1,0
5,117,1,5,2,263,773,1,0
6,95,0,5,2,272,568,1,0
7,169,1,5,2,877,602,1,0
8,37,0,5,2,588,311,1,0
9,106,0,5,2,488,311,1,0
10,146,1,5,2,493,568,1,0
11,67,0,5,2,493,462,1,0
12,125,1,5,2,588,893,1,0
13,164,0,5,2,416,651,1,0
14,35,1,5,2,498,470,1,0
15,119,1,5,2,272,651,1,0
16,170,0,5,2,877,674,1,0
17,57,1,5,2,715,773,1,0
18,140,1,5,2,477,773,1,0
19,30,0,5,2,891,655,1,0
20,143,0,5,2,350,589,1,0
1,81,0,0,2,372,499,2,0
2,91,1,0,2,463,296,2,0
3,93,1,0,2,340,675,2,0
4,127,0,0,2,707,343,2,0
5,71,1,0,2,341,296,2,0
6,53,0,0,2,325,648,2,0
7,150,1,0,2,372,744,2,0
8,163,1,0,2,325,556,2,0
9,141,0,0,2,416,765,2,0
10,135,1,0,2,325,744,2,0
11,117,1,0,2,270,281,2,0
12,72,0,0,2,356,765,2,0
13,138,1,0,2,926,301,2,0
14,46,0,0,2,372,690,2,0
15,135,0,0,2,707,648,2,0
16,26,1,0,2,353,296,2,0
17,117,0,0,2,423,874,2,0
18,77,1,0,2,543,499,2,0
19,90,0,0,2,750,312,2,0
20,50,0,0,2,341,361,2,0
1,112,0,1,2,786,976,2,0
2,150,1,1,2,372,343,2,0
3,139,0,1,2,274,699,2,0
4,52,1,1,2,648,270,2,0
5,129,1,1,2,527,315,2,0
6,84,0,1,2,648,713,2,0
7,128,0,1,2,478,343,2,0
8,57,1,1,2,337,493,2,0
9,78,1,1,2,592,606,2,0
10,145,0,1,2,562,359,2,0
11,127,0,1,2,264,718,2,0
12,134,1,1,2,312,530,2,0
13,154,1,1,2,357,523,2,0
14,79,0,1,2,377,523,2,0
15,159,1,1,2,751,393,2,0
16,133,0,1,2,372,719,2,0
17,126,0,1,2,357,719,2,0
18,160,1,1,2,401,530,2,0
19,87,1,1,2,565,449,2,0
20,168,0,1,2,738,370,2,0
1,30,0,2,2,936,739,2,0
2,172,1,2,2,281,574,2,0
3,168,0,2,2,651,796,2,0
4,57,1,2,2,339,297,2,0
5,88,0,2,2,288,394,2,0
6,74,0,2,2,480,851,2,0
7,120,1,2,2,480,307,2,0
8,33,0,2,2,749,618,2,0
9,61,1,2,2,931,315,2,0
10,162,0,2,2,480,394,2,0
11,113,1,2,2,293,713,2,0
12,103,1,2,2,462,308,2,0
13,158,0,2,2,412,851,2,0
14,32,0,2,2,412,796,2,0
15,26,1,2,2,749,294,2,0
16,136,1,2,2,467,297,2,0
17,28,0,2,2,286,491,2,0
18,164,1,2,2,320,618,2,0
19,30,0,2,2,700,458,2,0
20,135,1,2,2,749,361,2,0
1,165,0,3,2,595,351,2,0
2,26,1,3,2,500,848,2,0
3,50,0,3,2,448,641,2,0
4,106,0,3,2,835,683,2,0
5,53,1,3,2,500,680,2,0
6,127,1,3,2,317,475,2,0
7,89,0,3,2,630,475,2,0
8,155,0,3,2,644,417,2,0
9,32,1,3,2,393,351,2,0
10,98,1,3,2,317,683,2,0
11,92,0,3,2,630,262,2,0
12,99,1,3,2,766,557,2,0
13,159,0,3,2,310,374,2,0
14,74,1,3,2,595,587,2,0
15,125,0,3,2,317,299,2,0
16,169,0,3,2,486,660,2,0
17,68,1,3,2,634,354,2,0
18,114,0,3,2,545,906,2,0
19,138,1,3,2,317,312,2,0
20,120,1,3,2,720,683,2,0
1,48,0,4,2,252,553,2,0
2,136,1,4,2,657,521,2,0
3,60,1,4,2,966,794,2,0
4,37,0,4,2,263,357,2,0
5,169,0,4,2,368,484,2,0
6,88,1,4,2,381,680,2,0
7,78,0,4,2,874,849,2,0
8,54,1,4,2,335,609,2,0
9,165,1,4,2,609,590,2,0
10,25,0,4,2,335,301,2,0
11,42,1,4,2,765,276,2,0
12,136,0,4,2,554,383,2,0
13,111,1,4,2,588,276,2,0
14,91,0,4,2,335,508,2,0
15,74,1,4,2,619,315,2,0
16,32,0,4,2,345,338,2,0
17,120,1,4,2,414,301,2,0
18,137,0,4,2,252,546,2,0
19,87,0,4,2,554,494,2,0
20,71,1,4,2,966,849,2,0
1,147,0,5,2,317,398,2,0
2,132,1,5,2,355,667,2,0
3,29,1,5,2,349,802,2,0
4,104,0,5,2,355,315,2,0
5,48,1,5,2,267,319,2,0
6,83,1,5,2,343,514,2,0
7,27,0,5,2,531,555,2,0
8,156,0,5,2,368,730,2,0
9,90,1,5,2,378,469,2,0
10,42,0,5,2,343,409,2,0
11,121,0,5,2,906,398,2,0
12,25,1,5,2,368,351,2,0
13,162,0,5,2,906,855,2,0
14,160,0,5,2,531,307,2,0
15,84,1,5,2,829,427,2,0
16,81,0,5,2,355,251,2,0
17,26,1,5,2,563,608,2,0
18,136,1,5,2,343,490,2,0
19,151,0,5,2,800,315,2,0
20,71,1,5,2,631,315,2,0
