trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,118,0,0,2,522,259,1,0
2,134,0,0,2,372,850,1,0
3,65,1,0,2,866,611,1,0
4,143,0,0,2,252,262,1,0
5,123,0,0,2,765,388,1,0
6,158,1,0,2,935,397,1,0
1,83,1,1,2,969,788,1,0
2,58,1,1,2,450,911,1,0
3,65,0,1,2,390,411,1,0
4,128,1,1,2,969,326,1,0
5,87,0,1,2,390,405,1,0
6,156,0,1,2,574,788,1,0
1,148,0,0,2,488,374,2,0
2,113,0,0,2,460,316,2,0
3,73,1,0,2,993,614,2,0
4,64,0,0,2,325,817,2,0
5,30,0,0,2,460,316,2,0
6,95,1,0,2,460,374,2,0
1,139,1,1,2,452,381,2,0
2,89,1,1,2,452,300,2,0
3,94,0,1,2,321,962,2,0
4,119,0,1,2,452,700,2,0
5,27,1,1,2,898,256,2,0
6,72,0,1,2,726,780,2,0
