trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,858,1024,1,0,0,1
2,100,0,3,814,802,1,1,1,1
3,100,0,3,819,1233,1,0,0,1
4,100,0,3,1220,978,1,0,1,0
5,100,0,3,1246,1280,1,1,0,1
6,100,0,3,927,1324,1,0,0,1
7,100,0,3,961,824,1,0,1,0
8,100,0,3,1014,1160,1,0,1,1
9,100,0,3,1123,915,1,1,0,1
10,100,0,3,981,909,1,0,0,0
11,100,0,3,887,820,1,0,1,1
12,100,0,3,754,798,1,0,1,1
1,100,1,3,1181,825,1,0,1,1
2,100,1,3,954,1374,1,0,0,1
3,100,1,3,1027,1060,1,0,1,1
4,100,1,3,1299,770,1,1,1,0
5,100,1,3,961,971,1,0,0,1
6,100,1,3,800,825,1,0,1,0
7,100,1,3,1444,799,1,0,0,1
8,100,1,3,769,1367,1,1,1,1
9,100,1,3,893,877,1,0,0,0
10,100,1,3,1192,1072,1,0,0,1
11,100,1,3,869,1321,1,0,0,1
12,100,1,3,1072,818,1,1,1,1
1,100,2,3,1176,986,1,0,1,1
2,100,2,3,933,1032,1,1,0,0
3,100,2,3,999,958,1,0,1,1
4,100,2,3,803,887,1,0,1,1
5,100,2,3,962,1386,1,1,0,1
6,100,2,3,1402,779,1,0,1,0
7,100,2,3,1190,1007,1,0,0,1
8,100,2,3,800,1225,1,0,0,1
9,100,2,3,875,1456,1,1,0,0
10,100,2,3,947,992,1,0,1,1
11,100,2,3,789,867,1,0,0,1
12,100,2,3,1445,1454,1,0,1,1
1,100,3,3,869,783,1,0,0,1
2,100,3,3,833,1233,1,0,1,1
3,100,3,3,1408,1344,1,0,0,1
4,100,3,3,908,1391,1,1,1,0
5,100,3,3,1283,1169,1,0,1,1
6,100,3,3,761,1209,1,1,0,1
7,100,3,3,1113,1495,1,0,1,0
8,100,3,3,1334,1077,1,0,1,1
9,100,3,3,1216,1168,1,0,1,1
10,100,3,3,870,1376,1,1,0,1
11,100,3,3,1275,828,1,0,0,0
12,100,3,3,1052,1390,1,0,0,1
1,100,4,3,912,1046,1,0,1,1
2,100,4,3,897,1455,1,0,0,1
3,100,4,3,1106,1158,1,0,1,0
4,100,4,3,808,1214,1,1,0,1
5,100,4,3,1163,1106,1,0,1,0
6,100,4,3,989,1213,1,0,0,1
7,100,4,3,1148,1270,1,0,0,1
8,100,4,3,1258,872,1,1,1,1
9,100,4,3,830,1186,1,0,1,0
10,100,4,3,976,1098,1,0,0,1
11,100,4,3,881,909,1,1,1,1
12,100,4,3,933,1057,1,0,0,1
1,100,5,3,750,823,1,0,0,1
2,100,5,3,946,1045,1,0,0,0
3,100,5,3,1265,802,1,1,1,1
4,100,5,3,1031,832,1,0,0,1
5,100,5,3,980,1355,1,1,1,0
6,100,5,3,1088,766,1,0,0,1
7,100,5,3,844,879,1,0,1,1
8,100,5,3,910,1357,1,0,0,1
9,100,5,3,905,1060,1,1,0,0
10,100,5,3,768,1130,1,0,1,1
11,100,5,3,1089,781,1,0,1,1
12,100,5,3,1007,842,1,0,1,1
1,100,0,3,1424,1255,2,0,0,1
2,100,0,3,891,977,2,1,0,1
3,100,0,3,1127,835,2,0,0,1
4,100,0,3,764,1075,2,0,1,0
5,100,0,3,752,1042,2,1,1,1
6,100,0,3,815,1310,2,0,1,0
7,100,0,3,1004,1131,2,0,0,1
8,100,0,3,890,1003,2,0,0,1
9,100,0,3,1035,1228,2,1,1,1
10,100,0,3,905,767,2,0,1,0
11,100,0,3,1362,1089,2,0,0,1
12,100,0,3,852,912,2,0,1,1
1,100,1,3,1411,844,2,0,1,1
2,100,1,3,1225,936,2,0,0,1
3,100,1,3,1092,889,2,0,0,1
4,100,1,3,883,889,2,1,0,0
5,100,1,3,1406,1231,2,1,1,1
6,100,1,3,1170,967,2,0,0,1
7,100,1,3,972,1079,2,0,0,1
8,100,1,3,867,1361,2,0,1,0
9,100,1,3,895,1019,2,1,1,0
10,100,1,3,1069,1008,2,0,0,1
11,100,1,3,1022,1298,2,0,1,1
12,100,1,3,1146,783,2,0,1,1
1,100,2,3,750,1155,2,0,0,1
2,100,2,3,1235,872,2,0,0,1
3,100,2,3,1330,782,2,1,1,0
4,100,2,3,1254,934,2,0,1,1
5,100,2,3,901,1078,2,0,1,1
6,100,2,3,795,971,2,1,0,1
7,100,2,3,1109,894,2,0,1,0
8,100,2,3,1272,900,2,0,0,1
9,100,2,3,960,823,2,0,0,1
10,100,2,3,877,1201,2,1,0,0
11,100,2,3,846,1406,2,0,1,1
12,100,2,3,1216,755,2,0,1,1
1,100,3,3,850,917,2,0,1,1
2,100,3,3,1418,1192,2,0,1,1
3,100,3,3,1181,769,2,1,1,1
4,100,3,3,1383,901,2,0,0,0
5,100,3,3,862,824,2,0,1,1
6,100,3,3,925,1275,2,0,0,1
7,100,3,3,903,989,2,1,1,1
8,100,3,3,807,996,2,0,0,0
9,100,3,3,1075,1056,2,0,1,1
10,100,3,3,1018,801,2,0,0,1
11,100,3,3,761,1059,2,1,0,1
12,100,3,3,1084,894,2,0,0,0
1,100,4,3,856,781,2,0,1,1
2,100,4,3,1241,1464,2,1,0,1
3,100,4,3,1010,765,2,0,0,0
4,100,4,3,1419,1037,2,0,1,1
5,100,4,3,1191,956,2,0,1,1
6,100,4,3,758,1035,2,1,0,1
7,100,4,3,1466,1290,2,0,0,0
8,100,4,3,1030,1090,2,0,1,1
9,100,4,3,1100,1136,2,1,0,0
10,100,4,3,1008,1281,2,0,0,1
11,100,4,3,1472,893,2,0,1,1
12,100,4,3,861,994,2,0,1,1
1,100,5,3,814,908,2,0,0,1
2,100,5,3,775,1287,2,0,1,1
3,100,5,3,1023,1005,2,0,0,0
4,100,5,3,945,894,2,1,0,1
5,100,5,3,873,1405,2,0,1,1
6,100,5,3,1238,971,2,0,0,0
7,100,5,3,875,1362,2,1,0,1
8,100,5,3,1327,789,2,0,1,1
9,100,5,3,1480,1009,2,0,1,1
10,100,5,3,1155,969,2,0,0,0
11,100,5,3,1088,1397,2,1,1,1
12,100,5,3,1348,831,2,0,1,1
