trial_n,gen,condition,task,ITI,ISI,block
1,0,0,4,272,834,1
2,7,0,4,698,630,1
3,0,0,4,743,433,1
4,4,0,4,262,699,1
5,1,0,4,674,276,1
6,5,0,4,398,371,1
7,3,0,4,741,481,1
8,8,0,4,494,751,1
9,2,0,4,613,796,1
10,3,0,4,416,466,1
11,2,0,4,853,287,1
12,1,0,4,953,735,1
13,4,0,4,375,672,1
14,5,0,4,698,587,1
15,8,0,4,948,276,1
16,7,0,4,473,889,1
17,6,0,4,552,315,1
18,6,0,4,332,733,1
1,4,1,4,741,714,1
2,3,1,4,528,339,1
3,6,1,4,924,814,1
4,2,1,4,490,984,1
5,0,1,4,717,357,1
6,8,1,4,845,402,1
7,2,1,4,259,406,1
8,1,1,4,683,595,1
9,5,1,4,295,313,1
10,6,1,4,358,253,1
11,5,1,4,425,837,1
12,4,1,4,318,290,1
13,7,1,4,594,409,1
14,8,1,4,265,770,1
15,0,1,4,997,358,1
16,1,1,4,502,343,1
17,3,1,4,884,921,1
18,7,1,4,401,437,1
1,5,2,4,962,333,1
2,3,2,4,273,395,1
3,2,2,4,590,501,1
4,8,2,4,339,978,1
5,2,2,4,397,888,1
6,5,2,4,601,356,1
7,0,2,4,395,455,1
8,6,2,4,466,354,1
9,8,2,4,988,584,1
10,6,2,4,701,442,1
11,7,2,4,337,481,1
12,0,2,4,318,988,1
13,1,2,4,359,848,1
14,1,2,4,644,338,1
15,3,2,4,744,443,1
16,7,2,4,686,487,1
17,4,2,4,500,707,1
18,4,2,4,306,607,1
1,5,3,4,414,451,1
2,3,3,4,465,508,1
3,0,3,4,829,409,1
4,5,3,4,363,714,1
5,1,3,4,483,335,1
6,4,3,4,534,519,1
7,3,3,4,420,305,1
8,7,3,4,323,506,1
9,2,3,4,951,465,1
10,6,3,4,294,524,1
11,6,3,4,984,298,1
12,1,3,4,710,308,1
13,7,3,4,892,668,1
14,0,3,4,279,937,1
15,8,3,4,351,448,1
16,8,3,4,255,713,1
17,4,3,4,755,362,1
18,2,3,4,838,429,1
1,5,4,4,433,489,1
2,6,4,4,516,508,1
3,4,4,4,673,355,1
4,5,4,4,427,603,1
5,3,4,4,488,842,1
6,7,4,4,358,266,1
7,8,4,4,297,802,1
8,8,4,4,384,487,1
9,2,4,4,878,288,1
10,7,4,4,434,754,1
11,1,4,4,614,315,1
12,0,4,4,998,739,1
13,1,4,4,427,420,1
14,6,4,4,616,305,1
15,0,4,4,398,492,1
16,4,4,4,932,424,1
17,3,4,4,553,435,1
18,2,4,4,941,324,1
1,8,5,4,862,321,1
2,3,5,4,293,652,1
3,2,5,4,365,338,1
4,2,5,4,514,296,1
5,7,5,4,929,806,1
6,8,5,4,658,482,1
7,5,5,4,823,679,1
8,5,5,4,352,274,1
9,6,5,4,439,654,1
10,0,5,4,676,382,1
11,6,5,4,877,336,1
12,0,5,4,592,642,1
13,1,5,4,586,379,1
14,4,5,4,974,439,1
15,1,5,4,352,965,1
16,7,5,4,526,288,1
17,4,5,4,443,343,1
18,3,5,4,333,557,1
1,6,0,4,474,917,2
2,0,0,4,608,554,2
3,7,0,4,590,798,2
4,8,0,4,695,296,2
5,7,0,4,673,260,2
6,4,0,4,310,522,2
7,5,0,4,993,292,2
8,8,0,4,265,282,2
9,1,0,4,255,334,2
10,6,0,4,358,256,2
11,4,0,4,375,721,2
12,5,0,4,324,475,2
13,2,0,4,898,345,2
14,0,0,4,608,617,2
15,2,0,4,559,374,2
16,3,0,4,780,262,2
17,1,0,4,284,335,2
18,3,0,4,476,484,2
1,1,1,4,970,419,2
2,0,1,4,567,544,2
3,3,1,4,299,267,2
4,3,1,4,305,384,2
5,4,1,4,288,676,2
6,7,1,4,298,900,2
7,6,1,4,692,526,2
8,2,1,4,286,402,2
9,0,1,4,637,573,2
10,8,1,4,296,904,2
11,2,1,4,330,610,2
12,5,1,4,442,625,2
13,7,1,4,986,583,2
14,6,1,4,691,451,2
15,8,1,4,825,343,2
16,4,1,4,356,263,2
17,1,1,4,948,255,2
18,5,1,4,325,609,2
1,8,2,4,552,275,2
2,4,2,4,610,713,2
3,2,2,4,491,499,2
4,1,2,4,510,436,2
5,2,2,4,259,346,2
6,4,2,4,900,764,2
7,1,2,4,552,910,2
8,5,2,4,887,671,2
9,5,2,4,591,635,2
10,6,2,4,488,840,2
11,8,2,4,262,497,2
12,3,2,4,731,816,2
13,0,2,4,392,989,2
14,7,2,4,414,657,2
15,6,2,4,404,593,2
16,0,2,4,386,479,2
17,7,2,4,613,322,2
18,3,2,4,583,525,2
1,7,3,4,765,409,2
2,8,3,4,798,866,2
3,5,3,4,507,478,2
4,6,3,4,381,291,2
5,0,3,4,353,451,2
6,3,3,4,300,516,2
7,1,3,4,337,912,2
8,4,3,4,495,292,2
9,3,3,4,769,315,2
10,2,3,4,271,949,2
11,4,3,4,334,596,2
12,7,3,4,646,883,2
13,0,3,4,516,464,2
14,6,3,4,653,647,2
15,1,3,4,732,809,2
16,8,3,4,284,331,2
17,2,3,4,360,478,2
18,5,3,4,500,559,2
1,3,4,4,348,713,2
2,6,4,4,309,324,2
3,2,4,4,814,424,2
4,4,4,4,607,274,2
5,1,4,4,494,310,2
6,0,4,4,529,312,2
7,5,4,4,674,878,2
8,0,4,4,324,393,2
9,2,4,4,615,440,2
10,6,4,4,867,790,2
11,8,4,4,662,382,2
12,8,4,4,856,400,2
13,5,4,4,360,583,2
14,7,4,4,372,316,2
15,4,4,4,385,258,2
16,1,4,4,418,850,2
17,7,4,4,292,361,2
18,3,4,4,719,799,2
1,7,5,4,325,296,2
2,6,5,4,974,795,2
3,3,5,4,475,409,2
4,7,5,4,575,637,2
5,4,5,4,402,738,2
6,8,5,4,392,600,2
7,5,5,4,325,368,2
8,6,5,4,457,650,2
9,2,5,4,741,598,2
10,1,5,4,372,668,2
11,5,5,4,351,567,2
12,8,5,4,500,867,2
13,2,5,4,358,541,2
14,0,5,4,344,372,2
15,3,5,4,826,434,2
16,1,5,4,848,625,2
17,0,5,4,599,309,2
18,4,5,4,561,292,2
