trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,896,873,1,0,0,1
2,100,0,3,810,941,1,0,0,1
3,100,0,3,1174,1184,1,0,1,1
4,100,0,3,1175,1035,1,1,1,0
5,100,0,3,934,1478,1,0,1,1
6,100,0,3,1179,1364,1,1,0,0
7,100,0,3,1412,882,1,0,0,1
8,100,0,3,957,1166,1,0,1,1
9,100,0,3,787,767,1,1,1,0
10,100,0,3,1079,1105,1,0,1,1
11,100,0,3,1207,974,1,0,0,1
12,100,0,3,1119,1421,1,0,0,1
1,100,1,3,964,1408,1,0,1,1
2,100,1,3,1199,903,1,1,0,1
3,100,1,3,880,753,1,0,1,0
4,100,1,3,764,877,1,0,1,1
5,100,1,3,922,1315,1,0,0,1
6,100,1,3,899,1140,1,1,1,0
7,100,1,3,1041,842,1,0,1,1
8,100,1,3,976,1127,1,0,0,1
9,100,1,3,796,844,1,1,1,0
10,100,1,3,850,861,1,0,0,1
11,100,1,3,1276,990,1,0,0,1
12,100,1,3,1420,1348,1,0,0,1
1,100,2,3,1096,961,1,0,0,1
2,100,2,3,1163,1124,1,0,0,1
3,100,2,3,750,958,1,1,1,0
4,100,2,3,780,850,1,0,0,1
5,100,2,3,1352,754,1,1,0,0
6,100,2,3,858,986,1,0,1,1
7,100,2,3,1301,1059,1,0,1,1
8,100,2,3,1308,861,1,0,1,1
9,100,2,3,779,1116,1,1,0,0
10,100,2,3,947,1473,1,0,1,1
11,100,2,3,1372,934,1,0,1,1
12,100,2,3,1022,1282,1,0,0,1
1,100,3,3,1256,960,1,0,0,1
2,100,3,3,932,1007,1,0,0,1
3,100,3,3,882,963,1,1,0,1
4,100,3,3,851,949,1,0,1,0
5,100,3,3,755,973,1,0,0,1
6,100,3,3,791,794,1,1,1,1
7,100,3,3,801,906,1,0,1,1
8,100,3,3,839,751,1,0,0,0
9,100,3,3,1475,1045,1,1,1,1
10,100,3,3,818,1392,1,0,1,1
11,100,3,3,1067,843,1,0,0,0
12,100,3,3,949,1072,1,0,1,1
1,100,4,3,1099,1416,1,0,1,1
2,100,4,3,943,924,1,0,0,0
3,100,4,3,932,795,1,0,0,1
4,100,4,3,1339,818,1,1,1,1
5,100,4,3,1478,764,1,0,0,1
6,100,4,3,1385,1078,1,0,1,0
7,100,4,3,1035,1039,1,0,0,1
8,100,4,3,787,1429,1,1,0,1
9,100,4,3,1260,854,1,1,1,1
10,100,4,3,965,900,1,0,1,0
11,100,4,3,969,922,1,0,1,1
12,100,4,3,1444,1314,1,0,0,1
1,100,5,3,1117,750,1,0,0,1
2,100,5,3,1338,921,1,0,1,1
