trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,1029,1263,1,0,1,1
2,100,0,3,1036,1029,1,0,0,1
3,100,0,3,852,835,1,0,1,1
4,100,0,3,1147,1127,1,1,0,0
5,100,0,3,1076,1260,1,0,1,1
6,100,0,3,1267,881,1,0,1,1
7,100,0,3,853,891,1,0,0,1
8,100,0,3,1242,1279,1,1,0,0
9,100,0,3,800,758,1,0,0,1
10,100,0,3,863,786,1,1,1,1
11,100,0,3,1063,950,1,0,1,0
12,100,0,3,867,951,1,0,0,1
1,100,1,3,1011,1034,1,0,1,1
2,100,1,3,961,1229,1,0,0,0
3,100,1,3,985,1354,1,0,1,1
4,100,1,3,1487,831,1,1,0,1
5,100,1,3,759,1166,1,0,1,1
6,100,1,3,1292,1266,1,0,0,0
7,100,1,3,793,1284,1,1,1,1
8,100,1,3,1408,1093,1,0,0,1
9,100,1,3,1396,1044,1,1,1,0
10,100,1,3,1233,1101,1,0,0,1
11,100,1,3,965,1191,1,0,1,1
12,100,1,3,926,1107,1,0,0,1
1,100,2,3,924,870,1,0,0,1
2,100,2,3,903,1358,1,1,1,1
3,100,2,3,1358,1158,1,0,1,0
4,100,2,3,932,1243,1,0,0,1
5,100,2,3,1272,1087,1,0,0,1
6,100,2,3,1133,1143,1,1,1,0
7,100,2,3,1000,933,1,0,1,1
8,100,2,3,955,830,1,0,0,1
9,100,2,3,844,985,1,0,1,0
10,100,2,3,1286,827,1,1,0,1
11,100,2,3,1162,1205,1,0,1,1
12,100,2,3,1064,1244,1,0,0,1
1,100,3,3,1092,906,1,0,0,1
2,100,3,3,997,914,1,0,1,1
3,100,3,3,896,774,1,1,0,1
4,100,3,3,833,1041,1,0,1,0
5,100,3,3,1055,1165,1,0,1,1
6,100,3,3,847,915,1,0,1,1
7,100,3,3,1229,1353,1,1,0,1
8,100,3,3,1211,1118,1,0,0,0
9,100,3,3,1254,780,1,1,1,1
10,100,3,3,1199,1217,1,0,0,0
11,100,3,3,932,820,1,0,1,1
12,100,3,3,1348,1317,1,0,0,1
1,100,4,3,935,1414,1,0,1,1
2,100,4,3,1244,931,1,1,0,1
3,100,4,3,1168,1009,1,0,0,1
4,100,4,3,1053,1025,1,0,1,0
5,100,4,3,760,794,1,1,1,0
6,100,4,3,950,1386,1,0,0,1
7,100,4,3,861,1400,1,0,0,1
8,100,4,3,782,995,1,0,1,1
9,100,4,3,1389,934,1,1,0,0
10,100,4,3,1498,1329,1,0,0,1
11,100,4,3,1373,848,1,0,1,1
12,100,4,3,1106,1381,1,0,1,1
1,100,5,3,1147,995,1,0,0,1
2,100,5,3,785,910,1,0,1,1
3,100,5,3,1254,847,1,0,1,1
4,100,5,3,1165,1305,1,1,1,0
5,100,5,3,1192,989,1,0,0,1
6,100,5,3,832,1296,1,0,1,1
7,100,5,3,962,779,1,0,0,1
8,100,5,3,962,1273,1,1,0,0
9,100,5,3,869,1111,1,1,1,1
10,100,5,3,761,1214,1,0,0,1
11,100,5,3,1026,1354,1,0,0,1
12,100,5,3,1033,931,1,0,1,0
1,100,0,3,958,920,2,0,0,1
2,100,0,3,1108,845,2,0,0,1
3,100,0,3,1473,1003,2,0,1,1
4,100,0,3,1055,866,2,1,0,0
5,100,0,3,905,1055,2,0,1,1
6,100,0,3,821,1021,2,0,0,0
7,100,0,3,1389,887,2,0,1,1
8,100,0,3,1485,1196,2,1,1,1
9,100,0,3,823,893,2,1,0,1
10,100,0,3,1286,833,2,0,0,0
11,100,0,3,1488,1414,2,0,1,1
12,100,0,3,797,1114,2,0,1,1
1,100,1,3,851,1463,2,0,0,1
2,100,1,3,1283,1111,2,0,1,1
3,100,1,3,1004,969,2,0,1,1
4,100,1,3,1430,756,2,1,1,0
5,100,1,3,1489,1070,2,0,0,0
6,100,1,3,779,1150,2,0,1,1
7,100,1,3,754,935,2,1,0,1
8,100,1,3,1351,1162,2,0,0,1
9,100,1,3,880,1419,2,1,1,0
10,100,1,3,862,773,2,0,0,1
11,100,1,3,917,890,2,0,1,1
12,100,1,3,1366,802,2,0,0,1
1,100,2,3,1295,1014,2,0,0,1
2,100,2,3,834,1373,2,0,1,1
3,100,2,3,1320,929,2,0,0,0
4,100,2,3,1263,865,2,1,1,1
5,100,2,3,1416,1405,2,0,1,0
6,100,2,3,1150,834,2,0,0,1
7,100,2,3,885,1001,2,0,1,1
8,100,2,3,776,1230,2,1,0,1
9,100,2,3,1015,835,2,0,0,0
10,100,2,3,1100,876,2,0,0,1
11,100,2,3,902,1039,2,1,1,1
12,100,2,3,892,900,2,0,1,1
1,100,3,3,1030,1347,2,0,0,1
2,100,3,3,1201,1394,2,0,1,1
3,100,3,3,1239,876,2,0,0,1
4,100,3,3,800,1189,2,1,1,0
5,100,3,3,987,956,2,0,0,1
6,100,3,3,930,962,2,0,0,1
7,100,3,3,933,995,2,1,1,1
8,100,3,3,1104,1246,2,0,1,0
9,100,3,3,1028,1212,2,0,1,1
10,100,3,3,900,1101,2,0,0,1
11,100,3,3,1148,844,2,1,1,1
12,100,3,3,761,989,2,0,0,0
1,100,4,3,787,1315,2,0,1,1
2,100,4,3,815,1196,2,0,0,1
3,100,4,3,811,762,2,0,1,1
4,100,4,3,765,1270,2,1,0,0
5,100,4,3,1001,1263,2,1,0,1
6,100,4,3,1339,1204,2,0,1,0
7,100,4,3,1232,1061,2,0,0,1
8,100,4,3,1302,835,2,0,1,1
9,100,4,3,1155,1473,2,1,1,1
10,100,4,3,1434,906,2,0,0,0
11,100,4,3,1432,1199,2,0,1,1
12,100,4,3,1057,1270,2,0,0,1
1,100,5,3,1415,910,2,0,1,1
2,100,5,3,1013,858,2,0,1,1
3,100,5,3,828,1405,2,1,0,0
4,100,5,3,1006,976,2,0,1,1
5,100,5,3,1162,989,2,0,0,1
6,100,5,3,974,999,2,0,0,1
7,100,5,3,872,784,2,1,1,0
8,100,5,3,1070,893,2,0,1,1
9,100,5,3,1178,1259,2,0,0,0
10,100,5,3,964,1057,2,1,0,1
11,100,5,3,989,875,2,0,1,1
12,100,5,3,932,1407,2,0,0,1
