trial_n,gen,condition,task,ITI,ISI,block
1,3,0,4,800,528,1
2,1,0,4,916,533,1
3,8,0,4,944,593,1
4,6,0,4,366,374,1
5,5,0,4,504,479,1
6,5,0,4,987,733,1
7,0,0,4,691,414,1
8,4,0,4,350,847,1
9,3,0,4,582,740,1
10,7,0,4,714,607,1
11,4,0,4,305,442,1
12,2,0,4,951,313,1
13,6,0,4,764,374,1
14,1,0,4,618,359,1
15,2,0,4,488,300,1
16,7,0,4,425,646,1
17,8,0,4,417,676,1
18,0,0,4,419,613,1
1,4,1,4,958,311,1
2,6,1,4,585,468,1
3,0,1,4,626,863,1
4,5,1,4,441,484,1
5,8,1,4,350,344,1
6,2,1,4,314,376,1
7,3,1,4,458,585,1
8,7,1,4,748,880,1
9,1,1,4,259,461,1
10,2,1,4,352,497,1
11,7,1,4,842,414,1
12,1,1,4,452,655,1
13,4,1,4,653,641,1
14,8,1,4,609,514,1
15,5,1,4,262,685,1
16,6,1,4,780,595,1
17,3,1,4,908,488,1
18,0,1,4,919,674,1
1,4,2,4,331,358,1
2,5,2,4,919,836,1
3,0,2,4,364,303,1
4,3,2,4,296,378,1
5,2,2,4,334,763,1
6,2,2,4,976,281,1
7,8,2,4,935,300,1
8,4,2,4,279,623,1
9,6,2,4,398,526,1
10,8,2,4,784,458,1
11,3,2,4,714,698,1
12,7,2,4,712,452,1
13,0,2,4,847,269,1
14,1,2,4,890,586,1
15,1,2,4,693,712,1
16,7,2,4,306,763,1
17,5,2,4,450,559,1
18,6,2,4,303,666,1
1,5,3,4,469,410,1
2,2,3,4,390,977,1
3,1,3,4,745,326,1
4,1,3,4,735,735,1
5,3,3,4,649,663,1
6,8,3,4,385,616,1
7,6,3,4,927,820,1
8,2,3,4,747,909,1
9,7,3,4,346,921,1
10,0,3,4,837,459,1
11,8,3,4,262,333,1
12,5,3,4,993,780,1
13,6,3,4,290,280,1
14,7,3,4,966,664,1
15,4,3,4,558,397,1
16,4,3,4,278,261,1
17,0,3,4,637,284,1
18,3,3,4,389,816,1
1,0,4,4,832,567,1
2,6,4,4,406,883,1
3,8,4,4,319,496,1
4,7,4,4,290,674,1
5,2,4,4,907,770,1
6,3,4,4,625,336,1
7,1,4,4,898,405,1
8,4,4,4,991,541,1
9,0,4,4,851,539,1
10,1,4,4,329,345,1
11,3,4,4,859,379,1
12,4,4,4,866,351,1
13,5,4,4,281,496,1
14,6,4,4,793,448,1
15,5,4,4,490,713,1
16,8,4,4,868,729,1
17,2,4,4,588,536,1
18,7,4,4,887,274,1
1,0,5,4,412,671,1
2,6,5,4,384,862,1
3,4,5,4,886,885,1
4,0,5,4,580,339,1
5,6,5,4,341,561,1
6,2,5,4,981,726,1
7,5,5,4,260,318,1
8,4,5,4,287,392,1
9,7,5,4,545,536,1
10,8,5,4,519,301,1
11,7,5,4,871,481,1
12,3,5,4,347,264,1
13,3,5,4,293,500,1
14,8,5,4,837,545,1
15,5,5,4,269,786,1
16,2,5,4,271,346,1
17,1,5,4,613,505,1
18,1,5,4,359,382,1
1,0,0,4,847,724,2
2,2,0,4,912,606,2
3,8,0,4,318,589,2
4,1,0,4,279,635,2
5,7,0,4,918,899,2
6,3,0,4,830,274,2
7,8,0,4,519,708,2
8,3,0,4,329,568,2
9,6,0,4,604,725,2
10,0,0,4,326,641,2
11,1,0,4,271,326,2
12,7,0,4,418,612,2
13,2,0,4,335,780,2
14,4,0,4,870,395,2
15,5,0,4,974,583,2
16,5,0,4,651,667,2
17,4,0,4,391,562,2
18,6,0,4,687,553,2
