trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,270,738,1
2,4,5,0,0,0,9,262,283,1
3,3,4,1,0,0,9,572,270,1
4,7,8,0,1,0,9,272,857,1
5,7,8,1,1,0,9,427,444,1
6,2,3,0,1,0,9,561,455,1
7,0,1,1,1,0,9,894,292,1
8,1,2,1,1,0,9,361,632,1
9,0,1,0,1,0,9,435,620,1
10,3,4,0,1,0,9,508,256,1
11,6,7,0,0,0,9,901,838,1
12,1,2,0,0,0,9,279,618,1
13,5,6,0,0,0,9,753,494,1
14,2,3,1,1,0,9,479,611,1
15,5,6,1,0,0,9,297,829,1
16,4,5,1,0,0,9,393,383,1
1,6,7,1,0,1,9,761,735,1
2,4,5,0,0,1,9,655,717,1
3,3,4,1,0,1,9,627,873,1
4,7,8,0,1,1,9,338,397,1
5,7,8,1,1,1,9,823,381,1
6,2,3,0,1,1,9,376,732,1
7,0,1,1,1,1,9,517,909,1
8,1,2,1,1,1,9,572,992,1
9,0,1,0,1,1,9,798,987,1
10,3,4,0,1,1,9,495,463,1
11,6,7,0,0,1,9,304,692,1
12,1,2,0,0,1,9,565,738,1
13,5,6,0,0,1,9,595,696,1
14,2,3,1,1,1,9,695,376,1
15,5,6,1,0,1,9,580,679,1
16,4,5,1,0,1,9,792,777,1
1,6,7,1,0,2,9,720,317,1
2,4,5,0,0,2,9,844,762,1
3,3,4,1,0,2,9,754,586,1
4,7,8,0,1,2,9,591,795,1
5,7,8,1,1,2,9,604,716,1
6,2,3,0,1,2,9,620,983,1
7,0,1,1,1,2,9,813,615,1
8,1,2,1,1,2,9,657,805,1
9,0,1,0,1,2,9,362,943,1
10,3,4,0,1,2,9,431,420,1
11,6,7,0,0,2,9,898,326,1
12,1,2,0,0,2,9,425,566,1
13,5,6,0,0,2,9,421,596,1
14,2,3,1,1,2,9,699,305,1
15,5,6,1,0,2,9,326,398,1
16,4,5,1,0,2,9,966,312,1
1,6,7,1,0,3,9,957,286,1
2,4,5,0,0,3,9,418,925,1
3,3,4,1,0,3,9,678,330,1
4,7,8,0,1,3,9,974,609,1
5,7,8,1,1,3,9,314,393,1
6,2,3,0,1,3,9,466,366,1
7,0,1,1,1,3,9,457,593,1
8,1,2,1,1,3,9,316,813,1
9,0,1,0,1,3,9,653,336,1
10,3,4,0,1,3,9,463,814,1
11,6,7,0,0,3,9,875,450,1
12,1,2,0,0,3,9,271,276,1
13,5,6,0,0,3,9,411,309,1
14,2,3,1,1,3,9,404,368,1
15,5,6,1,0,3,9,793,446,1
16,4,5,1,0,3,9,761,510,1
1,6,7,1,0,4,9,980,318,1
2,4,5,0,0,4,9,941,256,1
3,3,4,1,0,4,9,697,765,1
4,7,8,0,1,4,9,331,793,1
5,7,8,1,1,4,9,751,262,1
6,2,3,0,1,4,9,999,275,1
7,0,1,1,1,4,9,535,458,1
8,1,2,1,1,4,9,305,457,1
9,0,1,0,1,4,9,631,717,1
10,3,4,0,1,4,9,669,584,1
11,6,7,0,0,4,9,688,415,1
12,1,2,0,0,4,9,253,633,1
13,5,6,0,0,4,9,699,300,1
14,2,3,1,1,4,9,590,252,1
15,5,6,1,0,4,9,955,287,1
16,4,5,1,0,4,9,574,575,1
1,6,7,1,0,5,9,361,728,1
2,4,5,0,0,5,9,960,268,1
