trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,876,735,1
2,4,5,0,0,0,9,663,433,1
3,3,4,1,0,0,9,687,390,1
4,7,8,0,1,0,9,334,358,1
5,7,8,1,1,0,9,817,806,1
6,2,3,0,1,0,9,547,357,1
7,0,1,1,1,0,9,617,324,1
8,1,2,1,1,0,9,398,375,1
9,0,1,0,1,0,9,526,838,1
10,3,4,0,1,0,9,407,290,1
11,6,7,0,0,0,9,350,779,1
12,1,2,0,0,0,9,285,311,1
13,5,6,0,0,0,9,573,469,1
14,2,3,1,1,0,9,301,326,1
15,5,6,1,0,0,9,597,331,1
16,4,5,1,0,0,9,260,394,1
1,6,7,1,0,1,9,265,477,1
2,4,5,0,0,1,9,557,316,1
3,3,4,1,0,1,9,497,285,1
4,7,8,0,1,1,9,905,349,1
5,7,8,1,1,1,9,296,861,1
6,2,3,0,1,1,9,594,397,1
7,0,1,1,1,1,9,469,361,1
8,1,2,1,1,1,9,700,694,1
9,0,1,0,1,1,9,295,257,1
10,3,4,0,1,1,9,337,543,1
11,6,7,0,0,1,9,533,835,1
12,1,2,0,0,1,9,491,944,1
13,5,6,0,0,1,9,305,340,1
14,2,3,1,1,1,9,657,988,1
15,5,6,1,0,1,9,682,250,1
16,4,5,1,0,1,9,368,569,1
1,6,7,1,0,2,9,606,808,1
2,4,5,0,0,2,9,306,674,1
3,3,4,1,0,2,9,354,531,1
4,7,8,0,1,2,9,810,297,1
5,7,8,1,1,2,9,553,595,1
6,2,3,0,1,2,9,654,560,1
7,0,1,1,1,2,9,619,432,1
8,1,2,1,1,2,9,588,340,1
9,0,1,0,1,2,9,262,488,1
10,3,4,0,1,2,9,254,660,1
11,6,7,0,0,2,9,879,650,1
12,1,2,0,0,2,9,939,374,1
13,5,6,0,0,2,9,764,628,1
14,2,3,1,1,2,9,895,456,1
15,5,6,1,0,2,9,371,594,1
16,4,5,1,0,2,9,648,378,1
1,6,7,1,0,3,9,527,791,1
2,4,5,0,0,3,9,726,260,1
3,3,4,1,0,3,9,587,415,1
4,7,8,0,1,3,9,304,953,1
5,7,8,1,1,3,9,883,824,1
6,2,3,0,1,3,9,450,401,1
7,0,1,1,1,3,9,795,666,1
8,1,2,1,1,3,9,591,696,1
9,0,1,0,1,3,9,360,569,1
10,3,4,0,1,3,9,478,695,1
11,6,7,0,0,3,9,457,400,1
12,1,2,0,0,3,9,364,578,1
13,5,6,0,0,3,9,438,354,1
14,2,3,1,1,3,9,468,562,1
15,5,6,1,0,3,9,972,439,1
16,4,5,1,0,3,9,691,692,1
1,6,7,1,0,4,9,746,941,1
2,4,5,0,0,4,9,984,514,1
3,3,4,1,0,4,9,548,615,1
4,7,8,0,1,4,9,605,287,1
5,7,8,1,1,4,9,444,251,1
6,2,3,0,1,4,9,485,902,1
7,0,1,1,1,4,9,387,703,1
8,1,2,1,1,4,9,567,393,1
9,0,1,0,1,4,9,832,466,1
10,3,4,0,1,4,9,284,618,1
11,6,7,0,0,4,9,383,384,1
12,1,2,0,0,4,9,530,383,1
13,5,6,0,0,4,9,382,566,1
14,2,3,1,1,4,9,630,844,1
15,5,6,1,0,4,9,474,432,1
16,4,5,1,0,4,9,651,342,1
1,6,7,1,0,5,9,606,954,1
2,4,5,0,0,5,9,533,789,1
3,3,4,1,0,5,9,743,452,1
4,7,8,0,1,5,9,309,302,1
5,7,8,1,1,5,9,422,294,1
6,2,3,0,1,5,9,892,865,1
7,0,1,1,1,5,9,490,840,1
8,1,2,1,1,5,9,399,670,1
9,0,1,0,1,5,9,564,626,1
10,3,4,0,1,5,9,797,473,1
11,6,7,0,0,5,9,443,253,1
12,1,2,0,0,5,9,513,419,1
13,5,6,0,0,5,9,472,283,1
14,2,3,1,1,5,9,363,652,1
15,5,6,1,0,5,9,831,266,1
16,4,5,1,0,5,9,582,787,1
1,6,7,1,0,0,9,632,362,2
2,4,5,0,0,0,9,304,352,2
3,3,4,1,0,0,9,400,939,2
4,7,8,0,1,0,9,476,452,2
5,7,8,1,1,0,9,619,568,2
6,2,3,0,1,0,9,936,784,2
7,0,1,1,1,0,9,734,581,2
8,1,2,1,1,0,9,301,329,2
9,0,1,0,1,0,9,543,365,2
10,3,4,0,1,0,9,425,384,2
11,6,7,0,0,0,9,300,264,2
12,1,2,0,0,0,9,265,895,2
13,5,6,0,0,0,9,689,563,2
