trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,847,1008,1,0,1,1
2,100,0,3,1199,1333,1,0,1,1
3,100,0,3,1090,806,1,0,1,0
4,100,0,3,1020,1349,1,1,0,1
5,100,0,3,826,869,1,0,0,1
6,100,0,3,777,1014,1,0,1,0
7,100,0,3,902,754,1,0,0,1
8,100,0,3,878,1032,1,1,0,1
9,100,0,3,999,921,1,0,1,0
10,100,0,3,774,887,1,0,0,1
11,100,0,3,828,805,1,0,1,1
12,100,0,3,1443,1091,1,1,0,1
1,100,1,3,1009,1182,1,0,1,1
2,100,1,3,1345,1233,1,0,0,0
3,100,1,3,1449,1187,1,0,1,1
4,100,1,3,755,881,1,1,0,1
5,100,1,3,757,1044,1,0,1,1
6,100,1,3,1402,821,1,0,0,0
7,100,1,3,864,1075,1,1,1,1
8,100,1,3,1258,884,1,0,0,1
9,100,1,3,1485,1428,1,1,1,1
10,100,1,3,1091,792,1,0,0,0
11,100,1,3,1462,1476,1,0,0,1
12,100,1,3,899,947,1,0,1,1
1,100,2,3,1349,864,1,0,0,1
2,100,2,3,810,1123,1,0,1,1
3,100,2,3,834,1347,1,0,1,0
4,100,2,3,1203,880,1,1,0,1
5,100,2,3,872,1350,1,0,1,1
6,100,2,3,1113,851,1,1,0,1
7,100,2,3,1108,1275,1,0,0,0
8,100,2,3,930,1334,1,0,1,1
9,100,2,3,782,1486,1,1,0,1
10,100,2,3,992,1261,1,0,0,1
11,100,2,3,1016,930,1,0,1,0
12,100,2,3,984,890,1,0,1,1
1,100,3,3,1062,1417,1,0,1,1
2,100,3,3,1047,1397,1,1,0,0
3,100,3,3,1031,965,1,0,0,1
4,100,3,3,1380,1227,1,0,0,1
5,100,3,3,1097,1182,1,0,1,0
6,100,3,3,977,1023,1,1,1,1
7,100,3,3,756,776,1,0,0,1
8,100,3,3,950,790,1,0,1,1
9,100,3,3,1327,896,1,0,1,0
10,100,3,3,932,790,1,1,1,1
11,100,3,3,992,781,1,0,0,1
12,100,3,3,1143,1160,1,0,0,1
1,100,4,3,1147,1369,1,0,0,1
2,100,4,3,923,914,1,0,0,1
3,100,4,3,1138,887,1,1,1,1
4,100,4,3,1263,1172,1,0,1,0
5,100,4,3,1337,784,1,1,0,1
6,100,4,3,1012,816,1,0,1,0
7,100,4,3,1260,1045,1,0,1,1
8,100,4,3,1138,1170,1,0,1,1
9,100,4,3,943,780,1,1,0,1
10,100,4,3,1036,1390,1,0,0,0
11,100,4,3,755,1458,1,0,1,1
12,100,4,3,1460,1229,1,0,0,1
1,100,5,3,1190,833,1,0,1,1
2,100,5,3,782,769,1,0,1,0
3,100,5,3,1347,785,1,0,1,1
4,100,5,3,979,1154,1,1,0,1
5,100,5,3,1052,818,1,0,0,0
6,100,5,3,1272,1333,1,1,0,1
7,100,5,3,1439,840,1,0,1,1
8,100,5,3,768,1008,1,0,0,1
9,100,5,3,1035,792,1,1,1,0
10,100,5,3,830,1320,1,0,0,1
11,100,5,3,1405,917,1,0,0,1
12,100,5,3,1238,1184,1,0,1,1
1,100,0,3,825,1327,2,0,1,1
2,100,0,3,1445,1342,2,0,0,1
3,100,0,3,971,1357,2,0,1,0
4,100,0,3,1392,1255,2,1,0,1
5,100,0,3,1048,1303,2,0,0,1
6,100,0,3,1285,1265,2,0,1,1
7,100,0,3,1025,1130,2,0,1,0
8,100,0,3,948,1185,2,1,0,1
9,100,0,3,1351,1443,2,0,1,1
10,100,0,3,1004,1179,2,1,0,0
11,100,0,3,890,1278,2,0,0,1
12,100,0,3,762,846,2,0,1,1
1,100,1,3,851,829,2,0,1,1
2,100,1,3,1379,1125,2,0,1,1
3,100,1,3,898,1325,2,0,0,1
4,100,1,3,1193,1466,2,1,0,0
5,100,1,3,1032,1293,2,0,1,1
6,100,1,3,964,1265,2,1,0,1
7,100,1,3,1403,816,2,0,1,1
8,100,1,3,908,975,2,0,0,0
9,100,1,3,1153,1416,2,1,1,1
10,100,1,3,894,1446,2,0,0,1
11,100,1,3,876,979,2,0,0,0
12,100,1,3,1280,827,2,0,1,1
1,100,2,3,943,819,2,0,0,1
2,100,2,3,1020,1283,2,1,1,1
3,100,2,3,1071,1053,2,0,0,1
4,100,2,3,977,1218,2,0,1,0
5,100,2,3,1443,988,2,1,0,1
6,100,2,3,1000,811,2,0,0,0
7,100,2,3,1125,1170,2,0,1,1
8,100,2,3,1206,1334,2,0,0,1
9,100,2,3,878,944,2,1,0,1
10,100,2,3,1154,1431,2,0,1,0
11,100,2,3,1060,802,2,0,1,1
12,100,2,3,936,782,2,0,1,1
1,100,3,3,901,850,2,0,0,1
2,100,3,3,1191,1137,2,0,1,1
3,100,3,3,1362,1484,2,1,1,1
