trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,72,1,0,2,253,256,1,2
2,154,1,0,2,419,772,1,0
3,26,0,0,2,270,301,1,0
4,94,1,0,2,538,671,1,0
5,56,1,0,2,333,478,1,0
6,83,0,0,2,662,256,1,0
7,111,0,0,2,558,671,1,0
8,47,1,0,2,439,367,1,0
9,31,0,0,2,807,340,1,0
10,111,0,0,2,807,525,1,0
11,104,1,0,2,605,671,1,0
12,92,0,0,2,854,452,1,0
13,169,1,0,2,333,772,1,0
14,51,0,0,2,333,367,1,0
15,139,1,0,2,438,264,1,0
16,173,0,0,2,333,260,1,0
17,112,1,0,2,460,256,1,0
18,30,1,0,2,558,478,1,0
19,105,0,0,2,333,661,1,0
20,127,0,0,2,335,772,1,0
1,124,1,1,2,526,544,1,2
2,48,0,1,2,488,375,1,0
3,147,1,1,2,298,405,1,0
4,160,0,1,2,445,677,1,0
5,172,0,1,2,772,687,1,0
6,120,1,1,2,813,666,1,0
7,85,1,1,2,360,303,1,0
8,88,0,1,2,256,376,1,0
9,165,1,1,2,272,405,1,0
10,173,0,1,2,429,666,1,0
11,164,1,1,2,433,882,1,0
12,161,0,1,2,488,467,1,0
13,60,1,1,2,853,303,1,0
14,36,0,1,2,429,375,1,0
15,143,0,1,2,360,559,1,0
16,60,1,1,2,591,434,1,0
17,127,0,1,2,272,666,1,0
18,125,1,1,2,757,279,1,0
19,144,0,1,2,813,467,1,0
20,80,1,1,2,853,703,1,0
1,112,1,2,2,549,252,1,2
2,145,0,2,2,253,298,1,0
3,95,1,2,2,612,753,1,0
4,145,0,2,2,365,651,1,0
5,88,1,2,2,549,335,1,0
6,105,0,2,2,880,753,1,0
7,67,0,2,2,896,281,1,0
8,157,1,2,2,932,522,1,0
9,40,0,2,2,596,715,1,0
10,164,1,2,2,596,433,1,0
11,119,1,2,2,631,385,1,0
12,164,0,2,2,896,778,1,0
13,63,1,2,2,751,722,1,0
14,26,0,2,2,667,298,1,0
15,66,0,2,2,365,298,1,0
16,169,1,2,2,596,298,1,0
17,119,0,2,2,991,723,1,0
18,94,1,2,2,255,715,1,0
19,91,0,2,2,631,335,1,0
20,98,1,2,2,631,262,1,0
1,149,0,3,2,412,566,1,0
2,47,1,3,2,287,293,1,2
3,138,1,3,2,351,268,1,0
4,98,0,3,2,382,264,1,0
5,81,0,3,2,354,265,1,0
6,55,1,3,2,492,283,1,0
7,50,1,3,2,729,366,1,0
8,141,0,3,2,600,252,1,0
9,163,0,3,2,354,476,1,0
10,97,1,3,2,573,560,1,0
11,35,0,3,2,595,265,1,0
12,69,0,3,2,447,252,1,0
13,119,1,3,2,379,744,1,0
14,139,1,3,2,345,382,1,0
15,170,0,3,2,595,381,1,0
16,123,1,3,2,870,962,1,0
17,94,0,3,2,573,282,1,0
18,163,0,3,2,345,671,1,0
19,91,1,3,2,595,874,1,0
20,102,1,3,2,480,872,1,0
1,159,1,4,2,381,533,1,2
2,95,0,4,2,306,517,1,0
3,159,0,4,2,934,386,1,0
4,98,1,4,2,538,459,1,0
5,100,0,4,2,464,867,1,0
6,79,0,4,2,884,517,1,0
7,54,1,4,2,838,690,1,0
8,82,0,4,2,884,320,1,0
9,55,1,4,2,275,439,1,0
10,161,1,4,2,725,754,1,0
11,65,0,4,2,928,550,1,0
12,169,1,4,2,311,397,1,0
13,82,1,4,2,934,387,1,0
14,100,0,4,2,386,465,1,0
15,88,1,4,2,611,351,1,0
16,136,0,4,2,435,542,1,0
17,44,1,4,2,884,452,1,0
18,165,1,4,2,884,282,1,0
19,121,0,4,2,928,442,1,0
20,127,0,4,2,306,692,1,0
1,87,0,5,2,389,708,1,0
2,145,0,5,2,438,261,1,0
3,107,1,5,2,704,467,1,2
4,156,0,5,2,806,499,1,0
5,153,1,5,2,356,263,1,0
6,168,1,5,2,285,775,1,0
7,150,0,5,2,613,502,1,0
8,34,1,5,2,665,281,1,0
9,62,0,5,2,356,467,1,0
10,143,1,5,2,389,281,1,0
11,155,0,5,2,278,284,1,0
12,82,1,5,2,704,540,1,0
13,97,0,5,2,389,400,1,0
14,163,1,5,2,945,562,1,0
15,155,1,5,2,278,400,1,0
16,145,0,5,2,606,529,1,0
17,171,0,5,2,333,261,1,0
18,167,1,5,2,264,413,1,0
19,80,0,5,2,356,499,1,0
20,171,1,5,2,264,395,1,0
1,57,1,0,2,269,329,2,0
2,68,0,0,2,533,333,2,0
3,161,0,0,2,356,358,2,0
4,104,1,0,2,562,677,2,0
5,32,0,0,2,442,994,2,0
6,113,1,0,2,591,250,2,0
7,155,0,0,2,777,677,2,0
8,82,0,0,2,938,347,2,0
9,60,1,0,2,533,757,2,0
10,161,1,0,2,562,343,2,0
11,162,0,0,2,339,640,2,0
12,91,0,0,2,553,694,2,0
13,49,1,0,2,454,358,2,0
14,77,1,0,2,387,725,2,0
15,95,0,0,2,562,312,2,0
16,162,0,0,2,591,825,2,0
17,114,1,0,2,387,358,2,0
18,151,1,0,2,722,476,2,0
19,103,0,0,2,663,677,2,0
20,113,1,0,2,387,329,2,0
1,34,1,1,2,782,434,2,0
2,38,0,1,2,883,649,2,0
3,64,1,1,2,625,293,2,0
4,104,1,1,2,836,340,2,0
5,64,0,1,2,481,698,2,0
6,90,1,1,2,625,663,2,0
7,67,0,1,2,304,590,2,0
8,151,0,1,2,428,297,2,0
9,69,1,1,2,280,402,2,0
10,88,1,1,2,883,933,2,0
11,143,0,1,2,774,402,2,0
12,70,1,1,2,836,402,2,0
13,119,0,1,2,821,434,2,0
14,84,0,1,2,527,402,2,0
15,157,1,1,2,564,302,2,0
16,45,0,1,2,422,663,2,0
17,125,1,1,2,492,933,2,0
18,36,0,1,2,648,657,2,0
19,45,0,1,2,314,590,2,0
20,98,1,1,2,313,680,2,0
1,143,1,2,2,340,546,2,0
2,86,1,2,2,776,311,2,0
3,40,0,2,2,597,537,2,0
4,64,1,2,2,633,537,2,0
5,69,0,2,2,597,662,2,0
6,69,0,2,2,471,560,2,0
7,55,1,2,2,329,963,2,0
8,117,1,2,2,879,311,2,0
9,159,0,2,2,621,560,2,0
10,68,0,2,2,420,546,2,0
11,163,1,2,2,418,616,2,0
12,94,1,2,2,673,504,2,0
13,131,0,2,2,462,416,2,0
14,151,1,2,2,665,393,2,0
15,137,0,2,2,537,389,2,0
16,108,0,2,2,822,389,2,0
17,51,1,2,2,276,678,2,0
18,53,1,2,2,936,662,2,0
19,148,0,2,2,560,371,2,0
20,151,0,2,2,483,497,2,0
1,77,0,3,2,957,485,2,0
2,141,0,3,2,942,743,2,0
3,130,1,3,2,399,934,2,0
4,44,1,3,2,543,290,2,0
5,118,0,3,2,486,485,2,0
6,79,0,3,2,399,485,2,0
7,79,1,3,2,428,655,2,0
8,148,1,3,2,553,264,2,0
9,140,0,3,2,408,676,2,0
10,96,1,3,2,345,858,2,0
11,41,0,3,2,273,290,2,0
12,43,1,3,2,319,302,2,0
13,34,1,3,2,317,691,2,0
14,37,0,3,2,428,464,2,0
15,121,1,3,2,802,990,2,0
16,77,0,3,2,618,398,2,0
17,132,0,3,2,401,264,2,0
18,32,1,3,2,399,779,2,0
19,165,0,3,2,408,644,2,0
20,46,1,3,2,273,881,2,0
1,143,1,4,2,433,329,2,0
2,123,0,4,2,433,329,2,0
3,34,1,4,2,257,312,2,0
4,132,1,4,2,539,760,2,0
5,153,0,4,2,748,866,2,0
6,55,1,4,2,457,264,2,0
7,128,0,4,2,800,329,2,0
8,34,0,4,2,664,924,2,0
9,138,1,4,2,664,572,2,0
10,143,0,4,2,257,959,2,0
11,145,0,4,2,286,325,2,0
12,74,1,4,2,286,445,2,0
