trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,435,294,1
2,4,5,0,0,0,9,619,552,1
3,3,4,1,0,0,9,363,268,1
4,7,8,0,1,0,9,478,398,1
5,7,8,1,1,0,9,455,966,1
6,2,3,0,1,0,9,845,274,1
7,0,1,1,1,0,9,308,622,1
8,1,2,1,1,0,9,296,814,1
9,0,1,0,1,0,9,435,844,1
10,3,4,0,1,0,9,534,349,1
11,6,7,0,0,0,9,400,514,1
12,1,2,0,0,0,9,448,683,1
13,5,6,0,0,0,9,312,439,1
14,2,3,1,1,0,9,570,691,1
15,5,6,1,0,0,9,279,353,1
16,4,5,1,0,0,9,545,350,1
1,6,7,1,0,1,9,572,867,1
2,4,5,0,0,1,9,342,417,1
3,3,4,1,0,1,9,330,629,1
4,7,8,0,1,1,9,750,570,1
5,7,8,1,1,1,9,259,417,1
6,2,3,0,1,1,9,575,349,1
7,0,1,1,1,1,9,740,485,1
8,1,2,1,1,1,9,401,870,1
9,0,1,0,1,1,9,832,981,1
10,3,4,0,1,1,9,643,771,1
11,6,7,0,0,1,9,935,797,1
12,1,2,0,0,1,9,518,322,1
13,5,6,0,0,1,9,270,314,1
14,2,3,1,1,1,9,426,782,1
15,5,6,1,0,1,9,631,466,1
16,4,5,1,0,1,9,261,338,1
1,6,7,1,0,2,9,601,437,1
2,4,5,0,0,2,9,816,393,1
3,3,4,1,0,2,9,350,344,1
4,7,8,0,1,2,9,659,392,1
5,7,8,1,1,2,9,661,475,1
6,2,3,0,1,2,9,485,367,1
7,0,1,1,1,2,9,444,387,1
8,1,2,1,1,2,9,359,390,1
9,0,1,0,1,2,9,317,382,1
10,3,4,0,1,2,9,330,683,1
11,6,7,0,0,2,9,786,926,1
12,1,2,0,0,2,9,463,343,1
13,5,6,0,0,2,9,425,253,1
14,2,3,1,1,2,9,566,565,1
15,5,6,1,0,2,9,383,319,1
16,4,5,1,0,2,9,364,403,1
1,6,7,1,0,3,9,778,631,1
2,4,5,0,0,3,9,265,649,1
3,3,4,1,0,3,9,932,317,1
4,7,8,0,1,3,9,297,284,1
5,7,8,1,1,3,9,986,959,1
6,2,3,0,1,3,9,666,666,1
7,0,1,1,1,3,9,411,345,1
8,1,2,1,1,3,9,794,795,1
9,0,1,0,1,3,9,309,661,1
10,3,4,0,1,3,9,660,356,1
11,6,7,0,0,3,9,449,906,1
12,1,2,0,0,3,9,270,698,1
13,5,6,0,0,3,9,367,703,1
14,2,3,1,1,3,9,399,281,1
15,5,6,1,0,3,9,411,454,1
16,4,5,1,0,3,9,343,576,1
1,6,7,1,0,4,9,393,394,1
2,4,5,0,0,4,9,545,649,1
3,3,4,1,0,4,9,439,694,1
4,7,8,0,1,4,9,334,759,1
5,7,8,1,1,4,9,280,530,1
6,2,3,0,1,4,9,434,735,1
7,0,1,1,1,4,9,556,402,1
8,1,2,1,1,4,9,857,302,1
9,0,1,0,1,4,9,581,637,1
10,3,4,0,1,4,9,631,374,1
11,6,7,0,0,4,9,263,401,1
12,1,2,0,0,4,9,358,254,1
13,5,6,0,0,4,9,654,679,1
14,2,3,1,1,4,9,408,381,1
15,5,6,1,0,4,9,540,335,1
16,4,5,1,0,4,9,482,561,1
1,6,7,1,0,5,9,399,512,1
2,4,5,0,0,5,9,932,958,1
3,3,4,1,0,5,9,562,730,1
4,7,8,0,1,5,9,421,569,1
5,7,8,1,1,5,9,519,751,1
6,2,3,0,1,5,9,567,981,1
7,0,1,1,1,5,9,546,502,1
8,1,2,1,1,5,9,368,893,1
9,0,1,0,1,5,9,307,747,1
10,3,4,0,1,5,9,308,564,1
11,6,7,0,0,5,9,873,944,1
12,1,2,0,0,5,9,336,842,1
13,5,6,0,0,5,9,598,363,1
14,2,3,1,1,5,9,902,783,1
15,5,6,1,0,5,9,652,390,1
16,4,5,1,0,5,9,791,507,1
1,6,7,1,0,0,9,431,365,2
2,4,5,0,0,0,9,333,810,2
3,3,4,1,0,0,9,259,308,2
4,7,8,0,1,0,9,297,512,2
5,7,8,1,1,0,9,545,470,2
6,2,3,0,1,0,9,553,455,2
7,0,1,1,1,0,9,519,808,2
8,1,2,1,1,0,9,590,502,2
9,0,1,0,1,0,9,983,485,2
10,3,4,0,1,0,9,304,479,2
