trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,627,327,1
2,4,5,0,0,0,9,615,439,1
3,3,4,1,0,0,9,373,782,1
4,7,8,0,1,0,9,582,331,1
5,7,8,1,1,0,9,453,334,1
6,2,3,0,1,0,9,331,477,1
7,0,1,1,1,0,9,700,425,1
8,1,2,1,1,0,9,647,784,1
9,0,1,0,1,0,9,515,770,1
10,3,4,0,1,0,9,319,287,1
11,6,7,0,0,0,9,786,273,1
12,1,2,0,0,0,9,257,335,1
13,5,6,0,0,0,9,509,755,1
14,2,3,1,1,0,9,696,594,1
15,5,6,1,0,0,9,413,330,1
16,4,5,1,0,0,9,680,345,1
1,6,7,1,0,1,9,365,474,1
2,4,5,0,0,1,9,911,968,1
3,3,4,1,0,1,9,401,893,1
4,7,8,0,1,1,9,377,844,1
5,7,8,1,1,1,9,405,929,1
6,2,3,0,1,1,9,370,264,1
7,0,1,1,1,1,9,354,715,1
8,1,2,1,1,1,9,824,280,1
9,0,1,0,1,1,9,298,399,1
10,3,4,0,1,1,9,893,327,1
11,6,7,0,0,1,9,364,817,1
12,1,2,0,0,1,9,490,811,1
13,5,6,0,0,1,9,819,332,1
14,2,3,1,1,1,9,788,964,1
15,5,6,1,0,1,9,611,558,1
16,4,5,1,0,1,9,452,305,1
1,6,7,1,0,2,9,714,401,1
2,4,5,0,0,2,9,397,522,1
3,3,4,1,0,2,9,527,536,1
4,7,8,0,1,2,9,905,301,1
5,7,8,1,1,2,9,678,795,1
6,2,3,0,1,2,9,851,422,1
7,0,1,1,1,2,9,841,367,1
8,1,2,1,1,2,9,725,491,1
9,0,1,0,1,2,9,292,675,1
10,3,4,0,1,2,9,889,989,1
11,6,7,0,0,2,9,918,773,1
12,1,2,0,0,2,9,921,401,1
13,5,6,0,0,2,9,711,346,1
14,2,3,1,1,2,9,489,373,1
15,5,6,1,0,2,9,545,404,1
16,4,5,1,0,2,9,355,337,1
1,6,7,1,0,3,9,927,881,1
2,4,5,0,0,3,9,928,591,1
3,3,4,1,0,3,9,720,631,1
4,7,8,0,1,3,9,649,485,1
5,7,8,1,1,3,9,512,261,1
6,2,3,0,1,3,9,467,322,1
7,0,1,1,1,3,9,310,347,1
8,1,2,1,1,3,9,893,789,1
9,0,1,0,1,3,9,635,335,1
10,3,4,0,1,3,9,568,735,1
11,6,7,0,0,3,9,551,828,1
12,1,2,0,0,3,9,398,346,1
13,5,6,0,0,3,9,411,285,1
14,2,3,1,1,3,9,540,445,1
15,5,6,1,0,3,9,756,459,1
16,4,5,1,0,3,9,990,560,1
1,6,7,1,0,4,9,262,819,1
2,4,5,0,0,4,9,722,293,1
3,3,4,1,0,4,9,684,641,1
4,7,8,0,1,4,9,361,667,1
5,7,8,1,1,4,9,285,316,1
6,2,3,0,1,4,9,311,841,1
7,0,1,1,1,4,9,637,522,1
8,1,2,1,1,4,9,311,320,1
9,0,1,0,1,4,9,556,255,1
10,3,4,0,1,4,9,346,361,1
11,6,7,0,0,4,9,704,605,1
12,1,2,0,0,4,9,381,833,1
13,5,6,0,0,4,9,481,801,1
14,2,3,1,1,4,9,902,654,1
15,5,6,1,0,4,9,794,954,1
16,4,5,1,0,4,9,582,391,1
1,6,7,1,0,5,9,365,499,1
2,4,5,0,0,5,9,805,388,1
3,3,4,1,0,5,9,326,458,1
4,7,8,0,1,5,9,401,786,1
5,7,8,1,1,5,9,809,722,1
6,2,3,0,1,5,9,278,482,1
7,0,1,1,1,5,9,810,362,1
