trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,369,396,1
2,4,5,0,0,0,9,755,635,1
3,3,4,1,0,0,9,312,642,1
4,7,8,0,1,0,9,346,906,1
5,7,8,1,1,0,9,352,855,1
6,2,3,0,1,0,9,526,377,1
7,0,1,1,1,0,9,413,287,1
8,1,2,1,1,0,9,436,927,1
9,0,1,0,1,0,9,329,258,1
10,3,4,0,1,0,9,606,285,1
11,6,7,0,0,0,9,536,411,1
12,1,2,0,0,0,9,401,502,1
13,5,6,0,0,0,9,266,457,1
14,2,3,1,1,0,9,563,595,1
15,5,6,1,0,0,9,717,509,1
16,4,5,1,0,0,9,639,898,1
1,6,7,1,0,1,9,292,549,1
2,4,5,0,0,1,9,454,518,1
3,3,4,1,0,1,9,627,807,1
4,7,8,0,1,1,9,344,496,1
5,7,8,1,1,1,9,269,814,1
6,2,3,0,1,1,9,300,825,1
7,0,1,1,1,1,9,808,516,1
8,1,2,1,1,1,9,516,317,1
9,0,1,0,1,1,9,330,299,1
10,3,4,0,1,1,9,379,256,1
11,6,7,0,0,1,9,688,523,1
12,1,2,0,0,1,9,963,288,1
13,5,6,0,0,1,9,497,449,1
14,2,3,1,1,1,9,306,439,1
15,5,6,1,0,1,9,709,799,1
16,4,5,1,0,1,9,528,708,1
1,6,7,1,0,2,9,348,545,1
2,4,5,0,0,2,9,821,371,1
3,3,4,1,0,2,9,482,321,1
4,7,8,0,1,2,9,525,349,1
5,7,8,1,1,2,9,952,320,1
6,2,3,0,1,2,9,273,904,1
7,0,1,1,1,2,9,277,255,1
8,1,2,1,1,2,9,348,350,1
9,0,1,0,1,2,9,386,287,1
10,3,4,0,1,2,9,925,359,1
11,6,7,0,0,2,9,281,428,1
12,1,2,0,0,2,9,730,462,1
13,5,6,0,0,2,9,761,778,1
14,2,3,1,1,2,9,545,896,1
15,5,6,1,0,2,9,442,661,1
16,4,5,1,0,2,9,402,935,1
1,6,7,1,0,3,9,275,494,1
2,4,5,0,0,3,9,582,310,1
3,3,4,1,0,3,9,277,538,1
4,7,8,0,1,3,9,450,616,1
5,7,8,1,1,3,9,455,862,1
6,2,3,0,1,3,9,286,628,1
7,0,1,1,1,3,9,477,503,1
8,1,2,1,1,3,9,966,790,1
9,0,1,0,1,3,9,990,782,1
10,3,4,0,1,3,9,600,396,1
11,6,7,0,0,3,9,992,503,1
12,1,2,0,0,3,9,291,399,1
13,5,6,0,0,3,9,646,354,1
14,2,3,1,1,3,9,844,467,1
15,5,6,1,0,3,9,267,416,1
16,4,5,1,0,3,9,252,256,1
1,6,7,1,0,4,9,531,342,1
2,4,5,0,0,4,9,387,597,1
3,3,4,1,0,4,9,276,639,1
4,7,8,0,1,4,9,718,688,1
5,7,8,1,1,4,9,476,762,1
6,2,3,0,1,4,9,694,478,1
7,0,1,1,1,4,9,471,566,1
8,1,2,1,1,4,9,552,786,1
9,0,1,0,1,4,9,358,635,1
10,3,4,0,1,4,9,595,613,1
11,6,7,0,0,4,9,740,671,1
12,1,2,0,0,4,9,444,854,1
13,5,6,0,0,4,9,288,641,1
14,2,3,1,1,4,9,280,776,1
15,5,6,1,0,4,9,340,962,1
16,4,5,1,0,4,9,411,742,1
1,6,7,1,0,5,9,305,527,1
2,4,5,0,0,5,9,349,777,1
3,3,4,1,0,5,9,261,389,1
4,7,8,0,1,5,9,677,631,1
5,7,8,1,1,5,9,483,255,1
6,2,3,0,1,5,9,500,388,1
7,0,1,1,1,5,9,762,318,1
8,1,2,1,1,5,9,830,265,1
9,0,1,0,1,5,9,442,450,1
10,3,4,0,1,5,9,356,354,1
11,6,7,0,0,5,9,592,881,1
12,1,2,0,0,5,9,328,360,1
13,5,6,0,0,5,9,775,892,1
14,2,3,1,1,5,9,355,777,1
15,5,6,1,0,5,9,584,421,1
16,4,5,1,0,5,9,906,376,1
1,6,7,1,0,0,9,768,468,2
2,4,5,0,0,0,9,906,683,2
3,3,4,1,0,0,9,643,255,2
4,7,8,0,1,0,9,436,895,2
5,7,8,1,1,0,9,703,942,2
6,2,3,0,1,0,9,289,769,2
7,0,1,1,1,0,9,663,418,2
8,1,2,1,1,0,9,447,636,2
9,0,1,0,1,0,9,449,291,2
10,3,4,0,1,0,9,888,487,2
11,6,7,0,0,0,9,253,653,2
12,1,2,0,0,0,9,312,293,2
13,5,6,0,0,0,9,926,418,2
14,2,3,1,1,0,9,694,260,2
15,5,6,1,0,0,9,287,308,2
16,4,5,1,0,0,9,719,448,2
1,6,7,1,0,1,9,463,432,2
2,4,5,0,0,1,9,382,778,2
3,3,4,1,0,1,9,337,496,2
4,7,8,0,1,1,9,782,770,2
5,7,8,1,1,1,9,457,923,2
6,2,3,0,1,1,9,890,604,2
7,0,1,1,1,1,9,463,271,2
