trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,859,881,1
2,4,5,0,0,0,9,470,430,1
3,3,4,1,0,0,9,336,794,1
4,7,8,0,1,0,9,620,503,1
5,7,8,1,1,0,9,688,272,1
6,2,3,0,1,0,9,397,675,1
7,0,1,1,1,0,9,571,986,1
8,1,2,1,1,0,9,333,712,1
9,0,1,0,1,0,9,946,391,1
10,3,4,0,1,0,9,299,490,1
11,6,7,0,0,0,9,354,663,1
12,1,2,0,0,0,9,257,851,1
13,5,6,0,0,0,9,295,309,1
14,2,3,1,1,0,9,533,461,1
15,5,6,1,0,0,9,405,959,1
16,4,5,1,0,0,9,625,298,1
1,6,7,1,0,1,9,486,452,1
2,4,5,0,0,1,9,581,261,1
3,3,4,1,0,1,9,708,333,1
4,7,8,0,1,1,9,323,603,1
5,7,8,1,1,1,9,315,870,1
6,2,3,0,1,1,9,456,479,1
7,0,1,1,1,1,9,476,904,1
8,1,2,1,1,1,9,723,362,1
9,0,1,0,1,1,9,919,253,1
10,3,4,0,1,1,9,612,569,1
11,6,7,0,0,1,9,416,318,1
12,1,2,0,0,1,9,313,903,1
13,5,6,0,0,1,9,787,298,1
14,2,3,1,1,1,9,311,779,1
15,5,6,1,0,1,9,644,828,1
16,4,5,1,0,1,9,306,864,1
1,6,7,1,0,2,9,861,441,1
2,4,5,0,0,2,9,712,773,1
3,3,4,1,0,2,9,654,442,1
4,7,8,0,1,2,9,256,540,1
5,7,8,1,1,2,9,544,483,1
6,2,3,0,1,2,9,671,445,1
7,0,1,1,1,2,9,391,763,1
8,1,2,1,1,2,9,902,696,1
9,0,1,0,1,2,9,693,906,1
10,3,4,0,1,2,9,325,296,1
11,6,7,0,0,2,9,769,876,1
12,1,2,0,0,2,9,334,608,1
13,5,6,0,0,2,9,288,291,1
14,2,3,1,1,2,9,320,633,1
15,5,6,1,0,2,9,570,657,1
16,4,5,1,0,2,9,343,796,1
1,6,7,1,0,3,9,447,298,1
2,4,5,0,0,3,9,371,564,1
3,3,4,1,0,3,9,268,281,1
4,7,8,0,1,3,9,512,411,1
5,7,8,1,1,3,9,942,430,1
6,2,3,0,1,3,9,797,509,1
7,0,1,1,1,3,9,576,364,1
8,1,2,1,1,3,9,621,425,1
9,0,1,0,1,3,9,693,355,1
10,3,4,0,1,3,9,502,708,1
11,6,7,0,0,3,9,360,875,1
12,1,2,0,0,3,9,380,270,1
13,5,6,0,0,3,9,326,690,1
14,2,3,1,1,3,9,539,972,1
15,5,6,1,0,3,9,675,962,1
16,4,5,1,0,3,9,829,314,1
1,6,7,1,0,4,9,315,307,1
2,4,5,0,0,4,9,673,388,1
3,3,4,1,0,4,9,324,911,1
4,7,8,0,1,4,9,353,486,1
5,7,8,1,1,4,9,327,720,1
6,2,3,0,1,4,9,506,586,1
7,0,1,1,1,4,9,819,640,1
8,1,2,1,1,4,9,970,362,1
9,0,1,0,1,4,9,645,391,1
10,3,4,0,1,4,9,311,481,1
11,6,7,0,0,4,9,305,311,1
12,1,2,0,0,4,9,478,760,1
13,5,6,0,0,4,9,402,792,1
14,2,3,1,1,4,9,497,917,1
15,5,6,1,0,4,9,257,336,1
16,4,5,1,0,4,9,742,267,1
1,6,7,1,0,5,9,645,968,1
2,4,5,0,0,5,9,702,455,1
3,3,4,1,0,5,9,640,593,1
4,7,8,0,1,5,9,656,686,1
5,7,8,1,1,5,9,386,367,1
6,2,3,0,1,5,9,467,952,1
7,0,1,1,1,5,9,347,500,1
8,1,2,1,1,5,9,380,392,1
9,0,1,0,1,5,9,632,466,1
10,3,4,0,1,5,9,371,305,1
11,6,7,0,0,5,9,352,460,1
12,1,2,0,0,5,9,871,506,1
13,5,6,0,0,5,9,602,386,1
14,2,3,1,1,5,9,470,255,1
15,5,6,1,0,5,9,258,406,1
16,4,5,1,0,5,9,957,321,1
1,6,7,1,0,0,9,712,333,2
2,4,5,0,0,0,9,264,448,2
3,3,4,1,0,0,9,348,683,2
4,7,8,0,1,0,9,644,482,2
5,7,8,1,1,0,9,981,364,2
6,2,3,0,1,0,9,455,445,2
7,0,1,1,1,0,9,270,393,2
8,1,2,1,1,0,9,462,400,2
9,0,1,0,1,0,9,534,906,2
10,3,4,0,1,0,9,705,579,2
11,6,7,0,0,0,9,319,615,2
12,1,2,0,0,0,9,424,747,2
13,5,6,0,0,0,9,494,495,2
14,2,3,1,1,0,9,291,815,2
15,5,6,1,0,0,9,592,618,2
16,4,5,1,0,0,9,926,652,2
1,6,7,1,0,1,9,304,307,2
2,4,5,0,0,1,9,532,734,2
3,3,4,1,0,1,9,368,380,2
4,7,8,0,1,1,9,656,736,2
5,7,8,1,1,1,9,999,437,2
6,2,3,0,1,1,9,355,809,2
7,0,1,1,1,1,9,580,531,2
8,1,2,1,1,1,9,723,298,2
9,0,1,0,1,1,9,781,476,2
10,3,4,0,1,1,9,728,734,2
11,6,7,0,0,1,9,262,543,2
12,1,2,0,0,1,9,504,373,2
13,5,6,0,0,1,9,264,460,2
14,2,3,1,1,1,9,348,258,2
15,5,6,1,0,1,9,294,460,2
16,4,5,1,0,1,9,765,945,2
1,6,7,1,0,2,9,518,595,2
2,4,5,0,0,2,9,616,478,2
3,3,4,1,0,2,9,496,939,2
4,7,8,0,1,2,9,584,323,2
5,7,8,1,1,2,9,339,654,2
6,2,3,0,1,2,9,300,322,2
7,0,1,1,1,2,9,588,412,2
8,1,2,1,1,2,9,442,399,2
9,0,1,0,1,2,9,376,698,2
10,3,4,0,1,2,9,929,588,2
11,6,7,0,0,2,9,463,409,2
12,1,2,0,0,2,9,978,355,2
13,5,6,0,0,2,9,703,572,2
14,2,3,1,1,2,9,724,513,2
15,5,6,1,0,2,9,664,396,2
16,4,5,1,0,2,9,261,808,2
1,6,7,1,0,3,9,714,350,2
2,4,5,0,0,3,9,289,355,2
3,3,4,1,0,3,9,260,527,2
4,7,8,0,1,3,9,697,300,2
5,7,8,1,1,3,9,337,392,2
6,2,3,0,1,3,9,474,362,2
7,0,1,1,1,3,9,264,283,2
8,1,2,1,1,3,9,380,609,2
9,0,1,0,1,3,9,399,298,2
10,3,4,0,1,3,9,299,797,2
11,6,7,0,0,3,9,719,849,2
12,1,2,0,0,3,9,930,321,2
13,5,6,0,0,3,9,440,481,2
14,2,3,1,1,3,9,297,404,2
15,5,6,1,0,3,9,301,292,2
16,4,5,1,0,3,9,563,652,2
1,6,7,1,0,4,9,293,542,2
2,4,5,0,0,4,9,420,646,2
3,3,4,1,0,4,9,970,916,2
4,7,8,0,1,4,9,451,420,2
5,7,8,1,1,4,9,812,920,2
6,2,3,0,1,4,9,319,320,2
7,0,1,1,1,4,9,523,451,2
8,1,2,1,1,4,9,653,434,2
9,0,1,0,1,4,9,580,304,2
10,3,4,0,1,4,9,698,746,2
11,6,7,0,0,4,9,287,643,2
12,1,2,0,0,4,9,575,917,2
13,5,6,0,0,4,9,539,979,2
14,2,3,1,1,4,9,305,544,2
15,5,6,1,0,4,9,396,330,2
16,4,5,1,0,4,9,776,349,2
1,6,7,1,0,5,9,308,516,2
2,4,5,0,0,5,9,460,606,2
3,3,4,1,0,5,9,442,871,2
4,7,8,0,1,5,9,473,411,2
5,7,8,1,1,5,9,380,435,2
6,2,3,0,1,5,9,610,536,2
7,0,1,1,1,5,9,676,277,2
8,1,2,1,1,5,9,464,299,2
9,0,1,0,1,5,9,513,530,2
10,3,4,0,1,5,9,269,380,2
11,6,7,0,0,5,9,280,680,2
12,1,2,0,0,5,9,849,330,2
13,5,6,0,0,5,9,607,711,2
14,2,3,1,1,5,9,342,578,2
15,5,6,1,0,5,9,702,579,2
16,4,5,1,0,5,9,962,609,2
