trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,68,0,0,2,715,298,1,0
2,68,1,0,2,369,472,1,2
3,84,0,0,2,565,726,1,0
4,71,0,0,2,612,272,1,0
5,162,1,0,2,292,321,1,0
6,111,1,0,2,713,360,1,0
7,66,0,0,2,292,702,1,0
8,149,0,0,2,424,702,1,0
9,105,1,0,2,359,702,1,0
10,158,1,0,2,369,391,1,0
11,161,0,0,2,422,584,1,0
12,54,1,0,2,766,573,1,0
13,110,0,0,2,359,321,1,0
14,69,0,0,2,722,611,1,0
15,129,1,0,2,612,321,1,0
16,133,1,0,2,508,295,1,0
17,100,0,0,2,422,360,1,0
18,157,1,0,2,422,586,1,0
19,89,0,0,2,569,298,1,0
20,122,1,0,2,424,988,1,0
1,163,1,1,2,306,400,1,2
2,40,0,1,2,303,545,1,0
3,152,0,1,2,266,341,1,0
4,55,1,1,2,266,400,1,0
5,89,0,1,2,810,374,1,0
6,112,1,1,2,398,341,1,0
7,120,0,1,2,364,400,1,0
8,39,0,1,2,361,341,1,0
9,117,1,1,2,361,400,1,0
10,128,0,1,2,311,672,1,0
11,140,1,1,2,578,763,1,0
12,26,1,1,2,696,664,1,0
13,78,0,1,2,575,300,1,0
14,133,1,1,2,706,972,1,0
15,107,0,1,2,250,545,1,0
16,28,1,1,2,311,253,1,0
17,133,0,1,2,953,300,1,0
18,158,0,1,2,398,406,1,0
19,87,1,1,2,303,779,1,0
20,141,1,1,2,412,779,1,0
1,57,1,2,2,299,566,1,2
2,50,1,2,2,253,371,1,0
3,109,0,2,2,661,279,1,0
4,144,0,2,2,844,566,1,0
5,120,1,2,2,276,441,1,0
6,114,0,2,2,730,279,1,0
7,122,0,2,2,577,645,1,0
8,122,1,2,2,364,991,1,0
9,73,0,2,2,682,416,1,0
10,30,1,2,2,607,380,1,0
11,67,1,2,2,288,839,1,0
12,48,0,2,2,963,361,1,0
13,162,1,2,2,283,841,1,0
14,28,0,2,2,881,371,1,0
15,25,0,2,2,767,564,1,0
16,171,1,2,2,288,841,1,0
17,118,0,2,2,367,294,1,0
18,47,1,2,2,651,441,1,0
19,80,0,2,2,738,436,1,0
20,91,1,2,2,253,380,1,0
1,56,0,3,2,913,570,1,0
2,58,1,3,2,345,341,1,2
