trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,1093,1408,1,0,0,1
2,100,0,3,901,799,1,0,1,1
3,100,0,3,989,1081,1,0,1,1
4,100,0,3,1201,788,1,1,1,0
5,100,0,3,1297,991,1,0,0,1
6,100,0,3,1071,1379,1,0,0,1
7,100,0,3,757,839,1,0,0,0
8,100,0,3,830,895,1,1,1,1
9,100,0,3,1342,772,1,0,1,0
10,100,0,3,846,1293,1,0,1,1
11,100,0,3,773,920,1,1,0,1
12,100,0,3,1393,837,1,0,0,1
1,100,1,3,1105,1443,1,0,1,1
2,100,1,3,1019,1199,1,0,1,1
3,100,1,3,1088,1174,1,0,1,0
4,100,1,3,1163,804,1,1,0,1
5,100,1,3,1209,764,1,0,0,0
6,100,1,3,759,991,1,0,1,1
7,100,1,3,910,1117,1,0,0,1
8,100,1,3,1060,952,1,1,0,1
9,100,1,3,989,1171,1,0,0,0
10,100,1,3,980,795,1,1,1,1
11,100,1,3,1171,1202,1,0,0,1
12,100,1,3,1283,978,1,0,1,1
1,100,2,3,874,1181,1,0,1,1
2,100,2,3,1177,1017,1,0,0,1
3,100,2,3,1476,941,1,1,0,0
4,100,2,3,830,980,1,0,1,1
5,100,2,3,838,1272,1,0,1,1
6,100,2,3,1107,822,1,0,1,0
7,100,2,3,1336,783,1,1,0,1
8,100,2,3,1205,1050,1,0,1,1
9,100,2,3,1352,755,1,0,0,0
10,100,2,3,925,1322,1,0,0,1
11,100,2,3,956,1268,1,1,0,1
12,100,2,3,760,1450,1,0,1,1
1,100,3,3,1170,1017,1,0,0,1
2,100,3,3,1229,850,1,1,1,1
3,100,3,3,1094,942,1,0,0,0
4,100,3,3,1321,842,1,0,1,1
5,100,3,3,1031,755,1,0,0,1
6,100,3,3,983,986,1,1,1,0
7,100,3,3,1061,1266,1,0,0,1
8,100,3,3,1132,1324,1,0,1,1
9,100,3,3,1220,1031,1,1,1,0
10,100,3,3,894,1243,1,0,0,1
11,100,3,3,944,807,1,0,0,1
12,100,3,3,765,883,1,0,1,1
1,100,4,3,782,801,1,0,0,1
2,100,4,3,975,1016,1,1,0,1
3,100,4,3,1238,791,1,0,1,0
4,100,4,3,1092,1181,1,0,0,1
5,100,4,3,965,1358,1,0,1,1
6,100,4,3,1104,1331,1,1,0,0
7,100,4,3,782,1059,1,0,1,1
8,100,4,3,788,763,1,0,1,1
9,100,4,3,974,1357,1,1,0,0
10,100,4,3,778,1227,1,0,1,1
11,100,4,3,1171,820,1,0,0,1
12,100,4,3,1464,779,1,0,1,1
1,100,5,3,804,948,1,0,0,1
2,100,5,3,875,1049,1,0,1,1
3,100,5,3,884,1242,1,1,0,1
4,100,5,3,1272,857,1,0,0,0
5,100,5,3,1085,1393,1,0,0,1
6,100,5,3,865,878,1,0,1,0
7,100,5,3,1279,1141,1,1,0,1
8,100,5,3,1187,1376,1,0,1,1
9,100,5,3,1072,1095,1,0,1,1
10,100,5,3,843,838,1,0,0,0
11,100,5,3,905,757,1,1,1,1
12,100,5,3,1101,1343,1,0,1,1
1,100,0,3,1095,870,2,0,1,1
2,100,0,3,885,803,2,0,0,1
3,100,0,3,769,1409,2,1,1,0
4,100,0,3,1246,1013,2,0,0,1
5,100,0,3,1030,1097,2,0,0,1
6,100,0,3,889,1461,2,0,1,0
7,100,0,3,1052,835,2,1,0,1
8,100,0,3,893,942,2,0,1,1
9,100,0,3,1087,1493,2,1,1,1
10,100,0,3,831,771,2,0,0,0
11,100,0,3,789,866,2,0,1,1
12,100,0,3,803,938,2,0,0,1
1,100,1,3,926,862,2,0,0,1
2,100,1,3,1497,1094,2,0,1,1
3,100,1,3,1256,1167,2,0,0,0
4,100,1,3,1373,797,2,1,1,1
5,100,1,3,906,1493,2,0,1,1
6,100,1,3,923,949,2,0,0,1
7,100,1,3,1213,902,2,1,1,0
8,100,1,3,882,828,2,0,1,1
9,100,1,3,788,1335,2,0,0,0
10,100,1,3,1146,1030,2,1,0,1
11,100,1,3,751,1272,2,0,1,1
12,100,1,3,1236,1215,2,0,0,1
1,100,2,3,890,878,2,0,1,1
2,100,2,3,922,995,2,0,0,1
3,100,2,3,860,971,2,1,0,1
4,100,2,3,771,821,2,0,0,0
5,100,2,3,1264,1294,2,0,1,1
6,100,2,3,837,1190,2,0,0,1
7,100,2,3,1247,778,2,1,1,0
8,100,2,3,886,1107,2,0,1,1
9,100,2,3,1104,1212,2,0,0,1
10,100,2,3,1029,1400,2,0,1,1
11,100,2,3,1432,1279,2,1,0,0
12,100,2,3,1491,1075,2,0,1,1
1,100,3,3,939,1030,2,0,1,0
2,100,3,3,822,920,2,0,0,1
3,100,3,3,1263,1112,2,0,1,1
4,100,3,3,777,1414,2,1,0,1
5,100,3,3,806,976,2,0,0,0
6,100,3,3,1437,864,2,0,1,1
7,100,3,3,1152,771,2,1,0,1
8,100,3,3,1473,915,2,0,1,1
9,100,3,3,1098,812,2,0,0,0
10,100,3,3,800,756,2,0,0,1
11,100,3,3,921,842,2,1,1,1
12,100,3,3,955,933,2,0,1,1
1,100,4,3,1439,984,2,0,1,1
2,100,4,3,860,1481,2,0,0,1
3,100,4,3,908,990,2,0,1,1
4,100,4,3,1003,1044,2,1,0,0
5,100,4,3,1054,1144,2,0,1,1
6,100,4,3,981,1466,2,0,1,0
7,100,4,3,820,1014,2,1,1,1
8,100,4,3,1034,753,2,0,0,1
9,100,4,3,949,1091,2,0,0,0
10,100,4,3,1404,1466,2,1,1,1
11,100,4,3,795,777,2,0,0,1
12,100,4,3,772,909,2,0,0,1
1,100,5,3,1452,876,2,0,0,1
2,100,5,3,757,1098,2,0,1,1
3,100,5,3,1020,1284,2,0,0,1
4,100,5,3,758,828,2,1,0,0
5,100,5,3,1058,826,2,0,1,1
6,100,5,3,1010,1260,2,0,0,0
7,100,5,3,837,1038,2,1,1,1
8,100,5,3,1187,792,2,0,1,1
9,100,5,3,843,947,2,1,0,0
10,100,5,3,1012,1387,2,0,1,1
11,100,5,3,1315,786,2,0,1,1
12,100,5,3,1199,863,2,0,0,1
