trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,170,0,0,2,803,867,1,0
2,65,0,0,2,814,598,1,0
3,158,1,0,2,945,813,1,0
4,156,0,0,2,945,304,1,0
5,92,1,0,2,484,803,1,0
6,148,0,0,2,814,635,1,0
1,141,0,1,2,401,661,1,0
2,48,1,1,2,756,798,1,0
3,52,1,1,2,756,700,1,0
4,100,0,1,2,592,273,1,0
5,137,1,1,2,598,659,1,0
6,54,1,1,2,657,700,1,0
1,83,0,0,2,453,486,2,0
2,84,0,0,2,528,282,2,0
3,50,1,0,2,996,394,2,0
4,136,1,0,2,315,763,2,0
5,65,0,0,2,453,282,2,0
6,95,1,0,2,315,423,2,0
1,101,0,1,2,594,630,2,0
2,131,1,1,2,418,858,2,0
3,124,0,1,2,822,721,2,0
4,140,1,1,2,429,721,2,0
5,125,0,1,2,822,630,2,0
6,160,0,1,2,669,269,2,0
