trial_n,gen,condition,task,ITI,ISI,block
1,1,0,4,275,309,1
2,5,0,4,398,556,1
3,6,0,4,915,538,1
4,0,0,4,486,626,1
5,6,0,4,420,660,1
6,7,0,4,323,285,1
7,1,0,4,471,305,1
8,8,0,4,336,539,1
9,4,0,4,354,576,1
10,8,0,4,254,961,1
11,0,0,4,365,446,1
12,3,0,4,564,404,1
13,5,0,4,854,674,1
14,2,0,4,267,570,1
15,7,0,4,327,488,1
16,3,0,4,252,483,1
17,2,0,4,427,384,1
18,4,0,4,867,360,1
1,6,1,4,250,616,1
2,1,1,4,752,973,1
3,8,1,4,375,856,1
4,8,1,4,449,501,1
5,0,1,4,363,277,1
6,5,1,4,343,613,1
7,1,1,4,642,545,1
8,7,1,4,551,821,1
9,7,1,4,278,428,1
10,2,1,4,499,280,1
11,3,1,4,972,694,1
12,4,1,4,478,871,1
13,3,1,4,313,944,1
14,2,1,4,259,695,1
15,4,1,4,279,349,1
16,5,1,4,947,315,1
17,0,1,4,731,280,1
18,6,1,4,657,560,1
1,2,2,4,801,454,1
2,2,2,4,704,481,1
3,3,2,4,496,689,1
4,5,2,4,633,333,1
5,6,2,4,308,626,1
6,4,2,4,417,476,1
7,7,2,4,951,349,1
8,6,2,4,303,523,1
9,8,2,4,440,399,1
10,8,2,4,720,279,1
11,3,2,4,310,666,1
12,1,2,4,464,790,1
13,7,2,4,467,257,1
14,4,2,4,957,261,1
15,5,2,4,641,577,1
16,0,2,4,315,495,1
17,0,2,4,802,357,1
18,1,2,4,383,393,1
1,7,3,4,283,902,1
2,4,3,4,298,434,1
3,7,3,4,487,445,1
4,5,3,4,458,759,1
5,8,3,4,540,495,1
6,0,3,4,412,346,1
7,5,3,4,540,295,1
8,4,3,4,279,259,1
9,3,3,4,297,300,1
10,8,3,4,669,259,1
11,2,3,4,262,688,1
12,6,3,4,323,781,1
13,2,3,4,996,704,1
14,3,3,4,474,321,1
15,0,3,4,468,368,1
16,6,3,4,264,526,1
17,1,3,4,337,314,1
18,1,3,4,436,259,1
1,8,4,4,481,941,1
2,7,4,4,497,437,1
3,0,4,4,499,375,1
4,5,4,4,254,765,1
5,4,4,4,984,513,1
6,6,4,4,516,771,1
7,2,4,4,313,476,1
8,1,4,4,333,283,1
9,1,4,4,732,431,1
10,2,4,4,454,804,1
11,0,4,4,336,285,1
12,3,4,4,383,545,1
13,4,4,4,868,977,1
14,3,4,4,308,330,1
15,6,4,4,368,351,1
16,5,4,4,433,361,1
17,7,4,4,487,589,1
18,8,4,4,617,514,1
1,3,5,4,293,449,1
2,7,5,4,443,271,1
3,3,5,4,286,409,1
4,0,5,4,401,268,1
5,1,5,4,449,367,1
6,8,5,4,266,741,1
7,6,5,4,645,669,1
8,5,5,4,406,351,1
9,5,5,4,315,344,1
10,8,5,4,336,329,1
11,7,5,4,458,550,1
12,2,5,4,392,580,1
13,6,5,4,744,601,1
14,1,5,4,556,323,1
15,4,5,4,430,633,1
16,0,5,4,854,770,1
17,2,5,4,268,476,1
18,4,5,4,460,744,1
1,4,0,4,492,469,2
2,7,0,4,507,342,2
3,5,0,4,364,973,2
4,0,0,4,543,486,2
5,8,0,4,268,295,2
6,3,0,4,588,253,2
7,6,0,4,529,402,2
8,6,0,4,382,609,2
9,5,0,4,338,303,2
10,1,0,4,595,537,2
11,0,0,4,991,740,2
12,4,0,4,289,534,2
13,3,0,4,350,575,2
14,2,0,4,590,505,2
15,7,0,4,689,299,2
16,8,0,4,618,426,2
17,1,0,4,667,928,2
18,2,0,4,755,346,2
1,0,1,4,584,419,2
2,1,1,4,592,752,2
3,8,1,4,748,546,2
4,3,1,4,379,279,2
5,2,1,4,707,283,2
6,6,1,4,996,279,2
7,1,1,4,262,267,2
8,5,1,4,719,754,2
9,8,1,4,873,684,2
10,7,1,4,678,362,2
11,2,1,4,371,397,2
12,7,1,4,678,479,2
13,4,1,4,263,939,2
14,4,1,4,390,553,2
15,0,1,4,462,781,2
16,5,1,4,496,703,2
17,3,1,4,274,399,2
18,6,1,4,615,760,2
1,2,2,4,730,779,2
2,7,2,4,306,912,2
3,1,2,4,296,729,2
4,4,2,4,422,721,2
5,6,2,4,782,306,2
6,3,2,4,750,414,2
7,0,2,4,555,811,2
8,6,2,4,487,490,2
9,5,2,4,365,250,2
10,8,2,4,647,382,2
11,2,2,4,502,842,2
12,8,2,4,262,597,2
13,5,2,4,504,313,2
14,3,2,4,314,339,2
15,7,2,4,912,574,2
16,4,2,4,492,275,2
17,1,2,4,274,843,2
18,0,2,4,257,503,2
1,3,3,4,627,292,2
2,3,3,4,357,343,2
3,5,3,4,801,316,2
4,4,3,4,271,324,2
5,7,3,4,717,700,2
6,4,3,4,506,363,2
7,5,3,4,290,334,2
8,2,3,4,479,835,2
9,1,3,4,291,891,2
10,2,3,4,373,549,2
11,7,3,4,375,846,2
12,1,3,4,385,745,2
13,8,3,4,993,735,2
14,0,3,4,785,796,2
15,0,3,4,656,256,2
16,6,3,4,330,356,2
17,8,3,4,450,260,2
18,6,3,4,684,864,2
1,8,4,4,484,860,2
2,6,4,4,495,332,2
3,7,4,4,540,655,2
4,3,4,4,508,362,2
5,8,4,4,330,288,2
6,5,4,4,714,559,2
7,6,4,4,455,715,2
8,0,4,4,410,271,2
9,2,4,4,542,850,2
10,1,4,4,399,293,2
11,4,4,4,658,814,2
12,7,4,4,954,788,2
13,0,4,4,255,265,2
14,2,4,4,867,707,2
15,5,4,4,483,382,2
16,3,4,4,254,445,2
17,4,4,4,791,777,2
18,1,4,4,402,510,2
1,7,5,4,487,527,2
2,2,5,4,993,782,2
3,4,5,4,645,591,2
4,5,5,4,716,748,2
5,8,5,4,569,489,2
6,7,5,4,260,381,2
7,6,5,4,360,684,2
8,6,5,4,334,441,2
9,0,5,4,579,410,2
10,4,5,4,698,260,2
11,8,5,4,384,290,2
12,3,5,4,505,379,2
13,1,5,4,615,737,2
14,3,5,4,266,543,2
15,0,5,4,459,578,2
16,2,5,4,515,252,2
17,5,5,4,767,305,2
18,1,5,4,301,821,2
