trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,929,897,1,0,0,1
2,100,0,3,1071,763,1,0,1,1
3,100,0,3,842,1076,1,0,0,1
4,100,0,3,753,949,1,1,1,0
5,100,0,3,896,956,1,0,1,1
6,100,0,3,1149,1348,1,1,0,1
7,100,0,3,966,780,1,0,1,1
8,100,0,3,944,979,1,0,0,0
9,100,0,3,963,1010,1,1,1,1
10,100,0,3,1309,887,1,0,0,0
11,100,0,3,1133,1011,1,0,1,1
12,100,0,3,754,774,1,0,0,1
1,100,1,3,815,932,1,0,1,1
2,100,1,3,1029,1450,1,0,1,1
3,100,1,3,1456,755,1,1,0,1
4,100,1,3,1147,937,1,0,1,0
5,100,1,3,870,778,1,0,1,1
6,100,1,3,1069,1174,1,0,0,1
7,100,1,3,895,766,1,1,0,0
8,100,1,3,1147,824,1,0,1,1
9,100,1,3,1294,891,1,1,0,1
10,100,1,3,867,1042,1,0,1,1
11,100,1,3,884,1033,1,0,0,0
12,100,1,3,837,794,1,0,0,1
1,100,2,3,1321,1406,1,0,1,1
2,100,2,3,1319,1175,1,1,0,1
3,100,2,3,1258,1113,1,0,0,0
4,100,2,3,922,1186,1,0,1,1
5,100,2,3,1003,1089,1,0,1,1
6,100,2,3,938,802,1,1,0,1
7,100,2,3,935,1202,1,0,0,0
8,100,2,3,1029,776,1,0,1,1
9,100,2,3,875,1355,1,1,1,1
10,100,2,3,1396,1464,1,0,0,0
11,100,2,3,1313,1033,1,0,1,1
12,100,2,3,1104,1084,1,0,0,1
1,100,3,3,996,985,1,0,0,1
2,100,3,3,1240,799,1,0,1,1
3,100,3,3,1199,851,1,1,1,1
4,100,3,3,899,1273,1,0,0,0
5,100,3,3,856,975,1,0,0,1
6,100,3,3,1155,1237,1,0,0,1
7,100,3,3,870,942,1,1,1,1
8,100,3,3,966,870,1,0,1,0
9,100,3,3,1437,937,1,0,1,1
10,100,3,3,1239,957,1,0,0,1
11,100,3,3,772,1155,1,1,1,0
12,100,3,3,1042,847,1,0,0,1
1,100,4,3,773,849,1,0,1,1
2,100,4,3,900,1495,1,0,1,1
3,100,4,3,978,1082,1,0,0,0
4,100,4,3,1382,794,1,1,1,1
5,100,4,3,957,1361,1,0,1,0
6,100,4,3,1104,1485,1,1,0,1
7,100,4,3,866,1242,1,0,1,1
8,100,4,3,1492,1318,1,0,0,1
9,100,4,3,761,812,1,1,0,0
10,100,4,3,1016,1352,1,0,0,1
11,100,4,3,804,1205,1,0,1,1
12,100,4,3,925,880,1,0,0,1
1,100,5,3,1071,1194,1,1,0,1
2,100,5,3,1190,1074,1,0,1,1
3,100,5,3,1461,773,1,0,1,1
4,100,5,3,988,927,1,0,0,0
5,100,5,3,796,800,1,1,1,1
6,100,5,3,834,1141,1,0,1,1
7,100,5,3,1164,1143,1,0,0,0
8,100,5,3,1032,1001,1,0,0,1
9,100,5,3,1243,842,1,1,1,0
10,100,5,3,805,800,1,0,0,1
11,100,5,3,751,1431,1,0,0,1
12,100,5,3,873,797,1,0,1,1
1,100,0,3,760,1062,2,0,0,1
2,100,0,3,857,1003,2,0,1,0
3,100,0,3,1182,956,2,0,1,1
4,100,0,3,798,1186,2,1,0,1
5,100,0,3,792,1044,2,0,0,0
6,100,0,3,890,809,2,0,1,1
7,100,0,3,790,1143,2,0,1,1
8,100,0,3,1257,1448,2,1,1,1
9,100,0,3,1227,1324,2,0,0,0
10,100,0,3,1243,1070,2,0,0,1
11,100,0,3,1208,1063,2,0,0,1
12,100,0,3,1139,943,2,1,1,1
1,100,1,3,836,1100,2,0,1,1
2,100,1,3,1290,1059,2,0,1,1
3,100,1,3,753,1404,2,0,0,1
4,100,1,3,1436,1285,2,1,0,0
5,100,1,3,1463,862,2,0,0,1
6,100,1,3,1134,1133,2,0,1,0
7,100,1,3,1337,1017,2,0,0,1
8,100,1,3,752,756,2,1,1,1
9,100,1,3,761,1056,2,0,0,0
10,100,1,3,1119,1235,2,1,1,1
11,100,1,3,754,1491,2,0,0,1
12,100,1,3,1089,1225,2,0,1,1
1,100,2,3,1207,1450,2,0,0,1
2,100,2,3,846,1422,2,0,1,1
