trial_n,gen,condition,task,ITI,ISI,block
1,5,0,4,579,364,1
2,8,0,4,857,261,1
3,1,0,4,331,559,1
4,3,0,4,559,881,1
5,4,0,4,260,693,1
6,7,0,4,850,738,1
7,8,0,4,909,571,1
8,4,0,4,992,742,1
9,6,0,4,968,359,1
10,2,0,4,280,539,1
11,6,0,4,493,761,1
12,1,0,4,479,403,1
13,7,0,4,340,836,1
14,0,0,4,283,315,1
15,2,0,4,442,654,1
16,3,0,4,969,679,1
17,0,0,4,294,308,1
18,5,0,4,515,679,1
1,7,1,4,759,592,1
2,0,1,4,413,366,1
3,1,1,4,953,456,1
4,6,1,4,917,317,1
5,8,1,4,304,484,1
6,0,1,4,814,318,1
7,5,1,4,761,427,1
8,2,1,4,387,360,1
9,4,1,4,389,445,1
10,3,1,4,538,414,1
11,5,1,4,489,685,1
12,4,1,4,715,716,1
13,8,1,4,993,411,1
14,6,1,4,618,956,1
15,3,1,4,946,263,1
16,2,1,4,353,489,1
17,7,1,4,753,348,1
18,1,1,4,800,653,1
1,3,2,4,310,614,1
2,6,2,4,710,713,1
3,8,2,4,352,325,1
4,0,2,4,288,836,1
5,0,2,4,521,253,1
6,8,2,4,635,315,1
7,4,2,4,405,462,1
8,7,2,4,916,430,1
9,2,2,4,541,515,1
10,1,2,4,526,466,1
11,7,2,4,588,397,1
12,5,2,4,332,625,1
13,5,2,4,650,374,1
14,1,2,4,971,474,1
15,3,2,4,420,542,1
16,4,2,4,567,324,1
17,2,2,4,258,481,1
18,6,2,4,868,567,1
1,1,3,4,258,597,1
2,7,3,4,368,639,1
3,3,3,4,451,643,1
4,1,3,4,347,592,1
5,4,3,4,631,318,1
6,7,3,4,297,468,1
7,6,3,4,347,362,1
8,3,3,4,838,819,1
9,5,3,4,275,343,1
10,0,3,4,663,538,1
11,8,3,4,257,680,1
12,2,3,4,658,321,1
13,8,3,4,396,529,1
14,2,3,4,504,429,1
15,6,3,4,422,773,1
16,5,3,4,464,276,1
17,4,3,4,479,329,1
18,0,3,4,318,456,1
1,5,4,4,566,287,1
2,3,4,4,468,859,1
3,4,4,4,474,846,1
4,7,4,4,737,379,1
5,0,4,4,523,827,1
6,0,4,4,448,580,1
7,2,4,4,883,296,1
8,7,4,4,652,284,1
9,3,4,4,324,578,1
10,5,4,4,499,932,1
11,8,4,4,452,296,1
12,6,4,4,590,261,1
13,4,4,4,428,637,1
14,1,4,4,549,327,1
15,8,4,4,257,362,1
16,1,4,4,293,639,1
17,2,4,4,402,559,1
18,6,4,4,330,654,1
1,8,5,4,935,399,1
2,8,5,4,339,660,1
3,0,5,4,547,400,1
4,5,5,4,481,357,1
5,0,5,4,295,655,1
6,3,5,4,409,271,1
7,2,5,4,483,551,1
8,6,5,4,951,255,1
9,3,5,4,736,519,1
10,6,5,4,330,375,1
11,2,5,4,368,523,1
12,7,5,4,952,454,1
13,1,5,4,991,492,1
14,5,5,4,275,809,1
15,4,5,4,481,463,1
16,7,5,4,832,252,1
17,4,5,4,552,294,1
18,1,5,4,399,348,1
1,0,0,4,754,890,2
2,4,0,4,435,258,2
