trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,33,1,0,2,728,369,1,2
2,72,1,0,2,455,461,1,0
3,126,0,0,2,395,288,1,0
4,147,1,0,2,970,320,1,0
5,102,0,0,2,265,401,1,0
6,159,1,0,2,810,511,1,0
7,27,0,0,2,383,807,1,0
8,170,1,0,2,669,333,1,0
9,66,1,0,2,702,320,1,0
10,53,0,0,2,679,398,1,0
11,152,1,0,2,774,455,1,0
12,171,0,0,2,810,455,1,0
13,154,1,0,2,455,398,1,0
14,71,0,0,2,810,284,1,0
15,89,0,0,2,730,313,1,0
16,46,1,0,2,702,511,1,0
17,153,0,0,2,839,284,1,0
18,80,1,0,2,427,401,1,0
19,36,0,0,2,702,815,1,0
20,80,0,0,2,532,401,1,0
1,43,0,1,2,423,461,1,0
2,64,0,1,2,721,259,1,0
3,111,1,1,2,857,640,1,2
4,135,0,1,2,857,326,1,0
5,92,1,1,2,353,625,1,0
6,79,1,1,2,651,946,1,0
7,120,0,1,2,353,742,1,0
8,49,1,1,2,382,495,1,0
9,157,1,1,2,353,825,1,0
10,31,0,1,2,423,784,1,0
11,82,1,1,2,976,300,1,0
12,128,0,1,2,721,728,1,0
13,39,1,1,2,513,495,1,0
14,54,0,1,2,910,784,1,0
15,33,1,1,2,423,579,1,0
16,97,0,1,2,857,334,1,0
17,172,0,1,2,382,475,1,0
18,165,1,1,2,866,334,1,0
19,66,0,1,2,952,640,1,0
20,72,1,1,2,721,825,1,0
1,96,1,2,2,678,428,1,2
2,103,1,2,2,842,841,1,0
3,117,0,2,2,792,841,1,0
4,173,1,2,2,340,944,1,0
5,125,0,2,2,292,618,1,0
6,47,1,2,2,382,749,1,0
7,126,0,2,2,567,549,1,0
8,107,1,2,2,792,407,1,0
9,161,0,2,2,678,407,1,0
10,129,0,2,2,396,816,1,0
11,116,1,2,2,678,674,1,0
12,93,1,2,2,340,494,1,0
13,95,0,2,2,624,407,1,0
14,25,1,2,2,370,962,1,0
15,31,0,2,2,706,618,1,0
16,168,0,2,2,266,890,1,0
17,138,1,2,2,627,407,1,0
18,116,0,2,2,639,890,1,0
19,118,0,2,2,706,962,1,0
20,154,1,2,2,677,950,1,0
1,114,0,3,2,592,273,1,0
2,173,1,3,2,425,937,1,2
3,92,1,3,2,390,773,1,0
4,74,0,3,2,491,726,1,0
5,73,0,3,2,332,323,1,0
6,74,1,3,2,751,464,1,0
7,85,1,3,2,588,937,1,0
8,119,0,3,2,425,644,1,0
9,108,0,3,2,274,297,1,0
10,96,1,3,2,303,282,1,0
11,97,1,3,2,390,726,1,0
12,54,0,3,2,303,463,1,0
13,146,1,3,2,888,299,1,0
14,164,0,3,2,780,575,1,0
15,119,1,3,2,588,440,1,0
16,139,1,3,2,518,575,1,0
17,136,0,3,2,647,418,1,0
18,130,1,3,2,282,577,1,0
19,153,0,3,2,425,297,1,0
20,43,0,3,2,647,436,1,0
1,142,1,4,2,257,545,1,2
2,129,1,4,2,257,985,1,0
3,142,0,4,2,775,703,1,0
4,132,0,4,2,821,979,1,0
5,44,1,4,2,771,979,1,0
6,42,0,4,2,775,987,1,0
7,140,0,4,2,324,987,1,0
8,163,1,4,2,545,295,1,0
9,103,0,4,2,451,373,1,0
10,147,1,4,2,918,868,1,0
11,125,1,4,2,466,423,1,0
12,97,0,4,2,397,423,1,0
13,168,0,4,2,769,374,1,0
14,106,1,4,2,833,659,1,0
15,145,0,4,2,451,985,1,0
16,161,0,4,2,354,849,1,0
17,135,1,4,2,276,295,1,0
18,47,0,4,2,775,659,1,0
19,113,1,4,2,557,423,1,0
20,111,1,4,2,982,703,1,0
1,52,0,5,2,268,369,1,0
2,153,1,5,2,625,371,1,2
3,135,0,5,2,341,477,1,0
4,150,0,5,2,341,388,1,0
5,137,1,5,2,550,280,1,0
6,36,0,5,2,268,319,1,0
7,118,0,5,2,670,554,1,0
8,29,1,5,2,473,650,1,0
9,158,0,5,2,876,893,1,0
10,83,1,5,2,670,435,1,0
11,141,1,5,2,740,365,1,0
12,78,0,5,2,436,640,1,0
13,98,1,5,2,603,377,1,0
14,28,0,5,2,684,377,1,0
15,127,1,5,2,625,405,1,0
16,96,1,5,2,670,338,1,0
17,121,0,5,2,341,420,1,0
18,111,0,5,2,315,893,1,0
19,77,1,5,2,670,420,1,0
20,122,1,5,2,306,280,1,0
1,108,1,0,2,259,630,2,0
2,73,1,0,2,979,862,2,0
3,164,0,0,2,752,365,2,0
4,107,0,0,2,752,553,2,0
5,94,1,0,2,824,630,2,0
6,97,0,0,2,259,266,2,0
7,114,1,0,2,605,553,2,0
8,44,1,0,2,469,589,2,0
9,142,0,0,2,517,328,2,0
10,69,1,0,2,560,668,2,0
11,127,0,0,2,578,798,2,0
12,83,1,0,2,977,559,2,0
13,44,0,0,2,469,266,2,0
14,89,0,0,2,339,914,2,0
15,74,1,0,2,560,798,2,0
16,68,0,0,2,949,798,2,0
17,135,1,0,2,307,668,2,0
18,156,0,0,2,469,450,2,0
19,166,0,0,2,597,463,2,0
20,65,1,0,2,469,914,2,0
1,73,1,1,2,554,981,2,0
2,70,0,1,2,724,382,2,0
3,86,1,1,2,279,834,2,0
4,113,0,1,2,304,286,2,0
5,42,0,1,2,707,616,2,0
6,110,1,1,2,724,430,2,0
7,141,0,1,2,707,830,2,0
8,28,1,1,2,821,299,2,0
9,146,1,1,2,586,393,2,0
10,110,0,1,2,521,616,2,0
11,62,1,1,2,360,576,2,0
12,38,1,1,2,279,732,2,0
13,52,0,1,2,502,714,2,0
14,150,0,1,2,607,286,2,0
15,120,1,1,2,842,373,2,0
16,105,0,1,2,325,299,2,0
17,111,1,1,2,502,374,2,0
18,43,0,1,2,660,714,2,0
19,161,1,1,2,554,830,2,0
20,136,0,1,2,502,286,2,0
1,166,1,2,2,849,584,2,0
2,82,0,2,2,357,773,2,0
3,67,0,2,2,326,751,2,0
4,115,1,2,2,368,365,2,0
5,31,1,2,2,381,314,2,0
6,140,0,2,2,520,545,2,0
7,143,1,2,2,335,334,2,0
8,110,1,2,2,331,773,2,0
9,96,0,2,2,381,562,2,0
10,122,1,2,2,961,773,2,0
11,102,0,2,2,277,256,2,0
12,44,1,2,2,357,334,2,0
13,59,0,2,2,518,365,2,0
14,46,0,2,2,716,785,2,0
15,110,1,2,2,716,357,2,0
16,95,1,2,2,368,545,2,0
17,46,0,2,2,381,313,2,0
18,32,0,2,2,917,758,2,0
19,158,1,2,2,417,334,2,0
20,151,0,2,2,395,350,2,0
1,109,0,3,2,254,257,2,0
2,149,1,3,2,296,340,2,0
3,101,0,3,2,966,374,2,0
4,174,1,3,2,921,342,2,0
5,98,0,3,2,334,704,2,0
6,118,1,3,2,474,281,2,0
7,138,0,3,2,254,540,2,0
8,101,1,3,2,285,563,2,0
9,96,0,3,2,334,718,2,0
10,142,1,3,2,296,791,2,0
11,38,0,3,2,387,487,2,0
12,82,0,3,2,296,313,2,0
13,97,1,3,2,254,540,2,0
14,119,1,3,2,413,352,2,0
