trial_n,gen,condition,task,ITI,ISI,block
1,5,0,4,344,735,1
2,0,0,4,894,252,1
3,8,0,4,506,953,1
4,3,0,4,495,709,1
5,7,0,4,291,483,1
6,4,0,4,503,335,1
7,1,0,4,553,273,1
8,1,0,4,583,596,1
9,2,0,4,534,366,1
10,6,0,4,263,809,1
11,7,0,4,610,310,1
12,4,0,4,277,827,1
13,8,0,4,693,388,1
14,2,0,4,746,999,1
15,6,0,4,969,834,1
16,5,0,4,259,287,1
17,0,0,4,308,863,1
18,3,0,4,502,626,1
1,1,1,4,801,937,1
2,0,1,4,628,413,1
3,3,1,4,430,444,1
4,8,1,4,562,321,1
5,4,1,4,406,920,1
6,3,1,4,743,341,1
7,7,1,4,386,525,1
8,7,1,4,306,294,1
9,2,1,4,320,276,1
10,4,1,4,423,783,1
11,5,1,4,608,857,1
12,8,1,4,264,495,1
13,6,1,4,413,674,1
14,0,1,4,284,595,1
15,2,1,4,276,931,1
16,5,1,4,395,335,1
17,6,1,4,448,880,1
18,1,1,4,318,490,1
1,4,2,4,595,369,1
2,2,2,4,379,592,1
3,5,2,4,575,700,1
4,8,2,4,707,759,1
5,3,2,4,520,482,1
6,0,2,4,300,515,1
7,6,2,4,838,362,1
8,7,2,4,318,296,1
9,8,2,4,703,465,1
10,1,2,4,285,512,1
11,4,2,4,726,271,1
12,0,2,4,457,389,1
13,5,2,4,915,378,1
14,1,2,4,351,342,1
15,7,2,4,253,523,1
16,6,2,4,554,352,1
17,3,2,4,523,959,1
18,2,2,4,258,306,1
1,4,3,4,328,259,1
2,1,3,4,335,959,1
3,6,3,4,412,455,1
4,1,3,4,709,449,1
5,0,3,4,534,339,1
6,7,3,4,275,268,1
7,2,3,4,598,404,1
8,4,3,4,360,791,1
9,2,3,4,352,373,1
10,7,3,4,375,413,1
11,8,3,4,573,402,1
12,0,3,4,394,746,1
13,5,3,4,842,431,1
14,3,3,4,290,669,1
15,6,3,4,942,362,1
16,8,3,4,351,330,1
17,5,3,4,329,665,1
18,3,3,4,331,393,1
1,8,4,4,835,393,1
2,2,4,4,897,461,1
3,7,4,4,522,423,1
4,2,4,4,977,686,1
5,7,4,4,629,638,1
6,3,4,4,470,474,1
7,4,4,4,269,380,1
8,6,4,4,409,993,1
9,0,4,4,597,893,1
10,8,4,4,480,591,1
11,0,4,4,347,606,1
12,5,4,4,306,370,1
13,5,4,4,543,256,1
14,6,4,4,583,984,1
15,3,4,4,350,526,1
16,4,4,4,552,500,1
17,1,4,4,492,285,1
18,1,4,4,440,742,1
1,1,5,4,363,301,1
2,0,5,4,662,950,1
3,7,5,4,694,618,1
4,2,5,4,359,370,1
5,5,5,4,791,992,1
6,4,5,4,417,614,1
7,3,5,4,734,352,1
8,7,5,4,918,520,1
9,8,5,4,408,753,1
10,3,5,4,333,401,1
11,4,5,4,741,696,1
12,0,5,4,276,426,1
13,1,5,4,593,472,1
14,6,5,4,781,662,1
15,5,5,4,642,587,1
16,6,5,4,503,555,1
17,2,5,4,744,500,1
18,8,5,4,313,486,1
1,5,0,4,447,416,2
2,8,0,4,634,535,2
3,8,0,4,501,774,2
4,5,0,4,564,726,2
5,7,0,4,386,884,2
6,3,0,4,483,523,2
7,1,0,4,492,440,2
8,6,0,4,575,348,2
