trial_n,gen,condition,task,ITI,ISI,block
1,5,0,4,318,390,1
2,4,0,4,398,523,1
3,7,0,4,272,307,1
4,6,0,4,574,481,1
5,3,0,4,909,785,1
6,4,0,4,429,712,1
7,1,0,4,694,546,1
8,5,0,4,537,494,1
9,0,0,4,428,268,1
10,3,0,4,509,423,1
11,8,0,4,577,463,1
12,1,0,4,264,391,1
13,2,0,4,385,292,1
14,6,0,4,687,753,1
15,7,0,4,881,906,1
16,8,0,4,516,888,1
17,2,0,4,887,340,1
18,0,0,4,742,726,1
1,0,1,4,260,376,1
2,7,1,4,341,308,1
3,5,1,4,757,604,1
4,3,1,4,694,445,1
5,5,1,4,509,993,1
6,1,1,4,550,318,1
7,4,1,4,770,273,1
8,8,1,4,844,325,1
9,2,1,4,662,305,1
10,2,1,4,564,675,1
11,8,1,4,412,699,1
12,4,1,4,837,360,1
13,6,1,4,292,939,1
14,1,1,4,319,895,1
15,7,1,4,281,530,1
16,0,1,4,847,259,1
17,3,1,4,616,256,1
18,6,1,4,605,352,1
1,1,2,4,578,252,1
2,6,2,4,525,257,1
3,7,2,4,307,269,1
4,6,2,4,310,688,1
5,4,2,4,631,663,1
6,8,2,4,766,541,1
7,5,2,4,258,971,1
8,3,2,4,505,385,1
9,8,2,4,407,250,1
10,2,2,4,283,849,1
11,0,2,4,290,336,1
12,5,2,4,551,395,1
13,7,2,4,339,468,1
14,3,2,4,494,541,1
15,1,2,4,815,491,1
16,4,2,4,502,699,1
17,2,2,4,567,472,1
18,0,2,4,421,899,1
1,4,3,4,386,717,1
2,5,3,4,331,695,1
3,4,3,4,272,378,1
4,7,3,4,471,391,1
5,6,3,4,577,540,1
6,8,3,4,322,594,1
7,5,3,4,555,908,1
8,0,3,4,262,337,1
9,3,3,4,695,349,1
10,2,3,4,974,259,1
11,8,3,4,347,301,1
12,0,3,4,349,403,1
13,2,3,4,686,304,1
14,3,3,4,273,934,1
15,7,3,4,557,440,1
16,1,3,4,288,303,1
17,1,3,4,269,460,1
18,6,3,4,590,838,1
1,4,4,4,286,402,1
2,7,4,4,908,592,1
3,8,4,4,434,603,1
4,8,4,4,719,853,1
5,1,4,4,788,499,1
6,6,4,4,884,754,1
7,5,4,4,421,724,1
8,7,4,4,473,434,1
9,2,4,4,394,686,1
