trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,113,0,0,2,861,814,1,0
2,34,1,0,2,328,873,1,0
3,48,0,0,2,322,708,1,0
4,38,0,0,2,861,873,1,0
5,86,1,0,2,322,252,1,0
6,30,0,0,2,568,252,1,0
1,58,1,1,2,759,752,1,0
2,174,0,1,2,803,569,1,0
3,68,1,1,2,859,822,1,0
4,65,0,1,2,859,822,1,0
5,92,0,1,2,329,706,1,0
6,27,1,1,2,834,285,1,0
1,25,0,0,2,717,720,2,0
2,73,0,0,2,672,866,2,0
3,110,1,0,2,731,866,2,0
4,167,0,0,2,717,314,2,0
5,144,1,0,2,750,532,2,0
6,105,1,0,2,717,720,2,0
1,132,1,1,2,429,447,2,0
2,114,0,1,2,892,447,2,0
3,127,0,1,2,429,880,2,0
4,124,1,1,2,821,669,2,0
5,132,1,1,2,889,880,2,0
6,171,0,1,2,889,706,2,0
