trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,1353,1274,1,0,0,1
2,100,0,3,794,1323,1,0,1,1
3,100,0,3,752,820,1,0,0,0
4,100,0,3,848,1331,1,1,1,1
5,100,0,3,1153,978,1,1,0,1
6,100,0,3,1170,857,1,0,1,1
7,100,0,3,1248,1382,1,0,1,0
8,100,0,3,922,1217,1,0,0,1
9,100,0,3,1315,844,1,1,1,0
10,100,0,3,1058,1454,1,0,1,1
11,100,0,3,803,1164,1,0,0,1
12,100,0,3,1241,968,1,0,0,1
1,100,1,3,1431,849,1,0,1,0
2,100,1,3,842,833,1,0,1,1
3,100,1,3,1152,1085,1,1,1,1
4,100,1,3,1025,1159,1,0,0,1
5,100,1,3,786,1187,1,0,1,0
6,100,1,3,1052,812,1,0,1,1
7,100,1,3,1003,879,1,1,0,1
8,100,1,3,892,1154,1,0,0,1
9,100,1,3,1148,792,1,0,0,0
10,100,1,3,1038,771,1,0,1,1
11,100,1,3,1159,1491,1,1,0,1
12,100,1,3,1180,1157,1,0,0,1
1,100,2,3,1139,924,1,0,1,1
2,100,2,3,847,1028,1,0,1,1
3,100,2,3,1122,892,1,0,0,0
4,100,2,3,1247,980,1,1,0,1
5,100,2,3,1130,1444,1,0,1,1
6,100,2,3,895,1491,1,0,0,0
7,100,2,3,1075,1292,1,1,1,1
8,100,2,3,769,1445,1,0,0,1
9,100,2,3,994,891,1,1,0,0
10,100,2,3,1344,1412,1,0,0,1
11,100,2,3,789,852,1,0,1,1
12,100,2,3,1214,1251,1,0,1,1
1,100,3,3,858,803,1,0,0,1
2,100,3,3,847,1051,1,0,0,1
3,100,3,3,1148,1150,1,0,0,1
4,100,3,3,1171,838,1,1,1,0
5,100,3,3,1131,840,1,0,1,1
6,100,3,3,1242,1475,1,1,1,1
7,100,3,3,1407,816,1,0,0,1
8,100,3,3,1169,808,1,0,0,0
9,100,3,3,919,1399,1,1,1,1
10,100,3,3,821,946,1,0,0,1
11,100,3,3,1293,938,1,0,1,0
12,100,3,3,823,1222,1,0,1,1
1,100,4,3,805,1098,1,1,1,1
2,100,4,3,813,1040,1,0,0,1
3,100,4,3,1006,1032,1,0,0,1
4,100,4,3,971,876,1,0,0,0
5,100,4,3,936,928,1,1,1,1
6,100,4,3,935,1275,1,0,0,1
7,100,4,3,1167,1386,1,0,0,0
8,100,4,3,1229,789,1,0,1,1
9,100,4,3,970,948,1,1,1,1
10,100,4,3,809,916,1,0,0,0
11,100,4,3,1296,754,1,0,1,1
12,100,4,3,936,937,1,0,1,1
1,100,5,3,852,1084,1,0,0,1
2,100,5,3,1281,888,1,0,1,1
3,100,5,3,1099,850,1,0,1,1
4,100,5,3,1309,1421,1,1,0,0
5,100,5,3,1314,834,1,0,1,1
6,100,5,3,1058,970,1,0,0,1
7,100,5,3,1166,820,1,0,0,0
8,100,5,3,1436,947,1,1,1,1
9,100,5,3,774,1044,1,0,0,0
10,100,5,3,837,860,1,0,1,1
11,100,5,3,1087,1231,1,1,1,1
12,100,5,3,822,975,1,0,0,1
1,100,0,3,838,1122,2,0,0,1
2,100,0,3,1329,831,2,0,1,0
3,100,0,3,900,1410,2,0,1,1
4,100,0,3,1079,830,2,1,0,1
5,100,0,3,1199,1023,2,0,0,1
6,100,0,3,1125,1424,2,0,0,0
7,100,0,3,836,1161,2,0,1,1
8,100,0,3,805,1342,2,1,0,1
9,100,0,3,903,1171,2,0,0,1
10,100,0,3,1399,795,2,0,1,0
11,100,0,3,1022,897,2,1,1,1
12,100,0,3,1004,968,2,0,1,1
1,100,1,3,796,783,2,0,1,1
2,100,1,3,1331,1041,2,0,1,1
3,100,1,3,1354,837,2,1,0,0
4,100,1,3,1226,904,2,0,0,1
5,100,1,3,779,926,2,1,1,1
6,100,1,3,876,796,2,0,0,1
7,100,1,3,900,880,2,0,1,0
8,100,1,3,1255,848,2,0,0,1
9,100,1,3,1446,897,2,1,0,1
10,100,1,3,1103,977,2,0,1,1
11,100,1,3,789,1308,2,0,1,0
12,100,1,3,1279,1162,2,0,0,1
1,100,2,3,1100,1251,2,0,1,1
2,100,2,3,1009,796,2,1,0,1
3,100,2,3,1304,908,2,0,0,0
4,100,2,3,1237,832,2,0,0,1
5,100,2,3,1136,1148,2,0,1,1
6,100,2,3,1080,908,2,1,0,0
7,100,2,3,1199,1346,2,0,1,1
8,100,2,3,903,771,2,0,1,1
9,100,2,3,980,1459,2,0,0,1
10,100,2,3,1472,1411,2,1,1,0
11,100,2,3,793,831,2,0,1,1
12,100,2,3,899,1318,2,0,0,1
1,100,3,3,905,767,2,0,0,1
2,100,3,3,1219,1191,2,0,0,1
3,100,3,3,778,1410,2,1,1,1
4,100,3,3,1183,888,2,0,0,0
5,100,3,3,1154,1019,2,0,0,1
6,100,3,3,1255,824,2,0,1,1
7,100,3,3,787,855,2,1,0,0
8,100,3,3,763,783,2,0,1,1
9,100,3,3,892,1413,2,0,1,0
10,100,3,3,831,762,2,1,1,1
11,100,3,3,850,1219,2,0,0,1
12,100,3,3,1478,890,2,0,1,1
1,100,4,3,1474,757,2,0,1,1
2,100,4,3,869,782,2,1,0,1
3,100,4,3,875,1227,2,0,0,0
4,100,4,3,964,1074,2,0,1,1
5,100,4,3,814,1297,2,1,0,1
6,100,4,3,1220,1426,2,0,1,1
7,100,4,3,845,949,2,0,0,0
8,100,4,3,864,754,2,0,1,1
9,100,4,3,781,830,2,1,0,0
10,100,4,3,961,1467,2,0,0,1
11,100,4,3,821,1023,2,0,1,1
12,100,4,3,1066,789,2,0,1,1
1,100,5,3,1322,1095,2,0,1,1
2,100,5,3,1033,839,2,0,1,1
3,100,5,3,932,790,2,0,0,0
4,100,5,3,871,894,2,1,0,1
5,100,5,3,1105,840,2,0,1,0
6,100,5,3,915,1258,2,0,0,1
7,100,5,3,816,1335,2,0,1,1
8,100,5,3,1431,1122,2,1,0,1
9,100,5,3,763,790,2,0,1,0
10,100,5,3,1193,1275,2,0,0,1
11,100,5,3,754,1469,2,0,1,1
12,100,5,3,821,790,2,1,0,1
