trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,1268,944,1,0,0,1
2,100,0,3,785,1057,1,1,0,1
3,100,0,3,876,977,1,0,1,0
4,100,0,3,1398,799,1,0,1,1
5,100,0,3,850,844,1,0,0,1
6,100,0,3,882,1114,1,1,0,1
7,100,0,3,930,1052,1,0,1,0
8,100,0,3,1136,921,1,0,1,1
9,100,0,3,911,1489,1,0,1,1
10,100,0,3,794,1103,1,1,0,1
11,100,0,3,940,901,1,0,0,0
12,100,0,3,970,1151,1,0,1,1
1,100,1,3,827,1038,1,0,0,1
2,100,1,3,1442,1061,1,0,0,1
3,100,1,3,841,1169,1,1,0,1
4,100,1,3,1257,1285,1,0,1,0
5,100,1,3,766,1409,1,1,0,1
6,100,1,3,1196,764,1,0,1,1
7,100,1,3,1266,1317,1,0,0,0
8,100,1,3,797,940,1,0,1,1
9,100,1,3,771,1294,1,1,1,1
10,100,1,3,1379,1471,1,0,1,0
11,100,1,3,1144,879,1,0,0,1
12,100,1,3,1139,1054,1,0,1,1
1,100,2,3,1350,1351,1,0,1,1
2,100,2,3,818,1133,1,0,0,1
3,100,2,3,1005,1126,1,0,0,1
4,100,2,3,785,819,1,1,1,0
5,100,2,3,1324,1410,1,0,0,1
6,100,2,3,967,914,1,0,1,1
7,100,2,3,837,814,1,0,1,1
8,100,2,3,1255,951,1,1,1,0
9,100,2,3,1464,1231,1,0,0,1
10,100,2,3,800,761,1,1,0,0
11,100,2,3,805,963,1,0,0,1
12,100,2,3,898,1004,1,0,1,1
1,100,3,3,1455,955,1,0,1,1
2,100,3,3,1491,843,1,0,0,0
3,100,3,3,1041,924,1,0,1,1
4,100,3,3,1158,843,1,1,0,1
5,100,3,3,1441,1347,1,0,0,1
6,100,3,3,852,814,1,0,0,0
7,100,3,3,845,957,1,0,1,1
8,100,3,3,906,871,1,1,1,1
9,100,3,3,796,869,1,0,0,1
10,100,3,3,1462,1242,1,0,1,0
11,100,3,3,1265,1349,1,0,0,1
12,100,3,3,808,1357,1,1,1,1
1,100,4,3,1103,1197,1,0,0,1
2,100,4,3,1130,824,1,0,0,1
3,100,4,3,1105,1130,1,0,1,1
4,100,4,3,1297,1196,1,1,0,0
5,100,4,3,795,825,1,0,1,1
6,100,4,3,1061,804,1,0,0,1
7,100,4,3,926,1100,1,1,0,1
8,100,4,3,885,1441,1,0,1,0
9,100,4,3,1178,993,1,0,0,0
10,100,4,3,1385,1387,1,0,1,1
11,100,4,3,825,1344,1,1,1,1
12,100,4,3,763,1033,1,0,1,1
1,100,5,3,1300,1116,1,0,1,1
2,100,5,3,1237,872,1,0,0,1
3,100,5,3,980,846,1,0,1,1
4,100,5,3,928,831,1,1,0,0
5,100,5,3,1105,1072,1,0,1,1
6,100,5,3,1086,1002,1,0,0,1
7,100,5,3,896,1352,1,1,1,0
8,100,5,3,1010,871,1,0,0,1
9,100,5,3,1273,884,1,1,0,1
10,100,5,3,1244,779,1,0,1,1
11,100,5,3,1021,805,1,0,0,0
12,100,5,3,1264,928,1,0,1,1
1,100,0,3,774,818,2,0,0,1
2,100,0,3,924,872,2,0,0,1
3,100,0,3,1060,781,2,1,1,1
4,100,0,3,766,959,2,0,0,0
5,100,0,3,1151,908,2,0,1,1
6,100,0,3,1081,1067,2,0,1,1
7,100,0,3,1356,915,2,1,0,1
8,100,0,3,1429,779,2,0,1,0
9,100,0,3,1350,1244,2,1,0,0
10,100,0,3,892,760,2,0,0,1
11,100,0,3,1335,907,2,0,1,1
12,100,0,3,1191,890,2,0,1,1
1,100,1,3,1005,774,2,0,0,0
2,100,1,3,934,1270,2,0,0,1
3,100,1,3,1111,1394,2,0,1,1
4,100,1,3,757,1308,2,1,1,1
5,100,1,3,988,1268,2,0,0,0
6,100,1,3,816,776,2,0,1,1
7,100,1,3,834,795,2,1,0,1
8,100,1,3,786,1070,2,0,0,1
9,100,1,3,1089,870,2,0,1,0
10,100,1,3,1033,854,2,0,1,1
11,100,1,3,1082,859,2,1,0,1
12,100,1,3,1496,1132,2,0,1,1
1,100,2,3,943,1057,2,0,1,1
2,100,2,3,757,989,2,0,0,1
3,100,2,3,1191,1178,2,0,1,0
4,100,2,3,1334,772,2,1,1,1
5,100,2,3,891,988,2,0,1,1
6,100,2,3,983,1302,2,0,0,1
7,100,2,3,1066,869,2,0,0,0
8,100,2,3,1009,1031,2,1,0,1
9,100,2,3,1493,936,2,0,1,1
10,100,2,3,915,761,2,1,1,0
11,100,2,3,887,951,2,0,0,1
12,100,2,3,1411,813,2,0,0,1
1,100,3,3,1070,777,2,1,0,1
2,100,3,3,756,1265,2,0,1,0
3,100,3,3,986,872,2,0,1,1
4,100,3,3,1374,801,2,0,0,1
5,100,3,3,1133,926,2,1,0,1
6,100,3,3,1014,1212,2,0,1,0
7,100,3,3,1373,1101,2,0,0,1
8,100,3,3,1049,796,2,0,0,1
9,100,3,3,862,815,2,1,1,1
10,100,3,3,1457,1436,2,0,0,0
11,100,3,3,939,1154,2,0,1,1
12,100,3,3,1278,850,2,0,1,1
1,100,4,3,818,1260,2,0,0,1
2,100,4,3,1270,1171,2,0,0,1
3,100,4,3,1145,1448,2,1,1,1
4,100,4,3,1112,1061,2,0,1,0
5,100,4,3,875,909,2,0,1,1
6,100,4,3,1267,815,2,1,0,1
7,100,4,3,875,793,2,0,1,0
8,100,4,3,756,1047,2,0,0,1
9,100,4,3,1441,920,2,0,0,0
