trial_n,gen,condition,task,ITI,ISI,block
1,0,0,4,316,953,1
2,1,0,4,346,268,1
3,0,0,4,500,846,1
4,5,0,4,316,291,1
5,7,0,4,422,334,1
6,3,0,4,254,255,1
7,5,0,4,790,544,1
8,3,0,4,535,420,1
9,4,0,4,786,864,1
10,4,0,4,387,270,1
11,8,0,4,422,585,1
12,2,0,4,279,398,1
13,8,0,4,302,393,1
14,6,0,4,671,354,1
15,6,0,4,295,836,1
16,1,0,4,734,275,1
17,7,0,4,799,431,1
18,2,0,4,296,998,1
1,2,1,4,530,335,1
2,0,1,4,261,615,1
3,1,1,4,470,941,1
4,8,1,4,258,690,1
5,2,1,4,446,474,1
6,1,1,4,440,546,1
7,4,1,4,424,863,1
8,3,1,4,591,274,1
9,5,1,4,318,601,1
10,7,1,4,672,299,1
11,5,1,4,593,439,1
12,6,1,4,675,431,1
13,7,1,4,811,261,1
14,8,1,4,335,372,1
15,3,1,4,335,784,1
16,4,1,4,983,365,1
17,0,1,4,501,632,1
18,6,1,4,604,782,1
1,8,2,4,864,322,1
2,3,2,4,744,542,1
3,6,2,4,573,943,1
4,7,2,4,554,679,1
5,2,2,4,874,749,1
6,3,2,4,939,601,1
7,1,2,4,635,264,1
8,7,2,4,373,293,1
9,4,2,4,455,491,1
10,0,2,4,759,522,1
11,5,2,4,579,650,1
12,1,2,4,822,299,1
13,5,2,4,571,788,1
14,6,2,4,298,535,1
15,8,2,4,640,556,1
16,0,2,4,612,452,1
17,2,2,4,562,461,1
18,4,2,4,424,278,1
1,1,3,4,425,692,1
2,3,3,4,544,475,1
3,6,3,4,802,322,1
4,8,3,4,291,490,1
5,4,3,4,757,406,1
6,7,3,4,891,812,1
7,3,3,4,253,479,1
8,6,3,4,376,522,1
9,7,3,4,251,655,1
10,5,3,4,343,261,1
11,8,3,4,509,275,1
12,0,3,4,442,568,1
13,1,3,4,477,496,1
14,2,3,4,584,747,1
15,5,3,4,260,400,1
16,2,3,4,924,519,1
17,4,3,4,587,408,1
18,0,3,4,981,642,1
1,3,4,4,544,932,1
2,7,4,4,686,320,1
3,1,4,4,356,652,1
4,6,4,4,407,537,1
5,4,4,4,278,278,1
6,2,4,4,250,818,1
7,5,4,4,657,809,1
8,2,4,4,562,849,1
9,6,4,4,264,763,1
10,5,4,4,723,325,1
11,0,4,4,992,576,1
12,4,4,4,963,352,1
13,0,4,4,698,636,1
14,8,4,4,695,462,1
15,8,4,4,910,455,1
16,1,4,4,373,793,1
17,3,4,4,934,512,1
18,7,4,4,598,423,1
1,3,5,4,775,580,1
2,4,5,4,741,276,1
3,8,5,4,294,382,1
4,0,5,4,641,409,1
5,5,5,4,300,292,1
6,6,5,4,594,346,1
7,7,5,4,545,541,1
8,2,5,4,257,911,1
9,8,5,4,856,916,1
10,3,5,4,619,600,1
11,6,5,4,522,261,1
12,5,5,4,573,516,1
13,1,5,4,436,274,1
14,1,5,4,346,427,1
15,4,5,4,548,528,1
16,2,5,4,401,793,1
17,0,5,4,339,723,1
18,7,5,4,583,392,1
1,5,0,4,437,338,2
2,2,0,4,686,704,2
3,6,0,4,394,703,2
4,3,0,4,766,271,2
5,4,0,4,726,975,2
6,2,0,4,807,568,2
7,7,0,4,569,541,2
8,6,0,4,316,388,2
9,0,0,4,865,297,2
10,5,0,4,659,282,2
11,1,0,4,313,840,2
12,0,0,4,362,648,2
13,8,0,4,669,301,2
14,7,0,4,373,609,2
15,3,0,4,968,316,2
16,4,0,4,467,952,2
17,8,0,4,478,284,2
18,1,0,4,610,429,2
1,1,1,4,857,831,2
2,5,1,4,285,718,2
3,0,1,4,633,284,2
4,8,1,4,883,654,2
5,1,1,4,453,445,2
6,2,1,4,291,494,2
7,7,1,4,359,659,2
8,3,1,4,892,333,2
9,4,1,4,564,634,2
10,6,1,4,429,810,2
11,2,1,4,408,447,2
12,8,1,4,266,254,2
13,5,1,4,874,962,2
14,4,1,4,406,565,2
15,3,1,4,414,752,2
16,6,1,4,432,340,2
17,7,1,4,752,672,2
18,0,1,4,572,837,2
1,3,2,4,816,377,2
2,3,2,4,495,760,2
3,7,2,4,376,574,2
4,4,2,4,313,398,2
5,2,2,4,392,486,2
6,1,2,4,878,313,2
7,8,2,4,466,784,2
8,0,2,4,957,313,2
9,6,2,4,626,647,2
10,0,2,4,436,787,2
11,8,2,4,448,349,2
12,1,2,4,453,363,2
13,2,2,4,548,359,2
14,6,2,4,342,273,2
15,4,2,4,910,282,2
16,7,2,4,373,326,2
17,5,2,4,500,480,2
18,5,2,4,860,290,2
1,1,3,4,694,567,2
2,6,3,4,328,829,2
3,8,3,4,329,805,2
4,0,3,4,546,529,2
5,7,3,4,710,613,2
6,6,3,4,869,292,2
7,7,3,4,877,926,2
8,3,3,4,254,301,2
9,5,3,4,468,681,2
10,2,3,4,684,422,2
11,4,3,4,474,806,2
12,4,3,4,362,653,2
13,3,3,4,946,946,2
14,5,3,4,494,561,2
15,8,3,4,438,382,2
16,2,3,4,589,472,2
17,0,3,4,604,890,2
18,1,3,4,413,328,2
1,4,4,4,761,497,2
2,1,4,4,622,848,2
3,8,4,4,580,440,2
4,6,4,4,898,259,2
5,2,4,4,547,820,2
6,4,4,4,858,333,2
