trial_n,gen,condition,task,ITI,ISI,block
1,1,0,4,511,460,1
2,8,0,4,351,436,1
3,7,0,4,266,677,1
4,3,0,4,307,380,1
5,3,0,4,296,655,1
6,5,0,4,287,911,1
7,0,0,4,288,604,1
8,4,0,4,373,421,1
9,6,0,4,465,814,1
10,2,0,4,367,779,1
11,2,0,4,267,255,1
12,7,0,4,365,683,1
13,6,0,4,475,544,1
14,1,0,4,493,832,1
15,4,0,4,509,398,1
16,0,0,4,729,449,1
17,8,0,4,923,345,1
18,5,0,4,474,367,1
1,4,1,4,679,309,1
2,1,1,4,760,625,1
3,3,1,4,502,261,1
4,6,1,4,521,458,1
5,4,1,4,786,885,1
6,7,1,4,442,294,1
7,7,1,4,398,511,1
8,6,1,4,504,261,1
9,3,1,4,613,366,1
10,5,1,4,430,596,1
11,1,1,4,886,496,1
12,2,1,4,422,619,1
13,0,1,4,458,377,1
14,2,1,4,547,586,1
15,8,1,4,294,758,1
16,8,1,4,251,657,1
17,0,1,4,746,625,1
18,5,1,4,707,355,1
1,1,2,4,313,349,1
2,5,2,4,717,907,1
3,7,2,4,353,807,1
4,0,2,4,256,361,1
5,2,2,4,815,462,1
6,1,2,4,345,441,1
7,2,2,4,595,450,1
8,8,2,4,620,469,1
9,4,2,4,653,692,1
10,8,2,4,356,656,1
11,7,2,4,398,300,1
12,3,2,4,621,469,1
13,4,2,4,308,553,1
14,5,2,4,299,539,1
15,0,2,4,378,830,1
16,6,2,4,975,862,1
17,6,2,4,659,511,1
18,3,2,4,859,402,1
1,2,3,4,593,398,1
2,4,3,4,345,629,1
3,5,3,4,718,299,1
4,7,3,4,512,451,1
5,3,3,4,574,469,1
6,2,3,4,284,548,1
7,8,3,4,986,276,1
8,1,3,4,625,293,1
9,6,3,4,597,726,1
10,7,3,4,879,315,1
11,0,3,4,373,368,1
12,8,3,4,724,366,1
13,0,3,4,651,392,1
14,1,3,4,312,274,1
15,5,3,4,658,844,1
16,3,3,4,841,307,1
17,4,3,4,312,325,1
18,6,3,4,567,267,1
1,3,4,4,568,713,1
2,4,4,4,353,806,1
3,5,4,4,350,435,1
4,4,4,4,556,559,1
5,0,4,4,595,570,1
6,7,4,4,871,814,1
7,8,4,4,341,520,1
8,1,4,4,795,303,1
9,3,4,4,297,621,1
10,8,4,4,558,288,1
11,2,4,4,338,575,1
12,6,4,4,401,482,1
13,7,4,4,920,265,1
14,5,4,4,356,490,1
15,1,4,4,593,925,1
16,2,4,4,278,411,1
17,0,4,4,862,911,1
18,6,4,4,405,311,1
1,1,5,4,852,374,1
2,7,5,4,658,768,1
3,8,5,4,349,411,1
4,4,5,4,274,413,1
5,0,5,4,958,498,1
6,3,5,4,264,426,1
7,7,5,4,280,735,1
8,2,5,4,743,601,1
9,3,5,4,638,589,1
10,5,5,4,653,541,1
11,0,5,4,628,509,1
12,4,5,4,620,433,1
13,2,5,4,263,448,1
14,6,5,4,297,496,1
15,5,5,4,276,275,1
16,1,5,4,369,695,1
17,8,5,4,576,780,1
18,6,5,4,671,550,1
1,8,0,4,623,797,2
2,0,0,4,495,616,2
3,7,0,4,855,808,2
4,2,0,4,863,584,2
5,2,0,4,388,266,2
6,4,0,4,842,256,2
7,7,0,4,460,837,2
8,3,0,4,785,258,2
9,6,0,4,454,809,2
10,3,0,4,940,297,2
11,5,0,4,797,666,2
12,6,0,4,340,284,2
13,1,0,4,860,777,2
14,8,0,4,528,732,2
15,5,0,4,814,596,2
16,0,0,4,308,417,2
17,4,0,4,755,321,2
18,1,0,4,433,790,2
1,8,1,4,375,337,2
2,8,1,4,726,568,2
3,5,1,4,817,276,2
4,6,1,4,260,333,2
5,2,1,4,462,430,2
6,0,1,4,740,337,2
7,7,1,4,442,605,2
8,3,1,4,276,278,2
9,4,1,4,464,825,2
10,0,1,4,284,754,2
11,1,1,4,919,356,2
12,1,1,4,945,675,2
13,7,1,4,674,316,2
14,2,1,4,786,463,2
15,5,1,4,262,431,2
16,4,1,4,261,529,2
17,3,1,4,338,311,2
18,6,1,4,737,371,2
1,7,2,4,312,336,2
2,1,2,4,329,789,2
3,0,2,4,340,504,2
4,2,2,4,555,798,2
5,0,2,4,280,269,2
6,8,2,4,635,514,2
7,3,2,4,382,307,2
8,5,2,4,652,877,2
9,1,2,4,478,399,2
