trial_n,gen,condition,task,ITI,ISI,block
1,0,0,4,903,435,1
2,2,0,4,252,654,1
3,1,0,4,643,258,1
4,0,0,4,322,288,1
5,3,0,4,843,330,1
6,3,0,4,352,309,1
7,8,0,4,448,957,1
8,1,0,4,537,342,1
9,4,0,4,335,277,1
10,2,0,4,473,371,1
11,6,0,4,266,840,1
12,8,0,4,351,455,1
13,5,0,4,304,442,1
14,4,0,4,253,640,1
15,5,0,4,983,607,1
16,7,0,4,613,600,1
17,7,0,4,914,387,1
18,6,0,4,420,407,1
1,6,1,4,370,275,1
2,5,1,4,400,656,1
3,5,1,4,289,321,1
4,0,1,4,914,258,1
5,7,1,4,323,638,1
6,2,1,4,353,410,1
7,1,1,4,474,698,1
8,8,1,4,331,634,1
9,1,1,4,617,256,1
10,7,1,4,841,306,1
11,3,1,4,939,360,1
12,3,1,4,422,696,1
13,6,1,4,900,829,1
14,8,1,4,298,432,1
15,4,1,4,498,670,1
16,4,1,4,394,456,1
17,2,1,4,568,347,1
18,0,1,4,926,420,1
1,6,2,4,700,402,1
2,1,2,4,503,761,1
3,2,2,4,292,279,1
4,5,2,4,343,654,1
5,7,2,4,888,471,1
6,4,2,4,477,428,1
7,8,2,4,339,558,1
8,7,2,4,371,569,1
9,4,2,4,364,554,1
10,8,2,4,898,578,1
11,3,2,4,523,338,1
12,3,2,4,677,358,1
13,1,2,4,675,941,1
14,6,2,4,904,304,1
15,0,2,4,485,367,1
16,2,2,4,523,325,1
17,5,2,4,923,966,1
18,0,2,4,394,340,1
1,7,3,4,818,310,1
2,6,3,4,957,678,1
3,5,3,4,703,349,1
4,1,3,4,690,312,1
5,6,3,4,487,747,1
6,4,3,4,487,853,1
7,5,3,4,829,705,1
8,8,3,4,628,658,1
9,0,3,4,517,724,1
10,0,3,4,614,521,1
11,2,3,4,932,782,1
12,8,3,4,589,581,1
13,3,3,4,250,549,1
14,4,3,4,529,372,1
15,3,3,4,342,520,1
16,7,3,4,262,276,1
17,1,3,4,509,393,1
18,2,3,4,491,480,1
1,2,4,4,324,787,1
2,3,4,4,393,834,1
3,5,4,4,665,379,1
4,6,4,4,872,318,1
5,7,4,4,739,687,1
6,1,4,4,377,301,1
7,4,4,4,545,295,1
8,2,4,4,368,474,1
9,3,4,4,396,372,1
10,1,4,4,588,330,1
11,7,4,4,814,568,1
12,8,4,4,647,732,1
