trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,38,0,0,2,615,530,1,0
2,75,0,0,2,827,313,1,0
3,119,1,0,2,300,364,1,0
4,132,0,0,2,754,889,1,0
5,153,1,0,2,783,593,1,0
6,125,1,0,2,300,943,1,0
1,146,1,1,2,639,355,1,0
2,101,0,1,2,353,776,1,0
3,114,0,1,2,639,737,1,0
4,135,1,1,2,825,831,1,0
5,169,1,1,2,353,633,1,0
6,30,0,1,2,729,831,1,0
1,138,1,0,2,814,324,2,0
2,154,0,0,2,455,565,2,0
3,106,0,0,2,398,565,2,0
4,173,1,0,2,455,313,2,0
5,131,0,0,2,370,324,2,0
6,42,0,0,2,301,794,2,0
1,95,1,1,2,451,399,2,0
2,168,0,1,2,990,339,2,0
3,154,0,1,2,292,311,2,0
4,46,1,1,2,292,399,2,0
5,30,0,1,2,493,603,2,0
6,34,0,1,2,292,797,2,0
