trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,87,0,0,2,285,257,1,0
2,96,0,0,2,679,257,1,0
3,126,1,0,2,320,257,1,0
4,145,0,0,2,679,617,1,0
5,83,1,0,2,320,857,1,0
6,64,1,0,2,746,718,1,0
1,166,0,1,2,823,992,1,0
2,73,0,1,2,268,501,1,0
3,66,1,1,2,530,883,1,0
4,81,1,1,2,715,992,1,0
5,167,0,1,2,530,528,1,0
6,109,1,1,2,268,377,1,0
1,56,0,0,2,544,789,2,0
2,173,1,0,2,971,287,2,0
3,103,1,0,2,845,933,2,0
4,145,0,0,2,355,287,2,0
5,125,0,0,2,573,337,2,0
6,142,1,0,2,544,789,2,0
1,61,1,1,2,289,412,2,0
2,111,1,1,2,906,265,2,0
3,123,0,1,2,789,782,2,0
4,135,0,1,2,299,817,2,0
5,69,1,1,2,317,478,2,0
6,52,1,1,2,576,817,2,0
