trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,90,0,0,2,651,393,1,0
2,56,1,0,2,651,475,1,0
3,81,0,0,2,749,983,1,0
4,35,1,0,2,749,654,1,0
5,54,0,0,2,256,475,1,0
6,151,1,0,2,651,654,1,0
1,119,1,1,2,886,861,1,0
2,34,0,1,2,292,861,1,0
3,174,1,1,2,477,620,1,0
4,158,0,1,2,477,444,1,0
5,161,1,1,2,255,261,1,0
6,56,0,1,2,772,882,1,0
1,48,1,0,2,758,735,2,0
2,153,0,0,2,980,799,2,0
3,71,1,0,2,501,376,2,0
4,44,0,0,2,841,433,2,0
5,45,0,0,2,758,456,2,0
6,29,1,0,2,881,744,2,0
1,94,1,1,2,777,742,2,0
2,84,0,1,2,663,268,2,0
3,157,1,1,2,970,268,2,0
4,87,1,1,2,295,567,2,0
5,113,0,1,2,663,365,2,0
6,151,1,1,2,348,742,2,0
