trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,881,469,1
2,4,5,0,0,0,9,634,720,1
3,3,4,1,0,0,9,483,630,1
4,7,8,0,1,0,9,830,442,1
5,7,8,1,1,0,9,480,446,1
6,2,3,0,1,0,9,354,309,1
7,0,1,1,1,0,9,327,479,1
8,1,2,1,1,0,9,636,571,1
9,0,1,0,1,0,9,433,443,1
10,3,4,0,1,0,9,275,294,1
11,6,7,0,0,0,9,916,736,1
12,1,2,0,0,0,9,887,514,1
13,5,6,0,0,0,9,401,256,1
14,2,3,1,1,0,9,484,684,1
15,5,6,1,0,0,9,721,902,1
16,4,5,1,0,0,9,268,364,1
1,6,7,1,0,1,9,281,434,1
2,4,5,0,0,1,9,394,428,1
3,3,4,1,0,1,9,321,261,1
4,7,8,0,1,1,9,661,408,1
5,7,8,1,1,1,9,383,465,1
6,2,3,0,1,1,9,254,384,1
7,0,1,1,1,1,9,366,343,1
8,1,2,1,1,1,9,458,910,1
9,0,1,0,1,1,9,550,908,1
10,3,4,0,1,1,9,801,342,1
11,6,7,0,0,1,9,362,629,1
12,1,2,0,0,1,9,254,589,1
13,5,6,0,0,1,9,275,323,1
14,2,3,1,1,1,9,832,325,1
15,5,6,1,0,1,9,889,626,1
16,4,5,1,0,1,9,317,563,1
1,6,7,1,0,2,9,386,376,1
2,4,5,0,0,2,9,299,431,1
3,3,4,1,0,2,9,269,597,1
4,7,8,0,1,2,9,892,925,1
5,7,8,1,1,2,9,817,469,1
6,2,3,0,1,2,9,649,571,1
7,0,1,1,1,2,9,463,342,1
8,1,2,1,1,2,9,514,731,1
9,0,1,0,1,2,9,456,250,1
10,3,4,0,1,2,9,466,534,1
11,6,7,0,0,2,9,750,944,1
12,1,2,0,0,2,9,430,832,1
13,5,6,0,0,2,9,386,251,1
14,2,3,1,1,2,9,489,465,1
15,5,6,1,0,2,9,593,856,1
16,4,5,1,0,2,9,338,431,1
1,6,7,1,0,3,9,400,479,1
2,4,5,0,0,3,9,296,831,1
3,3,4,1,0,3,9,411,355,1
4,7,8,0,1,3,9,264,938,1
5,7,8,1,1,3,9,446,254,1
6,2,3,0,1,3,9,635,595,1
7,0,1,1,1,3,9,365,715,1
8,1,2,1,1,3,9,408,428,1
9,0,1,0,1,3,9,493,771,1
10,3,4,0,1,3,9,698,503,1
11,6,7,0,0,3,9,641,749,1
12,1,2,0,0,3,9,739,624,1
13,5,6,0,0,3,9,423,286,1
14,2,3,1,1,3,9,346,459,1
15,5,6,1,0,3,9,281,731,1
16,4,5,1,0,3,9,817,335,1
1,6,7,1,0,4,9,395,275,1
2,4,5,0,0,4,9,354,654,1
3,3,4,1,0,4,9,603,828,1
4,7,8,0,1,4,9,357,267,1
5,7,8,1,1,4,9,308,450,1
6,2,3,0,1,4,9,945,370,1
7,0,1,1,1,4,9,430,522,1
8,1,2,1,1,4,9,391,421,1
9,0,1,0,1,4,9,423,899,1
10,3,4,0,1,4,9,316,491,1
11,6,7,0,0,4,9,574,405,1
12,1,2,0,0,4,9,272,267,1
13,5,6,0,0,4,9,760,339,1
14,2,3,1,1,4,9,397,301,1
15,5,6,1,0,4,9,757,358,1
16,4,5,1,0,4,9,948,250,1
1,6,7,1,0,5,9,589,381,1
2,4,5,0,0,5,9,889,372,1
3,3,4,1,0,5,9,254,265,1
4,7,8,0,1,5,9,278,266,1
5,7,8,1,1,5,9,303,974,1
6,2,3,0,1,5,9,481,692,1
7,0,1,1,1,5,9,365,456,1
8,1,2,1,1,5,9,790,708,1
9,0,1,0,1,5,9,308,340,1
10,3,4,0,1,5,9,302,445,1
11,6,7,0,0,5,9,421,676,1
12,1,2,0,0,5,9,758,593,1
13,5,6,0,0,5,9,436,316,1
14,2,3,1,1,5,9,963,956,1
15,5,6,1,0,5,9,278,746,1
16,4,5,1,0,5,9,925,356,1
1,6,7,1,0,0,9,632,301,2
2,4,5,0,0,0,9,501,343,2
3,3,4,1,0,0,9,317,375,2
4,7,8,0,1,0,9,824,692,2
5,7,8,1,1,0,9,349,542,2
6,2,3,0,1,0,9,366,295,2
7,0,1,1,1,0,9,633,350,2
8,1,2,1,1,0,9,320,366,2
9,0,1,0,1,0,9,333,685,2
10,3,4,0,1,0,9,806,465,2
11,6,7,0,0,0,9,555,389,2
12,1,2,0,0,0,9,307,789,2
13,5,6,0,0,0,9,609,715,2
14,2,3,1,1,0,9,477,589,2
15,5,6,1,0,0,9,394,538,2
16,4,5,1,0,0,9,824,293,2
1,6,7,1,0,1,9,385,763,2
2,4,5,0,0,1,9,792,472,2
3,3,4,1,0,1,9,618,719,2
4,7,8,0,1,1,9,668,541,2
5,7,8,1,1,1,9,349,775,2
6,2,3,0,1,1,9,667,662,2
7,0,1,1,1,1,9,309,808,2
8,1,2,1,1,1,9,572,463,2
9,0,1,0,1,1,9,657,491,2
10,3,4,0,1,1,9,512,376,2
11,6,7,0,0,1,9,743,559,2
12,1,2,0,0,1,9,326,270,2
13,5,6,0,0,1,9,440,314,2
14,2,3,1,1,1,9,549,292,2
15,5,6,1,0,1,9,540,405,2
16,4,5,1,0,1,9,918,456,2
1,6,7,1,0,2,9,306,441,2
2,4,5,0,0,2,9,982,471,2
3,3,4,1,0,2,9,747,253,2
4,7,8,0,1,2,9,370,663,2
5,7,8,1,1,2,9,281,691,2
6,2,3,0,1,2,9,571,461,2
7,0,1,1,1,2,9,379,708,2
8,1,2,1,1,2,9,697,326,2
9,0,1,0,1,2,9,884,570,2
10,3,4,0,1,2,9,603,421,2
11,6,7,0,0,2,9,335,930,2
12,1,2,0,0,2,9,271,688,2
13,5,6,0,0,2,9,943,847,2
14,2,3,1,1,2,9,697,348,2
15,5,6,1,0,2,9,366,264,2
16,4,5,1,0,2,9,269,382,2
1,6,7,1,0,3,9,652,938,2
2,4,5,0,0,3,9,987,315,2
3,3,4,1,0,3,9,816,713,2
4,7,8,0,1,3,9,431,578,2
5,7,8,1,1,3,9,524,345,2
6,2,3,0,1,3,9,617,526,2
7,0,1,1,1,3,9,925,531,2
8,1,2,1,1,3,9,601,902,2
9,0,1,0,1,3,9,291,299,2
10,3,4,0,1,3,9,350,422,2
11,6,7,0,0,3,9,435,318,2
12,1,2,0,0,3,9,943,265,2
13,5,6,0,0,3,9,410,802,2
14,2,3,1,1,3,9,267,424,2
15,5,6,1,0,3,9,493,709,2
16,4,5,1,0,3,9,548,264,2
1,6,7,1,0,4,9,354,327,2
2,4,5,0,0,4,9,346,921,2
3,3,4,1,0,4,9,378,484,2
4,7,8,0,1,4,9,328,311,2
5,7,8,1,1,4,9,338,294,2
6,2,3,0,1,4,9,898,332,2
7,0,1,1,1,4,9,712,443,2
8,1,2,1,1,4,9,383,465,2
9,0,1,0,1,4,9,361,323,2
10,3,4,0,1,4,9,505,470,2
11,6,7,0,0,4,9,363,717,2
12,1,2,0,0,4,9,306,323,2
13,5,6,0,0,4,9,289,299,2
14,2,3,1,1,4,9,706,909,2
15,5,6,1,0,4,9,625,633,2
16,4,5,1,0,4,9,444,251,2
1,6,7,1,0,5,9,502,252,2
2,4,5,0,0,5,9,357,980,2
3,3,4,1,0,5,9,504,625,2
4,7,8,0,1,5,9,647,421,2
5,7,8,1,1,5,9,254,523,2
6,2,3,0,1,5,9,308,502,2
7,0,1,1,1,5,9,350,433,2
8,1,2,1,1,5,9,263,449,2
9,0,1,0,1,5,9,407,404,2
10,3,4,0,1,5,9,602,448,2
11,6,7,0,0,5,9,338,402,2
12,1,2,0,0,5,9,303,485,2
