trial_n,gen,condition,task,ITI,ISI,block
1,0,0,4,728,933,1
2,5,0,4,819,649,1
3,6,0,4,696,616,1
4,6,0,4,499,825,1
5,8,0,4,345,376,1
6,0,0,4,777,444,1
7,3,0,4,339,784,1
8,1,0,4,404,768,1
9,8,0,4,431,865,1
10,3,0,4,342,387,1
11,4,0,4,287,426,1
12,7,0,4,602,742,1
13,1,0,4,779,517,1
14,2,0,4,310,723,1
15,7,0,4,671,601,1
16,4,0,4,767,692,1
17,5,0,4,346,273,1
18,2,0,4,450,252,1
1,6,1,4,823,658,1
2,1,1,4,283,333,1
3,4,1,4,719,562,1
4,0,1,4,258,831,1
5,5,1,4,996,453,1
6,4,1,4,395,685,1
7,7,1,4,598,350,1
8,6,1,4,399,424,1
9,5,1,4,303,361,1
10,8,1,4,846,340,1
11,8,1,4,843,394,1
12,1,1,4,509,267,1
13,2,1,4,443,349,1
14,2,1,4,401,369,1
15,7,1,4,301,553,1
16,0,1,4,325,524,1
17,3,1,4,441,467,1
18,3,1,4,347,863,1
1,4,2,4,509,300,1
2,7,2,4,799,313,1
3,3,2,4,582,709,1
4,0,2,4,921,434,1
5,1,2,4,784,611,1
6,8,2,4,288,581,1
7,8,2,4,767,423,1
8,3,2,4,753,510,1
9,2,2,4,337,428,1
10,2,2,4,708,943,1
11,4,2,4,337,353,1
12,6,2,4,258,707,1
13,1,2,4,257,926,1
14,6,2,4,397,777,1
15,5,2,4,647,454,1
16,0,2,4,377,501,1
17,5,2,4,486,602,1
18,7,2,4,345,539,1
1,2,3,4,386,390,1
2,1,3,4,694,778,1
3,4,3,4,395,562,1
4,5,3,4,307,301,1
5,8,3,4,697,561,1
6,8,3,4,288,340,1
7,3,3,4,499,504,1
8,7,3,4,287,354,1
9,4,3,4,574,255,1
10,0,3,4,918,677,1
11,7,3,4,456,397,1
12,0,3,4,935,875,1
13,6,3,4,747,358,1
14,3,3,4,287,733,1
15,5,3,4,803,728,1
16,2,3,4,470,461,1
17,1,3,4,558,310,1
18,6,3,4,311,739,1
1,4,4,4,449,265,1
2,0,4,4,391,461,1
3,4,4,4,432,393,1
4,3,4,4,343,431,1
5,2,4,4,453,781,1
6,7,4,4,319,838,1
7,8,4,4,619,337,1
8,3,4,4,480,643,1
9,2,4,4,858,324,1
10,8,4,4,699,398,1
11,1,4,4,842,444,1
12,5,4,4,399,346,1
13,6,4,4,367,682,1
14,7,4,4,768,595,1
15,5,4,4,303,510,1
16,6,4,4,572,278,1
17,1,4,4,747,355,1
18,0,4,4,316,270,1
1,2,5,4,873,401,1
2,2,5,4,608,677,1
3,0,5,4,855,425,1
4,8,5,4,357,736,1
5,3,5,4,397,857,1
6,8,5,4,290,503,1
7,6,5,4,480,949,1
8,7,5,4,688,918,1
9,7,5,4,351,931,1
10,4,5,4,647,781,1
11,4,5,4,295,727,1
12,1,5,4,354,490,1
13,0,5,4,358,580,1
14,1,5,4,494,577,1
15,6,5,4,353,648,1
16,5,5,4,385,810,1
17,3,5,4,920,782,1
18,5,5,4,367,637,1
1,1,0,4,422,516,2
2,5,0,4,345,457,2
3,1,0,4,302,374,2
4,2,0,4,368,278,2
5,6,0,4,449,374,2
6,5,0,4,894,981,2
7,0,0,4,649,320,2
8,8,0,4,696,540,2
9,4,0,4,346,616,2
10,7,0,4,608,299,2
11,3,0,4,629,371,2
12,0,0,4,297,339,2
13,8,0,4,924,939,2
14,3,0,4,392,261,2
15,2,0,4,260,329,2
16,4,0,4,287,342,2
17,7,0,4,711,302,2
18,6,0,4,311,811,2
1,5,1,4,279,486,2
2,8,1,4,635,660,2
3,6,1,4,546,425,2
4,3,1,4,719,423,2
5,2,1,4,469,380,2
6,7,1,4,616,472,2
7,4,1,4,916,829,2
8,3,1,4,582,403,2
9,7,1,4,694,380,2
10,1,1,4,332,282,2
11,4,1,4,448,536,2
12,0,1,4,421,263,2
13,5,1,4,985,384,2
14,2,1,4,294,264,2
15,8,1,4,457,304,2
16,1,1,4,339,655,2
17,0,1,4,449,596,2
18,6,1,4,267,304,2
1,1,2,4,902,395,2
2,7,2,4,266,645,2
3,7,2,4,253,927,2
4,1,2,4,550,348,2
5,0,2,4,431,561,2
6,5,2,4,342,349,2
7,6,2,4,334,465,2
8,4,2,4,376,831,2
9,2,2,4,382,824,2
10,8,2,4,348,706,2
11,2,2,4,640,334,2
12,0,2,4,997,874,2
13,3,2,4,370,532,2
14,4,2,4,328,863,2
15,3,2,4,543,405,2
16,6,2,4,296,354,2
17,5,2,4,452,708,2
18,8,2,4,518,357,2
1,0,3,4,645,411,2
2,4,3,4,353,423,2
3,1,3,4,394,722,2
4,3,3,4,555,588,2
5,1,3,4,275,341,2
6,6,3,4,359,713,2
7,5,3,4,276,608,2
8,4,3,4,440,777,2
9,7,3,4,911,392,2
10,8,3,4,643,365,2
11,2,3,4,524,629,2
12,8,3,4,269,408,2
13,2,3,4,706,879,2
14,7,3,4,597,601,2
15,5,3,4,673,880,2
16,0,3,4,274,406,2
17,6,3,4,307,399,2
18,3,3,4,282,476,2
1,4,4,4,278,869,2
