trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,1392,798,1,0,0,1
2,100,0,3,916,1412,1,0,1,1
3,100,0,3,1351,773,1,1,1,1
4,100,0,3,1090,1147,1,0,0,0
5,100,0,3,1314,862,1,0,1,1
6,100,0,3,1106,778,1,0,0,1
7,100,0,3,954,767,1,1,0,1
8,100,0,3,760,943,1,0,1,0
9,100,0,3,1107,802,1,0,1,1
10,100,0,3,835,913,1,0,0,1
11,100,0,3,863,1139,1,1,0,0
12,100,0,3,816,791,1,0,1,1
1,100,1,3,797,1067,1,0,1,1
2,100,1,3,828,1187,1,0,0,1
3,100,1,3,1382,755,1,0,1,0
4,100,1,3,1042,1311,1,1,0,1
5,100,1,3,888,825,1,0,0,0
6,100,1,3,1141,952,1,0,0,1
7,100,1,3,921,1366,1,0,1,1
8,100,1,3,1147,1030,1,1,0,1
9,100,1,3,1292,980,1,0,0,0
10,100,1,3,891,1039,1,0,1,1
11,100,1,3,1246,1302,1,1,1,1
12,100,1,3,772,947,1,0,1,1
1,100,2,3,1313,828,1,0,0,1
2,100,2,3,824,773,1,0,1,1
3,100,2,3,1052,799,1,1,1,1
4,100,2,3,802,883,1,0,0,0
5,100,2,3,844,903,1,0,1,0
6,100,2,3,980,1229,1,1,0,1
7,100,2,3,799,1418,1,0,1,1
8,100,2,3,1037,1328,1,0,0,1
9,100,2,3,1101,1409,1,1,0,0
10,100,2,3,1217,1458,1,0,1,1
11,100,2,3,869,1492,1,0,1,1
12,100,2,3,1345,1128,1,0,0,1
1,100,3,3,1251,1017,1,0,1,1
2,100,3,3,807,799,1,0,0,1
3,100,3,3,998,815,1,0,0,1
4,100,3,3,1084,1022,1,1,1,0
5,100,3,3,838,1420,1,1,1,1
6,100,3,3,903,1372,1,0,0,1
7,100,3,3,1030,1099,1,0,0,0
8,100,3,3,1003,878,1,0,0,1
9,100,3,3,786,1476,1,1,1,1
10,100,3,3,1372,1179,1,0,1,0
11,100,3,3,797,1060,1,0,1,1
12,100,3,3,1089,1082,1,0,0,1
