trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,170,1,0,2,485,880,1,2
2,116,0,0,2,563,792,1,0
3,115,1,0,2,499,666,1,0
4,161,0,0,2,319,664,1,0
5,99,1,0,2,882,996,1,0
6,122,1,0,2,962,880,1,0
7,137,0,0,2,375,463,1,0
8,64,0,0,2,810,463,1,0
9,155,1,0,2,774,489,1,0
10,64,0,0,2,499,273,1,0
11,66,1,0,2,461,391,1,0
12,56,1,0,2,810,298,1,0
13,164,0,0,2,988,313,1,0
14,136,0,0,2,988,505,1,0
15,53,1,0,2,848,474,1,0
16,63,1,0,2,810,862,1,0
17,117,0,0,2,594,401,1,0
18,78,1,0,2,252,474,1,0
19,35,0,0,2,595,313,1,0
20,167,0,0,2,760,391,1,0
1,25,1,1,2,519,614,1,2
2,45,0,1,2,299,716,1,0
3,81,0,1,2,370,690,1,0
4,44,1,1,2,413,481,1,0
5,57,1,1,2,719,690,1,0
6,139,0,1,2,400,332,1,0
7,119,1,1,2,519,320,1,0
8,38,0,1,2,489,914,1,0
9,133,0,1,2,778,914,1,0
10,51,1,1,2,575,270,1,0
11,161,1,1,2,299,405,1,0
12,168,0,1,2,575,502,1,0
13,78,0,1,2,626,332,1,0
14,96,1,1,2,586,608,1,0
15,64,0,1,2,531,608,1,0
16,147,1,1,2,270,716,1,0
17,104,0,1,2,575,475,1,0
18,85,1,1,2,270,519,1,0
19,32,0,1,2,575,914,1,0
20,148,1,1,2,299,332,1,0
1,66,1,2,2,319,706,1,2
2,92,0,2,2,621,619,1,0
3,147,1,2,2,823,256,1,0
4,174,1,2,2,823,388,1,0
5,32,0,2,2,410,348,1,0
6,141,1,2,2,619,670,1,0
7,162,1,2,2,703,268,1,0
8,112,0,2,2,735,956,1,0
9,62,1,2,2,559,617,1,0
10,44,0,2,2,974,268,1,0
11,73,0,2,2,619,484,1,0
12,110,1,2,2,974,484,1,0
13,147,0,2,2,907,711,1,0
14,34,0,2,2,823,956,1,0
15,117,1,2,2,364,509,1,0
16,129,0,2,2,619,633,1,0
17,165,0,2,2,562,325,1,0
18,35,1,2,2,931,670,1,0
19,132,0,2,2,815,741,1,0
20,57,1,2,2,803,711,1,0
1,122,1,3,2,547,422,1,2
2,44,0,3,2,508,687,1,0
3,40,1,3,2,425,610,1,0
4,163,0,3,2,633,337,1,0
5,130,0,3,2,467,687,1,0
6,121,1,3,2,659,317,1,0
7,147,0,3,2,425,404,1,0
8,67,1,3,2,681,852,1,0
9,44,0,3,2,429,317,1,0
10,74,0,3,2,547,959,1,0
11,77,1,3,2,446,397,1,0
12,165,0,3,2,547,568,1,0
13,44,1,3,2,547,404,1,0
14,34,1,3,2,911,687,1,0
15,127,0,3,2,446,467,1,0
16,25,1,3,2,659,959,1,0
17,64,0,3,2,637,687,1,0
18,58,1,3,2,467,615,1,0
19,26,0,3,2,330,404,1,0
20,139,1,3,2,467,337,1,0
1,131,1,4,2,270,286,1,2
2,114,0,4,2,914,951,1,0
3,141,1,4,2,758,292,1,0
4,58,0,4,2,939,421,1,0
5,51,1,4,2,270,281,1,0
6,37,0,4,2,643,519,1,0
7,165,1,4,2,551,421,1,0
8,74,0,4,2,318,370,1,0
9,152,0,4,2,270,286,1,0
10,128,1,4,2,758,370,1,0
11,160,1,4,2,908,370,1,0
12,125,0,4,2,333,371,1,0
13,33,0,4,2,551,571,1,0
14,84,1,4,2,704,379,1,0
15,28,0,4,2,270,305,1,0
16,94,0,4,2,598,286,1,0
17,80,1,4,2,556,305,1,0
18,51,0,4,2,365,316,1,0
19,50,1,4,2,373,485,1,0
20,146,1,4,2,908,357,1,0
1,123,0,5,2,280,281,1,0
2,39,1,5,2,500,696,1,2
3,153,1,5,2,911,989,1,0
4,41,0,5,2,753,265,1,0
5,80,1,5,2,538,611,1,0
6,158,1,5,2,397,270,1,0
7,167,0,5,2,615,989,1,0
8,35,0,5,2,601,483,1,0
9,109,1,5,2,274,800,1,0
10,150,1,5,2,471,370,1,0
11,56,0,5,2,640,268,1,0
12,119,0,5,2,565,265,1,0
13,77,1,5,2,519,560,1,0
14,35,0,5,2,808,383,1,0
15,134,1,5,2,395,270,1,0
16,89,0,5,2,558,706,1,0
17,32,0,5,2,428,937,1,0
18,44,1,5,2,280,483,1,0
19,61,1,5,2,565,262,1,0
20,60,0,5,2,342,445,1,0
1,70,1,0,2,430,504,2,0
2,122,0,0,2,559,509,2,0
3,96,1,0,2,709,616,2,0
4,147,1,0,2,650,262,2,0
5,61,0,0,2,707,563,2,0
6,112,1,0,2,320,703,2,0
7,94,1,0,2,517,336,2,0
8,100,0,0,2,504,899,2,0
9,96,0,0,2,559,703,2,0
10,127,1,0,2,681,555,2,0
11,115,0,0,2,681,627,2,0
12,148,1,0,2,347,734,2,0
13,31,0,0,2,517,699,2,0
14,168,0,0,2,650,905,2,0
15,127,1,0,2,695,262,2,0
16,162,0,0,2,320,734,2,0
17,122,1,0,2,517,345,2,0
18,142,0,0,2,954,466,2,0
19,87,0,0,2,495,627,2,0
20,109,1,0,2,430,734,2,0
1,62,0,1,2,859,508,2,0
2,129,1,1,2,823,641,2,0
3,88,0,1,2,422,866,2,0
4,124,1,1,2,905,850,2,0
5,121,1,1,2,352,470,2,0
6,49,0,1,2,859,556,2,0
7,56,0,1,2,273,991,2,0
8,63,1,1,2,396,991,2,0
9,83,1,1,2,352,556,2,0
10,149,0,1,2,324,991,2,0
11,123,0,1,2,720,557,2,0
12,82,1,1,2,577,279,2,0
13,111,0,1,2,780,371,2,0
14,82,1,1,2,324,556,2,0
15,100,0,1,2,640,641,2,0
16,171,1,1,2,392,973,2,0
17,95,0,1,2,440,641,2,0
18,75,0,1,2,577,508,2,0
19,143,1,1,2,588,279,2,0
20,160,1,1,2,823,631,2,0
1,89,0,2,2,310,268,2,0
2,37,0,2,2,326,588,2,0
3,58,1,2,2,307,948,2,0
4,164,1,2,2,371,586,2,0
5,147,0,2,2,296,514,2,0
6,45,1,2,2,352,658,2,0
7,166,0,2,2,501,551,2,0
8,157,1,2,2,815,551,2,0
9,48,0,2,2,326,378,2,0
10,91,1,2,2,408,378,2,0
11,49,0,2,2,496,588,2,0
12,158,1,2,2,747,260,2,0
13,160,0,2,2,431,551,2,0
14,34,1,2,2,501,370,2,0
15,143,0,2,2,304,410,2,0
16,87,0,2,2,368,284,2,0
17,91,1,2,2,307,948,2,0
18,76,1,2,2,543,284,2,0
19,174,0,2,2,747,703,2,0
20,150,1,2,2,402,771,2,0
1,109,1,3,2,732,493,2,0
2,97,0,3,2,251,314,2,0
3,126,0,3,2,898,333,2,0
4,135,1,3,2,514,308,2,0
5,59,0,3,2,336,907,2,0
6,79,1,3,2,898,377,2,0
7,164,1,3,2,632,592,2,0
8,41,0,3,2,405,712,2,0
9,173,1,3,2,685,534,2,0
10,123,0,3,2,898,312,2,0
11,62,1,3,2,405,516,2,0
12,90,1,3,2,404,674,2,0
13,166,0,3,2,278,493,2,0
14,98,1,3,2,947,364,2,0
15,163,0,3,2,947,592,2,0
16,101,0,3,2,740,332,2,0
17,139,1,3,2,711,592,2,0
18,106,0,3,2,376,339,2,0
19,53,1,3,2,530,907,2,0
20,54,0,3,2,791,339,2,0
1,101,0,4,2,286,802,2,0
2,117,1,4,2,660,387,2,0
3,73,1,4,2,383,905,2,0
4,93,0,4,2,497,491,2,0
5,83,1,4,2,809,752,2,0
6,103,0,4,2,439,305,2,0
7,33,1,4,2,653,314,2,0
8,77,0,4,2,439,778,2,0
9,153,1,4,2,809,755,2,0
10,35,1,4,2,350,517,2,0
11,33,0,4,2,350,495,2,0
12,145,1,4,2,350,802,2,0
13,51,0,4,2,293,964,2,0
14,34,1,4,2,897,299,2,0
15,134,0,4,2,653,691,2,0
16,45,1,4,2,428,348,2,0
17,163,0,4,2,448,905,2,0
18,48,0,4,2,365,735,2,0
19,33,1,4,2,293,353,2,0
20,94,0,4,2,365,348,2,0
1,118,1,5,2,301,453,2,0
2,57,0,5,2,347,479,2,0
3,64,1,5,2,777,880,2,0
4,145,1,5,2,366,576,2,0
5,51,0,5,2,366,675,2,0
6,87,1,5,2,442,457,2,0
7,124,0,5,2,777,748,2,0
8,60,0,5,2,364,544,2,0
9,125,1,5,2,301,326,2,0
10,93,0,5,2,871,334,2,0
11,90,0,5,2,347,332,2,0
12,39,1,5,2,347,479,2,0
13,40,0,5,2,442,769,2,0
14,109,1,5,2,388,302,2,0
15,69,0,5,2,289,306,2,0
16,98,0,5,2,387,880,2,0
17,106,1,5,2,310,684,2,0
18,151,1,5,2,741,576,2,0
19,92,0,5,2,387,642,2,0
20,101,1,5,2,418,880,2,0
