trial_n,gen,condition,task,ITI,ISI,block
1,1,0,4,386,334,1
2,7,0,4,780,609,1
3,3,0,4,317,536,1
4,0,0,4,392,341,1
5,7,0,4,616,310,1
6,8,0,4,834,742,1
7,0,0,4,488,335,1
8,3,0,4,266,252,1
9,4,0,4,800,348,1
10,2,0,4,487,403,1
11,8,0,4,613,929,1
12,5,0,4,393,793,1
13,4,0,4,510,560,1
14,6,0,4,433,253,1
15,2,0,4,828,437,1
16,6,0,4,307,353,1
17,5,0,4,403,867,1
18,1,0,4,452,817,1
1,6,1,4,750,492,1
2,3,1,4,880,518,1
3,1,1,4,896,361,1
4,2,1,4,331,500,1
5,3,1,4,468,493,1
6,8,1,4,803,469,1
7,6,1,4,578,339,1
8,7,1,4,289,478,1
9,1,1,4,517,573,1
10,4,1,4,305,914,1
11,4,1,4,741,272,1
12,0,1,4,371,294,1
13,8,1,4,637,872,1
14,2,1,4,899,385,1
15,0,1,4,608,916,1
16,5,1,4,260,388,1
17,5,1,4,983,342,1
18,7,1,4,278,293,1
1,8,2,4,602,891,1
2,5,2,4,554,834,1
3,6,2,4,487,394,1
4,0,2,4,433,595,1
5,4,2,4,488,258,1
6,6,2,4,506,335,1
7,2,2,4,340,394,1
8,7,2,4,435,342,1
9,1,2,4,776,793,1
10,2,2,4,819,545,1
11,5,2,4,703,305,1
12,8,2,4,528,676,1
13,1,2,4,294,304,1
14,7,2,4,294,455,1
15,0,2,4,759,744,1
16,4,2,4,544,329,1
17,3,2,4,431,252,1
18,3,2,4,436,768,1
1,7,3,4,351,729,1
2,4,3,4,293,412,1
3,6,3,4,274,716,1
4,3,3,4,595,465,1
5,1,3,4,554,497,1
6,2,3,4,668,801,1
7,5,3,4,844,538,1
8,6,3,4,506,263,1
9,1,3,4,828,320,1
10,0,3,4,599,259,1
11,8,3,4,315,765,1
12,5,3,4,793,257,1
13,8,3,4,269,758,1
14,3,3,4,997,580,1
15,7,3,4,783,326,1
16,0,3,4,341,736,1
17,2,3,4,376,345,1
18,4,3,4,641,318,1
1,3,4,4,346,593,1
2,3,4,4,503,370,1
