trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,107,1,0,2,767,474,1,2
2,146,0,0,2,400,491,1,0
3,116,1,0,2,446,509,1,0
4,120,0,0,2,940,266,1,0
5,108,1,0,2,796,652,1,0
6,123,0,0,2,576,383,1,0
7,57,1,0,2,926,375,1,0
8,130,1,0,2,338,320,1,0
9,26,0,0,2,293,887,1,0
10,163,0,0,2,408,388,1,0
11,116,1,0,2,332,383,1,0
12,133,0,0,2,856,509,1,0
13,151,0,0,2,277,556,1,0
14,43,1,0,2,899,683,1,0
15,56,0,0,2,702,402,1,0
16,55,0,0,2,408,491,1,0
17,69,1,0,2,702,887,1,0
18,66,0,0,2,332,402,1,0
19,149,1,0,2,767,761,1,0
20,67,1,0,2,403,506,1,0
1,102,0,1,2,699,303,1,0
2,30,0,1,2,749,769,1,0
3,101,1,1,2,721,606,1,2
4,120,1,1,2,320,581,1,0
5,96,0,1,2,774,436,1,0
6,169,0,1,2,721,260,1,0
7,73,1,1,2,440,332,1,0
8,25,1,1,2,442,380,1,0
9,38,0,1,2,705,270,1,0
10,121,1,1,2,451,317,1,0
11,110,0,1,2,306,380,1,0
12,76,0,1,2,390,436,1,0
13,56,1,1,2,703,263,1,0
14,95,1,1,2,451,332,1,0
15,110,0,1,2,548,270,1,0
16,29,1,1,2,349,260,1,0
17,68,1,1,2,306,270,1,0
18,169,0,1,2,355,946,1,0
19,160,0,1,2,442,431,1,0
20,127,1,1,2,295,306,1,0
1,125,1,2,2,643,613,1,2
2,26,0,2,2,619,638,1,0
3,63,1,2,2,858,470,1,0
4,121,0,2,2,946,780,1,0
5,67,0,2,2,908,917,1,0
6,103,1,2,2,336,654,1,0
7,131,0,2,2,696,780,1,0
8,120,0,2,2,858,307,1,0
9,128,1,2,2,606,917,1,0
10,161,0,2,2,643,799,1,0
11,162,1,2,2,418,541,1,0
12,42,0,2,2,946,341,1,0
13,102,0,2,2,392,566,1,0
14,53,1,2,2,418,545,1,0
15,118,1,2,2,349,842,1,0
16,119,0,2,2,908,541,1,0
17,121,1,2,2,349,307,1,0
18,75,0,2,2,548,713,1,0
19,40,1,2,2,606,822,1,0
20,131,1,2,2,392,786,1,0
1,85,1,3,2,388,283,1,2
2,66,0,3,2,570,972,1,0
3,79,1,3,2,746,396,1,0
