trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,47,1,0,2,767,532,1,0
2,66,0,0,2,767,765,1,0
3,67,1,0,2,344,656,1,0
4,83,0,0,2,478,279,1,0
5,153,0,0,2,767,532,1,0
6,90,1,0,2,651,975,1,0
1,161,0,1,2,916,467,1,0
2,67,1,1,2,940,265,1,0
3,28,1,1,2,916,821,1,0
4,48,0,1,2,742,467,1,0
5,162,1,1,2,588,467,1,0
6,94,1,1,2,324,669,1,0
1,68,0,0,2,738,362,2,0
2,149,0,0,2,704,362,2,0
3,163,1,0,2,254,315,2,0
4,50,0,0,2,295,827,2,0
5,37,1,0,2,254,362,2,0
6,115,1,0,2,254,472,2,0
1,174,1,1,2,422,481,2,0
2,126,1,1,2,422,791,2,0
3,38,0,1,2,350,791,2,0
4,29,1,1,2,420,440,2,0
5,87,0,1,2,850,481,2,0
6,156,1,1,2,363,403,2,0
