trial_n,gen,condition,task,ITI,ISI,block
1,1,0,4,413,308,1
2,7,0,4,582,387,1
3,4,0,4,917,354,1
4,8,0,4,312,757,1
5,1,0,4,372,444,1
6,6,0,4,662,759,1
7,2,0,4,276,699,1
8,3,0,4,555,710,1
9,4,0,4,252,311,1
10,0,0,4,592,575,1
11,2,0,4,523,457,1
12,5,0,4,362,335,1
13,5,0,4,484,317,1
14,6,0,4,462,460,1
15,7,0,4,521,807,1
16,8,0,4,295,723,1
17,0,0,4,361,398,1
18,3,0,4,922,430,1
1,6,1,4,776,385,1
2,2,1,4,420,370,1
3,0,1,4,732,530,1
4,3,1,4,358,946,1
5,1,1,4,407,433,1
6,6,1,4,698,356,1
7,1,1,4,374,755,1
8,4,1,4,675,706,1
9,5,1,4,482,732,1
10,8,1,4,391,984,1
11,3,1,4,723,870,1
12,7,1,4,616,713,1
13,8,1,4,528,721,1
14,4,1,4,610,411,1
15,7,1,4,488,297,1
16,5,1,4,833,346,1
17,2,1,4,273,401,1
18,0,1,4,288,260,1
1,2,2,4,526,498,1
2,6,2,4,702,643,1
3,6,2,4,317,290,1
4,8,2,4,757,339,1
5,1,2,4,263,271,1
6,3,2,4,465,411,1
7,7,2,4,777,440,1
8,3,2,4,348,754,1
9,0,2,4,847,407,1
10,0,2,4,797,509,1
11,5,2,4,501,706,1
12,7,2,4,490,412,1
13,4,2,4,391,953,1
14,8,2,4,840,387,1
15,5,2,4,574,457,1
16,1,2,4,696,473,1
17,2,2,4,311,820,1
18,4,2,4,914,347,1
1,2,3,4,329,801,1
2,3,3,4,883,491,1
3,5,3,4,307,411,1
4,5,3,4,280,496,1
5,6,3,4,935,310,1
6,6,3,4,576,402,1
7,8,3,4,671,769,1
8,8,3,4,752,627,1
9,3,3,4,421,377,1
10,7,3,4,963,562,1
11,1,3,4,709,283,1
12,4,3,4,287,357,1
13,1,3,4,292,918,1
14,2,3,4,693,473,1
15,0,3,4,538,936,1
16,4,3,4,528,428,1
17,0,3,4,629,334,1
18,7,3,4,346,333,1
1,0,4,4,312,415,1
2,8,4,4,462,688,1
3,6,4,4,642,423,1
4,8,4,4,598,753,1
5,4,4,4,265,448,1
6,3,4,4,498,455,1
7,2,4,4,542,613,1
8,7,4,4,675,332,1
9,5,4,4,975,640,1
10,4,4,4,736,738,1
11,6,4,4,956,436,1
12,1,4,4,499,738,1
13,2,4,4,489,332,1
14,0,4,4,391,587,1
15,3,4,4,784,258,1
16,5,4,4,563,972,1
17,7,4,4,835,335,1
18,1,4,4,404,350,1
1,8,5,4,714,912,1
2,1,5,4,308,867,1
3,3,5,4,454,673,1
4,1,5,4,831,747,1
5,4,5,4,784,290,1
6,2,5,4,661,445,1
7,7,5,4,512,462,1
8,6,5,4,906,429,1
9,4,5,4,477,752,1
10,8,5,4,620,397,1
11,0,5,4,326,617,1
12,5,5,4,315,993,1
13,3,5,4,892,458,1
14,6,5,4,269,427,1
15,7,5,4,695,282,1
16,5,5,4,759,313,1
17,0,5,4,607,789,1
18,2,5,4,297,442,1
1,0,0,4,373,426,2
2,5,0,4,916,578,2
3,8,0,4,400,952,2
4,4,0,4,366,991,2
5,6,0,4,486,296,2
6,2,0,4,462,962,2
7,2,0,4,384,748,2
8,6,0,4,606,843,2
9,3,0,4,722,289,2
10,4,0,4,983,767,2
11,3,0,4,379,357,2
12,0,0,4,337,794,2
13,1,0,4,615,940,2
14,7,0,4,299,535,2
15,7,0,4,477,819,2
16,5,0,4,258,505,2
17,1,0,4,595,577,2
18,8,0,4,352,976,2
1,3,1,4,286,262,2
2,1,1,4,309,281,2
3,1,1,4,316,786,2
4,6,1,4,837,476,2
5,7,1,4,589,478,2
6,8,1,4,456,797,2
7,4,1,4,289,316,2
8,2,1,4,759,521,2
9,3,1,4,983,398,2
10,5,1,4,332,790,2
11,0,1,4,345,610,2
12,6,1,4,259,491,2
13,0,1,4,255,377,2
14,5,1,4,701,376,2
15,2,1,4,453,764,2
16,7,1,4,653,452,2
17,4,1,4,492,698,2
18,8,1,4,814,830,2
1,0,2,4,788,949,2
2,3,2,4,917,255,2
3,7,2,4,474,487,2
4,6,2,4,448,688,2
5,2,2,4,275,386,2
6,1,2,4,548,509,2
7,4,2,4,956,340,2
8,6,2,4,578,317,2
9,2,2,4,466,761,2
10,1,2,4,656,571,2
11,8,2,4,348,444,2
12,0,2,4,294,290,2
13,5,2,4,299,619,2
14,8,2,4,482,683,2
15,3,2,4,913,422,2
16,4,2,4,268,992,2
17,7,2,4,318,418,2
18,5,2,4,635,578,2
1,1,3,4,413,676,2
2,8,3,4,361,654,2
3,6,3,4,547,944,2
4,5,3,4,267,263,2
5,2,3,4,538,553,2
6,6,3,4,488,791,2
7,4,3,4,278,596,2
8,0,3,4,332,267,2
9,7,3,4,644,574,2
10,1,3,4,747,972,2
11,0,3,4,548,345,2
12,3,3,4,585,993,2
13,4,3,4,280,413,2
14,5,3,4,545,991,2
15,8,3,4,568,363,2
16,2,3,4,321,452,2
17,7,3,4,406,969,2
18,3,3,4,926,281,2
1,7,4,4,933,474,2
2,7,4,4,330,967,2
3,6,4,4,316,951,2
4,2,4,4,348,568,2
