trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,50,1,0,2,735,261,1,0
2,96,0,0,2,457,251,1,0
3,134,1,0,2,493,865,1,0
4,122,0,0,2,782,838,1,0
5,107,0,0,2,735,963,1,0
6,25,1,0,2,571,390,1,0
1,79,0,1,2,443,398,1,0
2,151,1,1,2,794,385,1,0
3,61,0,1,2,394,821,1,0
4,66,0,1,2,943,920,1,0
5,118,1,1,2,943,359,1,0
6,152,0,1,2,557,920,1,0
1,65,0,0,2,660,550,2,0
2,32,0,0,2,342,550,2,0
3,45,1,0,2,260,933,2,0
4,96,1,0,2,548,750,2,0
5,111,0,0,2,342,281,2,0
6,41,0,0,2,777,651,2,0
1,49,0,1,2,576,725,2,0
2,49,1,1,2,592,687,2,0
3,163,0,1,2,296,656,2,0
4,31,1,1,2,773,351,2,0
5,150,1,1,2,821,935,2,0
6,111,0,1,2,773,687,2,0
