trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,971,771,1,0,1,0
2,100,0,3,871,1377,1,0,0,1
3,100,0,3,1226,925,1,0,1,1
4,100,0,3,754,983,1,1,0,1
5,100,0,3,1478,1118,1,0,1,0
6,100,0,3,763,864,1,0,0,1
7,100,0,3,1449,1317,1,0,0,1
8,100,0,3,943,1216,1,1,0,1
9,100,0,3,860,968,1,0,1,0
10,100,0,3,1238,882,1,0,0,1
11,100,0,3,988,840,1,1,1,1
12,100,0,3,1263,1185,1,0,1,1
1,100,1,3,938,1147,1,0,0,1
2,100,1,3,1470,1080,1,0,0,1
3,100,1,3,941,1006,1,0,1,0
4,100,1,3,1061,1101,1,1,0,1
5,100,1,3,818,1336,1,0,1,1
6,100,1,3,1438,1029,1,0,1,0
7,100,1,3,1254,884,1,1,1,1
8,100,1,3,1069,1131,1,0,0,1
9,100,1,3,1225,877,1,0,1,0
10,100,1,3,840,1000,1,1,0,1
11,100,1,3,758,1419,1,0,1,1
12,100,1,3,1289,1359,1,0,0,1
1,100,2,3,980,867,1,0,1,1
2,100,2,3,823,819,1,0,0,1
3,100,2,3,996,767,1,1,1,1
4,100,2,3,787,954,1,0,0,0
5,100,2,3,1185,1022,1,0,1,1
6,100,2,3,852,1204,1,0,0,1
7,100,2,3,864,822,1,1,1,0
8,100,2,3,1031,1143,1,0,0,1
9,100,2,3,959,1489,1,1,0,1
10,100,2,3,1058,781,1,0,1,1
11,100,2,3,835,937,1,0,0,0
12,100,2,3,1350,1184,1,0,1,1
1,100,3,3,787,805,1,0,0,1
2,100,3,3,1197,1350,1,0,1,1
3,100,3,3,826,1377,1,0,0,1
4,100,3,3,777,1251,1,1,0,0
5,100,3,3,994,755,1,0,1,1
6,100,3,3,1329,1244,1,0,1,0
7,100,3,3,1167,1046,1,0,0,1
8,100,3,3,938,1461,1,1,1,1
9,100,3,3,789,1492,1,0,1,0
10,100,3,3,1250,1005,1,0,0,1
11,100,3,3,858,844,1,0,0,1
12,100,3,3,867,1186,1,1,1,1
1,100,4,3,1102,833,1,0,0,1
2,100,4,3,1325,1229,1,0,1,1
3,100,4,3,782,820,1,1,1,0
4,100,4,3,1387,842,1,0,0,1
5,100,4,3,839,1047,1,0,1,1
6,100,4,3,753,844,1,0,0,1
7,100,4,3,903,1106,1,1,0,0
8,100,4,3,1283,1242,1,0,0,1
9,100,4,3,913,1130,1,0,1,1
10,100,4,3,918,755,1,0,0,1
11,100,4,3,942,1470,1,1,1,0
12,100,4,3,1072,1429,1,0,1,1
1,100,5,3,1305,891,1,0,1,1
2,100,5,3,798,816,1,1,1,0
3,100,5,3,846,1342,1,0,0,1
4,100,5,3,794,970,1,0,1,1
5,100,5,3,963,1462,1,0,1,1
6,100,5,3,1041,1014,1,1,0,0
7,100,5,3,1077,949,1,0,0,1
8,100,5,3,954,857,1,0,0,1
9,100,5,3,1023,1481,1,0,1,1
10,100,5,3,1454,824,1,1,0,0
11,100,5,3,1224,771,1,0,0,1
12,100,5,3,1332,1214,1,0,1,1
1,100,0,3,1075,1049,2,0,1,1
2,100,0,3,1080,900,2,1,0,0
3,100,0,3,1221,1301,2,0,1,1
4,100,0,3,1307,1199,2,0,0,1
5,100,0,3,1375,1185,2,0,0,1
6,100,0,3,1013,1057,2,1,1,0
7,100,0,3,862,1082,2,0,1,1
8,100,0,3,1266,1230,2,0,0,1
9,100,0,3,878,1371,2,1,1,1
10,100,0,3,796,1159,2,0,0,0
11,100,0,3,1017,934,2,0,0,1
12,100,0,3,759,836,2,0,1,1
1,100,1,3,1112,1398,2,0,1,1
2,100,1,3,784,846,2,0,0,1
3,100,1,3,1042,1409,2,1,0,1
4,100,1,3,1009,1069,2,0,1,0
