trial_n,gen,condition,task,ITI,ISI,block
1,8,0,4,451,612,1
2,5,0,4,979,670,1
3,0,0,4,781,288,1
4,0,0,4,519,721,1
5,6,0,4,301,781,1
6,1,0,4,529,445,1
7,7,0,4,441,759,1
8,3,0,4,495,482,1
9,2,0,4,263,301,1
10,4,0,4,266,980,1
11,7,0,4,730,438,1
12,5,0,4,764,786,1
13,2,0,4,310,373,1
14,1,0,4,370,315,1
15,6,0,4,607,326,1
16,8,0,4,649,650,1
17,4,0,4,493,670,1
18,3,0,4,637,650,1
1,3,1,4,306,373,1
2,0,1,4,881,307,1
3,1,1,4,663,472,1
4,0,1,4,667,607,1
5,4,1,4,866,739,1
6,8,1,4,466,531,1
7,2,1,4,549,436,1
8,7,1,4,849,393,1
9,7,1,4,256,727,1
10,1,1,4,860,811,1
11,5,1,4,336,744,1
12,6,1,4,569,418,1
13,3,1,4,303,579,1
14,2,1,4,651,556,1
15,8,1,4,493,974,1
16,4,1,4,621,985,1
17,6,1,4,312,385,1
18,5,1,4,253,390,1
1,4,2,4,524,392,1
2,6,2,4,910,328,1
3,8,2,4,412,610,1
4,7,2,4,394,639,1
5,3,2,4,346,560,1
6,5,2,4,391,594,1
7,0,2,4,985,776,1
8,7,2,4,699,528,1
9,2,2,4,333,665,1
10,6,2,4,894,586,1
11,1,2,4,588,490,1
12,3,2,4,283,896,1
13,2,2,4,674,646,1
14,0,2,4,700,573,1
15,1,2,4,398,347,1
16,5,2,4,838,354,1
17,8,2,4,317,266,1
18,4,2,4,318,431,1
1,4,3,4,288,570,1
2,6,3,4,556,405,1
3,3,3,4,494,717,1
4,8,3,4,264,507,1
5,6,3,4,680,965,1
6,0,3,4,853,313,1
7,3,3,4,325,870,1
8,7,3,4,251,769,1
9,5,3,4,916,251,1
10,0,3,4,725,313,1
11,7,3,4,370,616,1
12,8,3,4,530,257,1
13,2,3,4,609,512,1
14,5,3,4,340,367,1
15,4,3,4,399,293,1
16,2,3,4,454,296,1
17,1,3,4,431,712,1
18,1,3,4,340,321,1
1,1,4,4,384,374,1
2,6,4,4,629,764,1
3,8,4,4,699,267,1
4,2,4,4,902,507,1
5,6,4,4,334,500,1
6,7,4,4,757,270,1
7,2,4,4,274,271,1
8,5,4,4,378,664,1
9,0,4,4,253,468,1
10,3,4,4,343,682,1
11,8,4,4,375,470,1
12,1,4,4,468,388,1
13,4,4,4,496,926,1
14,0,4,4,996,792,1
