trial_n,gen,condition,task,ITI,ISI,block
1,7,0,4,504,286,1
2,6,0,4,431,297,1
3,6,0,4,394,307,1
4,8,0,4,532,343,1
5,3,0,4,587,318,1
6,2,0,4,304,896,1
7,7,0,4,382,820,1
8,5,0,4,443,728,1
9,1,0,4,384,488,1
10,4,0,4,333,315,1
11,4,0,4,468,291,1
12,8,0,4,382,309,1
13,5,0,4,721,271,1
14,0,0,4,681,606,1
15,2,0,4,741,402,1
16,0,0,4,477,828,1
17,3,0,4,713,274,1
18,1,0,4,972,261,1
1,7,1,4,302,401,1
2,0,1,4,567,578,1
3,7,1,4,381,777,1
4,8,1,4,703,589,1
5,2,1,4,702,405,1
6,2,1,4,494,347,1
7,6,1,4,487,354,1
8,4,1,4,622,545,1
9,5,1,4,615,586,1
10,6,1,4,438,298,1
11,1,1,4,595,804,1
12,1,1,4,784,546,1
13,4,1,4,521,522,1
14,0,1,4,652,579,1
15,3,1,4,433,470,1
16,3,1,4,252,626,1
17,5,1,4,542,280,1
18,8,1,4,296,609,1
1,0,2,4,574,253,1
2,6,2,4,500,448,1
3,4,2,4,503,405,1
4,2,2,4,867,306,1
5,1,2,4,433,264,1
6,3,2,4,998,433,1
7,4,2,4,382,580,1
8,5,2,4,426,982,1
9,7,2,4,625,817,1
10,3,2,4,802,271,1
11,8,2,4,374,964,1
12,1,2,4,580,302,1
13,6,2,4,477,347,1
14,0,2,4,564,751,1
15,8,2,4,503,659,1
16,7,2,4,428,355,1
17,5,2,4,301,377,1
18,2,2,4,640,512,1
1,7,3,4,446,352,1
2,7,3,4,536,715,1
3,8,3,4,401,577,1
4,0,3,4,716,488,1
5,1,3,4,817,369,1
6,4,3,4,820,255,1
7,2,3,4,781,751,1
8,2,3,4,559,326,1
9,6,3,4,859,293,1
10,6,3,4,400,831,1
11,3,3,4,301,762,1
12,1,3,4,582,331,1
13,0,3,4,319,640,1
14,5,3,4,767,314,1
15,5,3,4,831,487,1
16,4,3,4,303,891,1
17,8,3,4,338,541,1
18,3,3,4,884,501,1
1,1,4,4,894,977,1
2,2,4,4,549,492,1
3,8,4,4,536,938,1
4,7,4,4,458,434,1
5,6,4,4,970,457,1
6,2,4,4,253,258,1
7,7,4,4,445,848,1
8,4,4,4,300,994,1
9,4,4,4,922,343,1
10,5,4,4,265,571,1
11,0,4,4,580,329,1
12,1,4,4,358,466,1
13,5,4,4,274,572,1
14,6,4,4,770,808,1
15,8,4,4,275,405,1
16,3,4,4,311,586,1
17,0,4,4,585,616,1
18,3,4,4,419,351,1
1,0,5,4,766,595,1
2,3,5,4,718,392,1
3,7,5,4,416,866,1
4,4,5,4,568,468,1
5,1,5,4,488,852,1
6,8,5,4,503,906,1
7,3,5,4,811,652,1
8,5,5,4,904,465,1
9,5,5,4,283,368,1
10,2,5,4,383,504,1
11,4,5,4,424,721,1
12,8,5,4,319,667,1
13,7,5,4,955,439,1
14,2,5,4,309,788,1
15,0,5,4,446,545,1
16,6,5,4,475,277,1
17,6,5,4,741,303,1
18,1,5,4,457,557,1
1,6,0,4,442,307,2
2,8,0,4,497,286,2
3,0,0,4,557,785,2
4,4,0,4,670,917,2
5,3,0,4,941,641,2
6,3,0,4,257,649,2
7,7,0,4,364,620,2
8,2,0,4,487,322,2
9,6,0,4,638,362,2
10,1,0,4,517,791,2
11,4,0,4,615,719,2
12,8,0,4,337,255,2
13,7,0,4,645,525,2
14,1,0,4,300,286,2
15,2,0,4,315,357,2
16,0,0,4,502,555,2
17,5,0,4,267,383,2
18,5,0,4,570,370,2
1,5,1,4,666,744,2
2,3,1,4,975,885,2
3,5,1,4,636,587,2
4,2,1,4,835,747,2
5,1,1,4,478,531,2
6,8,1,4,777,952,2
7,6,1,4,283,536,2
8,3,1,4,567,401,2
9,2,1,4,855,444,2
10,4,1,4,462,931,2
11,8,1,4,323,981,2
12,1,1,4,880,441,2
