trial_n,gen,condition,task,ITI,ISI,block
1,3,0,4,986,336,1
2,3,0,4,291,277,1
3,6,0,4,613,642,1
4,6,0,4,350,294,1
5,4,0,4,566,905,1
6,5,0,4,528,273,1
7,5,0,4,250,429,1
8,0,0,4,937,316,1
9,0,0,4,431,340,1
10,8,0,4,281,604,1
11,4,0,4,990,560,1
12,7,0,4,403,488,1
13,2,0,4,329,410,1
14,7,0,4,313,417,1
15,1,0,4,400,314,1
16,8,0,4,489,619,1
17,2,0,4,301,385,1
18,1,0,4,425,756,1
1,1,1,4,985,601,1
2,0,1,4,485,360,1
3,2,1,4,644,498,1
4,1,1,4,629,347,1
5,5,1,4,547,637,1
6,2,1,4,638,303,1
7,0,1,4,266,663,1
8,8,1,4,533,795,1
9,8,1,4,328,370,1
10,7,1,4,692,356,1
11,4,1,4,691,577,1
12,6,1,4,586,675,1
13,5,1,4,639,521,1
14,6,1,4,794,443,1
15,3,1,4,684,763,1
16,3,1,4,534,429,1
17,7,1,4,608,800,1
18,4,1,4,420,755,1
1,3,2,4,707,643,1
2,0,2,4,634,676,1
3,4,2,4,926,465,1
4,1,2,4,627,543,1
5,6,2,4,380,253,1
6,7,2,4,424,415,1
7,7,2,4,714,455,1
8,3,2,4,680,458,1
9,6,2,4,282,498,1
10,0,2,4,324,512,1
11,2,2,4,437,445,1
12,5,2,4,501,915,1
13,5,2,4,286,575,1
14,1,2,4,266,931,1
15,2,2,4,635,707,1
16,8,2,4,296,270,1
17,4,2,4,596,697,1
18,8,2,4,667,274,1
1,8,3,4,948,974,1
2,1,3,4,764,958,1
3,5,3,4,585,374,1
4,6,3,4,338,682,1
5,7,3,4,458,411,1
6,3,3,4,608,848,1
7,1,3,4,538,437,1
8,2,3,4,266,783,1
9,0,3,4,469,272,1
10,2,3,4,703,333,1
11,6,3,4,507,273,1
12,4,3,4,427,657,1
13,3,3,4,699,455,1
14,5,3,4,349,266,1
15,4,3,4,299,442,1
16,0,3,4,286,250,1
17,8,3,4,621,434,1
18,7,3,4,633,349,1
1,7,4,4,353,853,1
2,4,4,4,605,288,1
3,8,4,4,341,402,1
4,3,4,4,491,393,1
5,5,4,4,519,321,1
6,6,4,4,727,276,1
7,8,4,4,895,972,1
8,6,4,4,749,751,1
9,1,4,4,308,718,1
10,2,4,4,288,433,1
11,7,4,4,322,586,1
12,1,4,4,936,603,1
13,0,4,4,993,911,1
14,0,4,4,324,392,1
15,2,4,4,410,676,1
16,3,4,4,925,589,1
17,4,4,4,756,816,1
18,5,4,4,456,683,1
1,6,5,4,873,632,1
2,1,5,4,570,894,1
3,2,5,4,651,932,1
4,4,5,4,565,502,1
5,5,5,4,609,904,1
6,8,5,4,361,657,1
7,4,5,4,499,393,1
8,1,5,4,353,253,1
9,8,5,4,531,387,1
10,6,5,4,665,747,1
11,0,5,4,452,951,1
12,5,5,4,787,545,1
13,0,5,4,615,397,1
14,3,5,4,439,684,1
15,2,5,4,399,407,1
16,3,5,4,981,455,1
17,7,5,4,570,875,1
18,7,5,4,419,682,1
1,3,0,4,506,681,2
2,8,0,4,536,426,2
3,0,0,4,641,753,2
4,4,0,4,893,641,2
5,8,0,4,888,585,2
6,6,0,4,757,536,2
7,5,0,4,461,559,2
8,3,0,4,272,368,2
9,7,0,4,390,503,2
10,4,0,4,260,994,2
11,2,0,4,631,925,2
12,1,0,4,438,519,2
13,6,0,4,520,490,2
14,2,0,4,295,975,2
15,7,0,4,859,276,2
16,1,0,4,841,633,2
17,0,0,4,388,345,2
18,5,0,4,375,514,2
1,4,1,4,877,651,2
2,3,1,4,597,370,2
3,7,1,4,759,413,2
4,1,1,4,551,389,2
5,1,1,4,616,716,2
6,7,1,4,608,675,2
7,0,1,4,701,285,2
8,0,1,4,303,504,2
9,6,1,4,582,478,2
10,2,1,4,656,544,2
11,3,1,4,391,574,2
12,6,1,4,886,593,2
13,8,1,4,643,372,2
14,2,1,4,693,296,2
15,5,1,4,937,669,2
16,5,1,4,543,525,2
17,8,1,4,602,786,2
18,4,1,4,917,326,2
1,7,2,4,444,373,2
2,3,2,4,369,300,2
3,6,2,4,366,958,2
4,0,2,4,763,447,2
5,4,2,4,962,929,2
6,3,2,4,664,467,2
7,2,2,4,833,287,2
8,2,2,4,906,334,2
9,8,2,4,485,642,2
10,5,2,4,288,489,2
11,8,2,4,254,578,2
12,1,2,4,372,656,2
13,1,2,4,968,462,2
14,6,2,4,608,261,2
15,7,2,4,267,704,2
16,4,2,4,501,309,2
17,5,2,4,384,806,2
18,0,2,4,487,652,2
1,0,3,4,380,795,2
2,3,3,4,466,558,2
3,0,3,4,528,592,2
4,8,3,4,420,278,2
5,3,3,4,878,282,2
6,1,3,4,360,664,2
7,2,3,4,262,813,2
8,2,3,4,374,677,2
9,6,3,4,633,982,2
10,7,3,4,380,684,2
11,4,3,4,772,342,2
12,1,3,4,426,677,2
13,5,3,4,338,871,2
14,6,3,4,394,871,2
15,8,3,4,328,371,2
16,4,3,4,378,921,2
17,5,3,4,565,898,2
18,7,3,4,399,343,2
1,0,4,4,678,310,2
2,8,4,4,494,560,2
3,6,4,4,299,443,2
4,7,4,4,542,643,2
5,6,4,4,256,347,2
6,1,4,4,730,295,2
7,2,4,4,486,701,2
8,7,4,4,278,460,2
9,8,4,4,613,780,2
10,3,4,4,827,341,2
