trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,126,0,0,2,950,463,1,0
2,57,0,0,2,299,554,1,0
3,67,1,0,2,586,651,1,2
4,143,1,0,2,665,559,1,0
5,134,0,0,2,384,413,1,0
6,30,1,0,2,619,315,1,0
7,71,0,0,2,301,654,1,0
8,52,1,0,2,340,277,1,0
9,94,0,0,2,299,654,1,0
10,149,0,0,2,637,500,1,0
11,34,1,0,2,399,354,1,0
12,99,0,0,2,493,836,1,0
13,75,1,0,2,553,828,1,0
14,47,1,0,2,769,474,1,0
15,153,0,0,2,410,836,1,0
16,167,1,0,2,482,412,1,0
17,118,0,0,2,263,281,1,0
18,147,1,0,2,301,349,1,0
19,172,0,0,2,562,277,1,0
20,128,1,0,2,289,554,1,0
1,105,1,1,2,397,593,1,2
2,61,1,1,2,255,255,1,0
3,90,0,1,2,542,727,1,0
4,61,1,1,2,585,725,1,0
5,41,0,1,2,747,399,1,0
6,107,0,1,2,683,255,1,0
7,38,1,1,2,407,897,1,0
8,86,0,1,2,407,897,1,0
9,106,1,1,2,747,372,1,0
10,84,1,1,2,365,264,1,0
11,44,0,1,2,514,730,1,0
12,36,1,1,2,364,897,1,0
13,119,1,1,2,510,958,1,0
14,154,0,1,2,461,351,1,0
15,72,0,1,2,365,917,1,0
16,41,1,1,2,514,255,1,0
17,147,0,1,2,255,360,1,0
18,43,1,1,2,621,399,1,0
19,154,0,1,2,697,255,1,0
20,169,0,1,2,399,498,1,0
1,66,1,2,2,342,319,1,2
2,103,0,2,2,328,692,1,0
3,115,0,2,2,620,364,1,0
4,124,1,2,2,336,769,1,0
5,53,1,2,2,807,751,1,0
6,37,0,2,2,336,594,1,0
7,76,1,2,2,498,442,1,0
8,125,0,2,2,336,449,1,0
9,98,1,2,2,360,484,1,0
10,124,1,2,2,514,751,1,0
11,157,0,2,2,360,393,1,0
12,130,0,2,2,720,354,1,0
13,79,1,2,2,453,291,1,0
14,35,0,2,2,613,476,1,0
15,139,1,2,2,807,442,1,0
16,79,1,2,2,336,644,1,0
17,37,0,2,2,269,713,1,0
18,82,0,2,2,853,476,1,0
19,139,1,2,2,988,364,1,0
20,171,0,2,2,528,506,1,0
1,150,1,3,2,326,877,1,2
2,140,1,3,2,587,714,1,0
3,91,0,3,2,434,265,1,0
4,34,0,3,2,427,714,1,0
5,123,1,3,2,746,310,1,0
6,43,1,3,2,509,809,1,0
7,167,0,3,2,286,809,1,0
8,118,1,3,2,987,265,1,0
9,115,1,3,2,339,613,1,0
10,125,0,3,2,787,605,1,0
11,106,0,3,2,444,567,1,0
12,61,1,3,2,573,788,1,0
13,32,0,3,2,380,567,1,0
14,101,1,3,2,587,877,1,0
15,172,0,3,2,719,450,1,0
16,131,0,3,2,549,445,1,0
17,159,1,3,2,329,395,1,0
18,156,0,3,2,587,450,1,0
19,102,1,3,2,380,262,1,0
20,50,0,3,2,598,310,1,0
1,153,1,4,2,863,377,1,2
2,156,1,4,2,529,254,1,0
3,143,0,4,2,521,322,1,0
4,129,0,4,2,554,490,1,0
5,55,1,4,2,521,514,1,0
6,106,0,4,2,578,874,1,0
7,156,1,4,2,556,571,1,0
8,141,0,4,2,269,288,1,0
9,27,0,4,2,728,874,1,0
10,141,1,4,2,560,385,1,0
11,80,0,4,2,371,385,1,0
12,138,0,4,2,703,259,1,0
13,173,1,4,2,678,427,1,0
14,77,1,4,2,624,643,1,0
15,117,0,4,2,347,571,1,0
16,109,0,4,2,371,259,1,0
17,121,1,4,2,554,427,1,0
18,68,1,4,2,794,405,1,0
19,132,0,4,2,593,846,1,0
20,101,1,4,2,347,385,1,0
1,166,1,5,2,553,317,1,2
2,60,1,5,2,802,297,1,0
3,85,0,5,2,527,820,1,0
4,128,0,5,2,553,751,1,0
5,56,1,5,2,741,968,1,0
6,72,0,5,2,891,968,1,0
7,129,0,5,2,827,296,1,0
8,152,1,5,2,368,275,1,0
9,84,1,5,2,553,751,1,0
10,118,0,5,2,470,376,1,0
11,149,1,5,2,614,832,1,0
12,86,0,5,2,286,418,1,0
13,101,0,5,2,932,490,1,0
14,113,1,5,2,991,482,1,0
15,113,1,5,2,802,920,1,0
16,154,0,5,2,403,718,1,0
17,84,0,5,2,396,406,1,0
18,130,1,5,2,614,366,1,0
19,106,0,5,2,678,251,1,0
20,35,1,5,2,322,601,1,0
1,42,1,0,2,264,480,2,0
2,53,1,0,2,334,368,2,0
3,72,0,0,2,662,420,2,0
4,122,0,0,2,393,297,2,0
5,89,1,0,2,761,523,2,0
6,109,0,0,2,323,420,2,0
7,102,0,0,2,849,856,2,0
8,72,1,0,2,959,420,2,0
9,85,0,0,2,486,480,2,0
10,85,1,0,2,423,251,2,0
11,104,0,0,2,761,368,2,0
12,48,1,0,2,959,331,2,0
13,87,0,0,2,393,297,2,0
14,171,1,0,2,264,480,2,0
15,84,0,0,2,286,368,2,0
16,25,1,0,2,304,523,2,0
17,74,0,0,2,761,523,2,0
18,58,1,0,2,855,420,2,0
19,122,0,0,2,332,265,2,0
20,173,1,0,2,599,447,2,0
1,162,1,1,2,554,446,2,0
2,77,1,1,2,255,651,2,0
3,78,0,1,2,369,759,2,0
4,71,1,1,2,373,427,2,0
5,160,1,1,2,788,661,2,0
6,40,0,1,2,373,278,2,0
7,69,0,1,2,547,811,2,0
8,113,1,1,2,314,278,2,0
9,61,0,1,2,429,278,2,0
10,167,0,1,2,339,635,2,0
11,135,1,1,2,288,585,2,0
12,41,0,1,2,255,327,2,0
13,144,0,1,2,779,479,2,0
14,105,1,1,2,373,427,2,0
15,148,0,1,2,554,759,2,0
16,145,0,1,2,559,417,2,0
17,56,1,1,2,547,663,2,0
18,170,1,1,2,310,764,2,0
19,86,0,1,2,718,428,2,0
20,145,1,1,2,325,920,2,0
1,26,1,2,2,594,343,2,0
2,40,0,2,2,429,348,2,0
3,147,0,2,2,583,591,2,0
4,130,1,2,2,418,528,2,0
5,65,1,2,2,812,678,2,0
6,154,0,2,2,546,756,2,0
7,116,0,2,2,651,640,2,0
8,53,1,2,2,587,870,2,0
9,161,0,2,2,812,779,2,0
10,123,1,2,2,812,314,2,0
11,119,1,2,2,565,507,2,0
12,111,0,2,2,812,348,2,0
13,46,1,2,2,527,406,2,0
14,86,1,2,2,320,865,2,0
15,153,0,2,2,587,870,2,0
16,101,1,2,2,876,528,2,0
17,51,0,2,2,262,441,2,0
18,125,0,2,2,573,492,2,0
19,125,1,2,2,418,652,2,0
20,27,0,2,2,719,591,2,0
1,70,0,3,2,797,634,2,0
2,29,0,3,2,482,265,2,0
3,145,1,3,2,736,267,2,0
4,144,1,3,2,346,968,2,0
5,103,0,3,2,479,968,2,0
6,67,1,3,2,482,728,2,0
7,142,0,3,2,267,341,2,0
8,97,0,3,2,482,781,2,0
9,123,1,3,2,331,281,2,0
10,83,1,3,2,370,265,2,0
11,59,0,3,2,479,267,2,0
12,70,1,3,2,976,335,2,0
13,128,0,3,2,548,270,2,0
14,102,1,3,2,548,493,2,0
15,45,0,3,2,956,849,2,0
16,49,1,3,2,936,341,2,0
17,164,0,3,2,956,265,2,0
18,45,1,3,2,964,267,2,0
19,41,0,3,2,427,376,2,0
