trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,114,1,0,2,459,851,1,0
2,31,0,0,2,848,253,1,0
3,165,1,0,2,850,857,1,0
4,170,1,0,2,816,955,1,0
5,173,0,0,2,869,857,1,0
6,117,0,0,2,423,413,1,0
1,94,0,1,2,909,788,1,0
2,30,1,1,2,909,788,1,0
3,125,1,1,2,919,449,1,0
4,96,0,1,2,253,850,1,0
5,128,1,1,2,253,449,1,0
6,75,1,1,2,364,449,1,0
1,47,0,0,2,796,465,2,0
2,76,1,0,2,796,741,2,0
3,129,0,0,2,445,465,2,0
4,152,1,0,2,286,500,2,0
5,142,0,0,2,444,256,2,0
6,151,0,0,2,644,482,2,0
1,140,1,1,2,385,755,2,0
2,131,0,1,2,984,400,2,0
3,49,1,1,2,829,611,2,0
4,33,0,1,2,328,611,2,0
5,108,0,1,2,680,254,2,0
6,116,1,1,2,328,254,2,0
