trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,127,1,0,2,294,869,1,2
2,61,0,0,2,459,304,1,0
3,35,0,0,2,280,991,1,0
4,173,1,0,2,701,991,1,0
5,136,0,0,2,494,810,1,0
6,42,1,0,2,354,443,1,0
7,25,1,0,2,428,390,1,0
8,80,0,0,2,516,701,1,0
9,154,1,0,2,626,927,1,0
10,82,0,0,2,904,927,1,0
11,160,1,0,2,977,443,1,0
12,104,0,0,2,494,443,1,0
13,145,1,0,2,592,263,1,0
14,116,0,0,2,592,723,1,0
15,140,1,0,2,626,772,1,0
16,148,0,0,2,516,772,1,0
17,55,1,0,2,564,942,1,0
18,61,1,0,2,421,723,1,0
19,165,0,0,2,354,335,1,0
20,103,0,0,2,354,544,1,0
1,42,0,1,2,414,263,1,0
2,117,0,1,2,849,576,1,0
3,164,1,1,2,573,403,1,2
4,27,0,1,2,270,838,1,0
5,33,0,1,2,338,616,1,0
6,173,1,1,2,498,341,1,0
7,39,0,1,2,270,403,1,0
8,161,1,1,2,475,539,1,0
9,56,1,1,2,450,403,1,0
10,92,0,1,2,753,589,1,0
11,106,0,1,2,270,576,1,0
12,144,1,1,2,321,305,1,0
13,172,1,1,2,424,284,1,0
14,126,0,1,2,785,262,1,0
15,113,1,1,2,338,643,1,0
16,88,1,1,2,433,325,1,0
17,80,0,1,2,574,263,1,0
18,106,1,1,2,422,395,1,0
19,50,0,1,2,479,258,1,0
20,108,1,1,2,944,643,1,0
1,31,1,2,2,352,301,1,2
2,49,0,2,2,351,443,1,0
3,103,0,2,2,501,430,1,0
4,127,1,2,2,501,577,1,0
5,101,1,2,2,446,794,1,0
6,34,0,2,2,361,417,1,0
7,63,1,2,2,367,924,1,0
8,157,0,2,2,601,608,1,0
9,47,1,2,2,624,430,1,0
10,85,0,2,2,529,608,1,0
11,141,1,2,2,506,916,1,0
12,153,1,2,2,823,577,1,0
13,69,0,2,2,860,707,1,0
14,43,0,2,2,539,397,1,0
15,145,1,2,2,400,301,1,0
16,157,0,2,2,654,683,1,0
17,142,1,2,2,460,391,1,0
18,99,0,2,2,657,627,1,0
19,173,0,2,2,352,627,1,0
20,59,1,2,2,352,301,1,0
1,68,0,3,2,622,398,1,0
2,170,1,3,2,362,550,1,2
3,154,0,3,2,570,693,1,0
4,87,1,3,2,981,557,1,0
5,58,0,3,2,631,280,1,0
6,104,0,3,2,354,550,1,0
7,53,1,3,2,460,459,1,0
8,103,1,3,2,581,700,1,0
9,101,0,3,2,631,850,1,0
10,155,1,3,2,764,550,1,0
11,59,0,3,2,357,465,1,0
12,138,0,3,2,631,808,1,0
13,33,1,3,2,609,663,1,0
14,117,1,3,2,357,660,1,0
15,162,0,3,2,609,693,1,0
16,138,1,3,2,622,693,1,0
17,52,0,3,2,764,318,1,0
18,88,1,3,2,378,280,1,0
19,102,1,3,2,581,528,1,0
20,87,0,3,2,307,412,1,0
1,43,1,4,2,385,747,1,2
2,107,0,4,2,263,701,1,0
3,133,0,4,2,265,735,1,0
4,114,1,4,2,265,251,1,0
5,161,1,4,2,515,635,1,0
6,57,0,4,2,360,671,1,0
7,67,1,4,2,887,278,1,0
8,97,0,4,2,387,286,1,0
9,45,0,4,2,455,817,1,0
10,74,1,4,2,385,372,1,0
11,174,1,4,2,385,251,1,0
12,89,0,4,2,385,671,1,0
13,160,0,4,2,339,884,1,0
14,161,1,4,2,624,278,1,0
15,71,0,4,2,270,817,1,0
16,119,1,4,2,455,300,1,0
17,123,0,4,2,387,884,1,0
18,78,0,4,2,270,300,1,0
19,96,1,4,2,750,572,1,0
20,63,1,4,2,618,251,1,0
1,143,1,5,2,384,268,1,2
2,48,1,5,2,318,627,1,0
3,144,0,5,2,303,301,1,0
4,28,0,5,2,818,787,1,0
5,122,1,5,2,255,442,1,0
6,28,1,5,2,382,451,1,0
7,76,0,5,2,986,301,1,0
8,93,1,5,2,255,301,1,0
9,87,0,5,2,421,648,1,0
10,75,1,5,2,496,520,1,0
11,151,0,5,2,531,371,1,0
12,59,1,5,2,742,520,1,0
13,121,1,5,2,589,267,1,0
14,139,0,5,2,919,371,1,0
15,147,0,5,2,919,660,1,0
16,41,1,5,2,303,554,1,0
17,84,0,5,2,388,509,1,0
18,171,1,5,2,968,464,1,0
19,147,0,5,2,492,371,1,0
20,111,0,5,2,589,363,1,0
1,72,1,0,2,542,352,2,0
2,143,0,0,2,685,327,2,0
3,61,1,0,2,542,525,2,0
4,118,1,0,2,682,525,2,0
5,57,0,0,2,682,702,2,0
6,39,1,0,2,542,460,2,0
7,80,0,0,2,323,269,2,0
8,128,0,0,2,999,254,2,0
9,94,1,0,2,323,461,2,0
10,115,0,0,2,682,460,2,0
11,138,1,0,2,542,737,2,0
12,165,1,0,2,367,324,2,0
13,149,0,0,2,334,460,2,0
14,127,1,0,2,745,712,2,0
15,67,1,0,2,323,712,2,0
16,81,0,0,2,370,712,2,0
17,99,0,0,2,375,738,2,0
18,90,1,0,2,973,254,2,0
19,97,0,0,2,685,738,2,0
20,168,0,0,2,685,918,2,0
1,79,0,1,2,808,950,2,0
2,102,1,1,2,492,718,2,0
3,104,1,1,2,776,706,2,0
4,99,0,1,2,492,811,2,0
5,129,0,1,2,383,855,2,0
6,79,1,1,2,335,379,2,0
7,137,1,1,2,340,811,2,0
8,28,0,1,2,732,431,2,0
9,144,1,1,2,692,641,2,0
10,46,1,1,2,742,811,2,0
11,74,0,1,2,459,296,2,0
12,60,1,1,2,868,744,2,0
13,107,0,1,2,808,397,2,0
14,53,0,1,2,665,481,2,0
15,133,1,1,2,637,463,2,0
16,129,0,1,2,650,787,2,0
17,51,0,1,2,492,431,2,0
18,138,1,1,2,438,855,2,0
19,116,1,1,2,808,308,2,0
20,98,0,1,2,383,933,2,0
1,165,0,2,2,486,565,2,0
2,132,0,2,2,871,624,2,0
3,132,1,2,2,379,527,2,0
4,162,1,2,2,537,793,2,0
5,144,0,2,2,325,594,2,0
6,132,0,2,2,464,841,2,0
7,91,1,2,2,674,910,2,0
8,132,0,2,2,601,322,2,0
9,103,1,2,2,379,565,2,0
10,54,1,2,2,740,624,2,0
11,137,0,2,2,740,516,2,0
12,74,1,2,2,333,404,2,0
13,59,0,2,2,538,312,2,0
14,169,1,2,2,286,404,2,0
15,174,0,2,2,897,910,2,0
16,30,1,2,2,601,338,2,0
17,150,1,2,2,286,404,2,0
18,102,0,2,2,674,861,2,0
19,162,0,2,2,253,591,2,0
20,62,1,2,2,540,964,2,0
1,100,1,3,2,663,554,2,0
2,41,0,3,2,374,278,2,0
3,166,1,3,2,508,670,2,0
4,49,1,3,2,533,427,2,0
5,102,0,3,2,293,545,2,0
6,129,0,3,2,965,938,2,0
7,93,1,3,2,773,670,2,0
8,95,0,3,2,889,670,2,0
9,90,0,3,2,752,415,2,0
10,101,1,3,2,419,288,2,0
11,45,0,3,2,634,278,2,0
12,60,1,3,2,419,874,2,0
13,98,1,3,2,299,475,2,0
14,112,0,3,2,939,781,2,0
15,106,1,3,2,384,924,2,0
16,96,0,3,2,293,670,2,0
17,156,0,3,2,644,290,2,0
18,58,1,3,2,794,670,2,0
19,125,1,3,2,454,678,2,0
20,57,0,3,2,374,874,2,0
1,84,1,4,2,360,582,2,0
2,72,0,4,2,693,847,2,0
3,167,0,4,2,339,325,2,0
4,162,1,4,2,374,530,2,0
5,32,1,4,2,684,325,2,0
6,116,0,4,2,820,803,2,0
7,173,1,4,2,349,803,2,0
8,122,1,4,2,360,339,2,0
9,76,0,4,2,317,633,2,0
10,55,1,4,2,667,256,2,0
11,61,0,4,2,364,321,2,0
12,79,1,4,2,684,328,2,0
13,92,0,4,2,292,681,2,0
14,157,0,4,2,693,525,2,0
15,115,1,4,2,265,343,2,0
16,153,0,4,2,693,325,2,0
17,98,1,4,2,524,942,2,0
18,129,0,4,2,832,582,2,0
19,82,0,4,2,684,525,2,0
20,134,1,4,2,339,321,2,0
1,122,0,5,2,409,681,2,0
2,92,1,5,2,317,325,2,0
3,34,1,5,2,718,325,2,0
4,50,0,5,2,588,958,2,0
5,78,0,5,2,967,421,2,0
6,157,1,5,2,272,958,2,0
7,50,0,5,2,542,423,2,0
8,93,0,5,2,542,741,2,0
9,29,1,5,2,358,340,2,0
10,161,1,5,2,267,421,2,0
11,66,0,5,2,419,861,2,0
12,128,1,5,2,504,399,2,0
13,46,0,5,2,325,458,2,0
14,26,1,5,2,272,399,2,0
15,156,1,5,2,805,876,2,0
16,118,0,5,2,272,888,2,0
17,77,1,5,2,486,876,2,0
18,56,0,5,2,419,709,2,0
19,112,0,5,2,556,356,2,0
20,49,1,5,2,286,421,2,0
