trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,123,1,0,2,666,281,1,2
2,39,0,0,2,416,446,1,0
3,33,0,0,2,269,349,1,0
4,97,1,0,2,416,410,1,0
5,133,0,0,2,329,368,1,0
6,151,1,0,2,397,981,1,0
7,120,0,0,2,666,585,1,0
8,101,1,0,2,463,313,1,0
9,118,1,0,2,711,808,1,0
10,122,0,0,2,509,281,1,0
11,72,1,0,2,993,559,1,0
12,35,1,0,2,397,545,1,0
13,101,0,0,2,674,808,1,0
14,79,0,0,2,397,963,1,0
15,110,1,0,2,341,732,1,0
16,58,1,0,2,416,349,1,0
17,37,0,0,2,329,368,1,0
18,69,0,0,2,329,348,1,0
19,131,1,0,2,827,281,1,0
20,97,0,0,2,874,736,1,0
1,141,0,1,2,454,669,1,0
2,127,0,1,2,368,561,1,0
3,86,1,1,2,513,421,1,2
4,44,0,1,2,317,422,1,0
5,70,1,1,2,714,408,1,0
6,85,0,1,2,317,719,1,0
7,91,0,1,2,596,825,1,0
8,132,1,1,2,714,442,1,0
9,112,0,1,2,857,560,1,0
10,69,1,1,2,450,669,1,0
11,153,1,1,2,625,825,1,0
12,138,0,1,2,596,320,1,0
13,29,0,1,2,306,486,1,0
14,91,1,1,2,474,408,1,0
15,124,0,1,2,586,518,1,0
16,166,1,1,2,317,669,1,0
17,26,1,1,2,515,560,1,0
18,104,0,1,2,367,422,1,0
19,47,1,1,2,596,445,1,0
20,27,1,1,2,515,489,1,0
1,106,0,2,2,991,404,1,0
2,30,0,2,2,855,672,1,0
3,26,1,2,2,393,642,1,2
4,57,1,2,2,408,509,1,0
5,60,0,2,2,461,617,1,0
6,97,1,2,2,293,617,1,0
7,58,0,2,2,390,490,1,0
8,157,1,2,2,273,728,1,0
9,37,0,2,2,626,950,1,0
10,27,1,2,2,741,490,1,0
11,72,0,2,2,317,465,1,0
12,118,1,2,2,251,496,1,0
13,164,0,2,2,472,818,1,0
14,47,1,2,2,389,426,1,0
15,63,1,2,2,461,628,1,0
16,164,0,2,2,684,358,1,0
17,35,1,2,2,435,380,1,0
18,124,1,2,2,807,465,1,0
19,114,0,2,2,258,427,1,0
20,75,0,2,2,491,276,1,0
1,139,0,3,2,571,401,1,0
2,77,1,3,2,817,702,1,2
3,35,0,3,2,780,401,1,0
4,71,1,3,2,561,611,1,0
