trial_n,gen,condition,task,ITI,ISI,block
1,3,0,4,399,411,1
2,7,0,4,251,456,1
3,5,0,4,287,377,1
4,1,0,4,307,304,1
5,3,0,4,281,379,1
6,5,0,4,556,251,1
7,0,0,4,335,446,1
8,6,0,4,395,732,1
9,0,0,4,368,702,1
10,4,0,4,457,395,1
11,2,0,4,690,395,1
12,7,0,4,733,524,1
13,8,0,4,507,993,1
14,8,0,4,370,577,1
15,2,0,4,349,281,1
16,1,0,4,979,662,1
17,6,0,4,261,695,1
18,4,0,4,945,300,1
1,0,1,4,367,286,1
2,5,1,4,876,586,1
3,4,1,4,555,455,1
4,7,1,4,773,516,1
5,3,1,4,496,790,1
6,2,1,4,744,293,1
7,1,1,4,671,543,1
8,0,1,4,306,390,1
9,7,1,4,280,924,1
10,4,1,4,775,514,1
11,1,1,4,946,382,1
12,8,1,4,329,436,1
13,8,1,4,571,860,1
14,6,1,4,420,295,1
15,3,1,4,394,301,1
16,2,1,4,364,385,1
17,6,1,4,292,685,1
18,5,1,4,660,918,1
1,4,2,4,704,600,1
2,6,2,4,515,501,1
3,5,2,4,403,658,1
4,3,2,4,387,704,1
5,4,2,4,461,378,1
6,1,2,4,265,892,1
7,7,2,4,277,716,1
8,7,2,4,565,746,1
9,2,2,4,928,976,1
10,3,2,4,571,725,1
11,6,2,4,252,668,1
12,2,2,4,344,680,1
13,0,2,4,253,385,1
14,5,2,4,517,487,1
15,1,2,4,435,486,1
16,8,2,4,609,635,1
17,8,2,4,494,589,1
18,0,2,4,805,724,1
1,3,3,4,414,322,1
2,5,3,4,512,495,1
3,4,3,4,825,293,1
4,8,3,4,533,257,1
5,4,3,4,386,316,1
6,3,3,4,468,339,1
7,1,3,4,253,572,1
8,5,3,4,273,445,1
9,2,3,4,417,331,1
10,1,3,4,294,388,1
11,8,3,4,327,643,1
12,6,3,4,459,448,1
13,2,3,4,563,354,1
14,0,3,4,870,430,1
15,0,3,4,875,595,1
16,7,3,4,344,800,1
17,7,3,4,930,381,1
18,6,3,4,393,330,1
1,8,4,4,948,912,1
2,3,4,4,357,352,1
3,7,4,4,414,447,1
