trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,751,598,1
2,4,5,0,0,0,9,351,282,1
3,3,4,1,0,0,9,675,417,1
4,7,8,0,1,0,9,259,490,1
5,7,8,1,1,0,9,388,395,1
6,2,3,0,1,0,9,829,830,1
7,0,1,1,1,0,9,305,319,1
8,1,2,1,1,0,9,427,762,1
9,0,1,0,1,0,9,621,964,1
10,3,4,0,1,0,9,917,450,1
11,6,7,0,0,0,9,371,980,1
12,1,2,0,0,0,9,727,626,1
13,5,6,0,0,0,9,537,318,1
14,2,3,1,1,0,9,865,408,1
15,5,6,1,0,0,9,306,398,1
16,4,5,1,0,0,9,440,463,1
1,6,7,1,0,1,9,555,347,1
2,4,5,0,0,1,9,423,480,1
3,3,4,1,0,1,9,795,273,1
4,7,8,0,1,1,9,522,843,1
5,7,8,1,1,1,9,662,346,1
6,2,3,0,1,1,9,664,342,1
7,0,1,1,1,1,9,424,479,1
8,1,2,1,1,1,9,653,750,1
9,0,1,0,1,1,9,904,354,1
10,3,4,0,1,1,9,447,826,1
11,6,7,0,0,1,9,981,408,1
12,1,2,0,0,1,9,386,772,1
13,5,6,0,0,1,9,259,318,1
14,2,3,1,1,1,9,582,955,1
15,5,6,1,0,1,9,974,858,1
16,4,5,1,0,1,9,515,279,1
1,6,7,1,0,2,9,854,504,1
2,4,5,0,0,2,9,781,845,1
3,3,4,1,0,2,9,298,552,1
4,7,8,0,1,2,9,349,445,1
5,7,8,1,1,2,9,315,479,1
6,2,3,0,1,2,9,361,269,1
7,0,1,1,1,2,9,773,314,1
8,1,2,1,1,2,9,684,563,1
9,0,1,0,1,2,9,476,319,1
10,3,4,0,1,2,9,588,353,1
11,6,7,0,0,2,9,592,750,1
12,1,2,0,0,2,9,538,787,1
13,5,6,0,0,2,9,284,522,1
14,2,3,1,1,2,9,496,625,1
15,5,6,1,0,2,9,428,527,1
16,4,5,1,0,2,9,378,473,1
1,6,7,1,0,3,9,514,532,1
2,4,5,0,0,3,9,817,945,1
3,3,4,1,0,3,9,813,317,1
4,7,8,0,1,3,9,846,550,1
5,7,8,1,1,3,9,618,574,1
6,2,3,0,1,3,9,547,575,1
7,0,1,1,1,3,9,560,552,1
8,1,2,1,1,3,9,283,299,1
9,0,1,0,1,3,9,675,342,1
10,3,4,0,1,3,9,508,282,1
11,6,7,0,0,3,9,417,865,1
12,1,2,0,0,3,9,741,463,1
13,5,6,0,0,3,9,400,570,1
14,2,3,1,1,3,9,271,446,1
15,5,6,1,0,3,9,428,336,1
16,4,5,1,0,3,9,390,300,1
1,6,7,1,0,4,9,559,351,1
2,4,5,0,0,4,9,262,338,1
3,3,4,1,0,4,9,524,527,1
4,7,8,0,1,4,9,626,661,1
5,7,8,1,1,4,9,528,434,1
6,2,3,0,1,4,9,843,448,1
7,0,1,1,1,4,9,460,776,1
8,1,2,1,1,4,9,289,930,1
9,0,1,0,1,4,9,328,526,1
10,3,4,0,1,4,9,867,513,1
11,6,7,0,0,4,9,510,327,1
12,1,2,0,0,4,9,881,340,1
13,5,6,0,0,4,9,566,752,1
14,2,3,1,1,4,9,558,777,1
15,5,6,1,0,4,9,260,300,1
16,4,5,1,0,4,9,534,505,1
1,6,7,1,0,5,9,625,530,1
2,4,5,0,0,5,9,428,829,1
3,3,4,1,0,5,9,297,302,1
4,7,8,0,1,5,9,343,510,1
5,7,8,1,1,5,9,519,473,1
6,2,3,0,1,5,9,324,802,1
7,0,1,1,1,5,9,304,429,1
8,1,2,1,1,5,9,589,665,1
9,0,1,0,1,5,9,783,276,1
10,3,4,0,1,5,9,291,674,1
11,6,7,0,0,5,9,631,737,1
12,1,2,0,0,5,9,854,259,1
13,5,6,0,0,5,9,453,410,1
14,2,3,1,1,5,9,316,371,1
15,5,6,1,0,5,9,706,725,1
16,4,5,1,0,5,9,782,963,1
1,6,7,1,0,0,9,678,625,2
2,4,5,0,0,0,9,649,325,2
3,3,4,1,0,0,9,270,437,2
4,7,8,0,1,0,9,770,709,2
5,7,8,1,1,0,9,439,892,2
6,2,3,0,1,0,9,252,789,2
7,0,1,1,1,0,9,646,291,2
8,1,2,1,1,0,9,509,685,2
9,0,1,0,1,0,9,353,442,2
10,3,4,0,1,0,9,711,738,2
11,6,7,0,0,0,9,981,315,2
12,1,2,0,0,0,9,265,635,2
13,5,6,0,0,0,9,500,401,2
14,2,3,1,1,0,9,378,421,2
15,5,6,1,0,0,9,337,606,2
16,4,5,1,0,0,9,588,636,2
1,6,7,1,0,1,9,287,287,2
2,4,5,0,0,1,9,700,266,2
3,3,4,1,0,1,9,919,409,2
4,7,8,0,1,1,9,607,322,2
5,7,8,1,1,1,9,305,393,2
6,2,3,0,1,1,9,276,937,2
7,0,1,1,1,1,9,383,492,2
8,1,2,1,1,1,9,398,930,2
9,0,1,0,1,1,9,426,494,2
10,3,4,0,1,1,9,552,284,2
11,6,7,0,0,1,9,868,328,2
12,1,2,0,0,1,9,745,472,2
13,5,6,0,0,1,9,692,891,2
14,2,3,1,1,1,9,275,784,2
15,5,6,1,0,1,9,429,679,2
16,4,5,1,0,1,9,380,324,2
1,6,7,1,0,2,9,952,526,2
2,4,5,0,0,2,9,544,659,2
3,3,4,1,0,2,9,425,744,2
4,7,8,0,1,2,9,443,974,2
5,7,8,1,1,2,9,557,787,2
6,2,3,0,1,2,9,281,960,2
7,0,1,1,1,2,9,536,663,2
8,1,2,1,1,2,9,301,454,2
9,0,1,0,1,2,9,422,404,2
10,3,4,0,1,2,9,461,616,2
11,6,7,0,0,2,9,677,470,2
12,1,2,0,0,2,9,278,712,2
13,5,6,0,0,2,9,367,423,2
14,2,3,1,1,2,9,884,316,2
15,5,6,1,0,2,9,799,390,2
16,4,5,1,0,2,9,435,541,2
1,6,7,1,0,3,9,292,319,2
2,4,5,0,0,3,9,585,981,2
3,3,4,1,0,3,9,347,710,2
4,7,8,0,1,3,9,496,789,2
5,7,8,1,1,3,9,440,300,2
6,2,3,0,1,3,9,529,312,2
7,0,1,1,1,3,9,497,350,2
8,1,2,1,1,3,9,716,652,2
9,0,1,0,1,3,9,675,274,2
10,3,4,0,1,3,9,512,768,2
11,6,7,0,0,3,9,534,282,2
12,1,2,0,0,3,9,493,426,2
13,5,6,0,0,3,9,779,370,2
14,2,3,1,1,3,9,608,586,2
15,5,6,1,0,3,9,623,673,2
16,4,5,1,0,3,9,295,412,2
1,6,7,1,0,4,9,640,596,2
2,4,5,0,0,4,9,475,462,2
3,3,4,1,0,4,9,280,324,2
4,7,8,0,1,4,9,446,988,2
5,7,8,1,1,4,9,654,675,2
6,2,3,0,1,4,9,724,495,2
7,0,1,1,1,4,9,307,877,2
8,1,2,1,1,4,9,374,744,2
9,0,1,0,1,4,9,792,830,2
10,3,4,0,1,4,9,420,534,2
11,6,7,0,0,4,9,393,554,2
12,1,2,0,0,4,9,271,281,2
13,5,6,0,0,4,9,813,438,2
14,2,3,1,1,4,9,686,523,2
15,5,6,1,0,4,9,625,506,2
16,4,5,1,0,4,9,597,730,2
1,6,7,1,0,5,9,346,699,2
2,4,5,0,0,5,9,407,906,2
3,3,4,1,0,5,9,447,343,2
4,7,8,0,1,5,9,367,420,2
5,7,8,1,1,5,9,303,269,2
6,2,3,0,1,5,9,359,290,2
7,0,1,1,1,5,9,391,404,2
8,1,2,1,1,5,9,791,559,2
9,0,1,0,1,5,9,857,314,2
10,3,4,0,1,5,9,382,372,2
11,6,7,0,0,5,9,271,254,2
12,1,2,0,0,5,9,845,321,2
13,5,6,0,0,5,9,411,329,2
14,2,3,1,1,5,9,258,722,2
15,5,6,1,0,5,9,561,949,2
16,4,5,1,0,5,9,361,556,2
