trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,332,537,1
2,4,5,0,0,0,9,277,942,1
3,3,4,1,0,0,9,427,914,1
4,7,8,0,1,0,9,674,595,1
5,7,8,1,1,0,9,342,289,1
6,2,3,0,1,0,9,339,758,1
7,0,1,1,1,0,9,680,572,1
8,1,2,1,1,0,9,688,376,1
9,0,1,0,1,0,9,861,534,1
10,3,4,0,1,0,9,641,261,1
11,6,7,0,0,0,9,308,709,1
12,1,2,0,0,0,9,882,531,1
13,5,6,0,0,0,9,260,830,1
14,2,3,1,1,0,9,358,791,1
15,5,6,1,0,0,9,651,470,1
16,4,5,1,0,0,9,898,488,1
1,6,7,1,0,1,9,800,426,1
2,4,5,0,0,1,9,291,405,1
3,3,4,1,0,1,9,817,284,1
4,7,8,0,1,1,9,702,291,1
5,7,8,1,1,1,9,601,698,1
6,2,3,0,1,1,9,414,507,1
7,0,1,1,1,1,9,687,269,1
8,1,2,1,1,1,9,817,436,1
9,0,1,0,1,1,9,323,601,1
10,3,4,0,1,1,9,837,302,1
11,6,7,0,0,1,9,300,358,1
12,1,2,0,0,1,9,350,280,1
13,5,6,0,0,1,9,287,960,1
14,2,3,1,1,1,9,586,305,1
15,5,6,1,0,1,9,628,546,1
16,4,5,1,0,1,9,398,341,1
1,6,7,1,0,2,9,948,540,1
2,4,5,0,0,2,9,533,352,1
3,3,4,1,0,2,9,285,423,1
4,7,8,0,1,2,9,644,965,1
5,7,8,1,1,2,9,811,316,1
6,2,3,0,1,2,9,270,876,1
7,0,1,1,1,2,9,473,454,1
8,1,2,1,1,2,9,360,421,1
9,0,1,0,1,2,9,924,523,1
10,3,4,0,1,2,9,765,801,1
11,6,7,0,0,2,9,348,869,1
12,1,2,0,0,2,9,321,399,1
13,5,6,0,0,2,9,495,705,1
14,2,3,1,1,2,9,619,675,1
15,5,6,1,0,2,9,415,467,1
16,4,5,1,0,2,9,952,372,1
1,6,7,1,0,3,9,616,664,1
2,4,5,0,0,3,9,519,317,1
3,3,4,1,0,3,9,690,417,1
4,7,8,0,1,3,9,604,392,1
5,7,8,1,1,3,9,916,424,1
6,2,3,0,1,3,9,600,743,1
7,0,1,1,1,3,9,324,633,1
8,1,2,1,1,3,9,346,396,1
9,0,1,0,1,3,9,775,554,1
10,3,4,0,1,3,9,528,387,1
11,6,7,0,0,3,9,649,633,1
12,1,2,0,0,3,9,524,254,1
13,5,6,0,0,3,9,487,427,1
14,2,3,1,1,3,9,273,673,1
15,5,6,1,0,3,9,255,330,1
16,4,5,1,0,3,9,367,577,1
1,6,7,1,0,4,9,716,973,1
2,4,5,0,0,4,9,750,257,1
3,3,4,1,0,4,9,671,590,1
4,7,8,0,1,4,9,388,770,1
5,7,8,1,1,4,9,470,424,1
6,2,3,0,1,4,9,601,313,1
7,0,1,1,1,4,9,254,791,1
8,1,2,1,1,4,9,649,278,1
9,0,1,0,1,4,9,607,273,1
10,3,4,0,1,4,9,724,510,1
11,6,7,0,0,4,9,666,513,1
12,1,2,0,0,4,9,613,472,1
13,5,6,0,0,4,9,300,543,1
14,2,3,1,1,4,9,548,595,1
15,5,6,1,0,4,9,611,513,1
16,4,5,1,0,4,9,339,399,1
1,6,7,1,0,5,9,402,478,1
2,4,5,0,0,5,9,275,422,1
3,3,4,1,0,5,9,692,361,1
4,7,8,0,1,5,9,450,848,1
5,7,8,1,1,5,9,289,616,1
6,2,3,0,1,5,9,320,378,1
7,0,1,1,1,5,9,645,269,1
8,1,2,1,1,5,9,619,893,1
9,0,1,0,1,5,9,275,754,1
10,3,4,0,1,5,9,879,332,1
11,6,7,0,0,5,9,939,603,1
12,1,2,0,0,5,9,646,422,1
13,5,6,0,0,5,9,378,460,1
14,2,3,1,1,5,9,923,432,1
15,5,6,1,0,5,9,669,318,1
16,4,5,1,0,5,9,831,265,1
1,6,7,1,0,0,9,749,896,2
2,4,5,0,0,0,9,400,529,2
3,3,4,1,0,0,9,596,573,2
4,7,8,0,1,0,9,472,647,2
5,7,8,1,1,0,9,561,339,2
6,2,3,0,1,0,9,959,418,2
7,0,1,1,1,0,9,432,426,2
8,1,2,1,1,0,9,446,670,2
9,0,1,0,1,0,9,640,765,2
10,3,4,0,1,0,9,428,530,2
11,6,7,0,0,0,9,429,380,2
12,1,2,0,0,0,9,486,793,2
13,5,6,0,0,0,9,563,446,2
14,2,3,1,1,0,9,946,387,2
15,5,6,1,0,0,9,636,506,2
16,4,5,1,0,0,9,610,963,2
1,6,7,1,0,1,9,775,745,2
2,4,5,0,0,1,9,273,458,2
3,3,4,1,0,1,9,927,411,2
4,7,8,0,1,1,9,289,774,2
5,7,8,1,1,1,9,859,645,2
6,2,3,0,1,1,9,841,281,2
7,0,1,1,1,1,9,956,565,2
8,1,2,1,1,1,9,663,413,2
9,0,1,0,1,1,9,700,943,2
10,3,4,0,1,1,9,492,744,2
11,6,7,0,0,1,9,295,356,2
12,1,2,0,0,1,9,978,649,2
13,5,6,0,0,1,9,261,501,2
14,2,3,1,1,1,9,299,300,2
15,5,6,1,0,1,9,594,847,2
16,4,5,1,0,1,9,334,468,2
1,6,7,1,0,2,9,303,548,2
2,4,5,0,0,2,9,313,482,2
3,3,4,1,0,2,9,992,318,2
4,7,8,0,1,2,9,394,699,2
5,7,8,1,1,2,9,657,931,2
6,2,3,0,1,2,9,422,718,2
7,0,1,1,1,2,9,255,758,2
8,1,2,1,1,2,9,659,784,2
9,0,1,0,1,2,9,938,998,2
10,3,4,0,1,2,9,521,302,2
11,6,7,0,0,2,9,586,619,2
12,1,2,0,0,2,9,938,291,2
13,5,6,0,0,2,9,432,347,2
14,2,3,1,1,2,9,387,314,2
15,5,6,1,0,2,9,754,665,2
16,4,5,1,0,2,9,743,356,2
1,6,7,1,0,3,9,451,340,2
2,4,5,0,0,3,9,429,830,2
3,3,4,1,0,3,9,606,721,2
4,7,8,0,1,3,9,449,472,2
5,7,8,1,1,3,9,418,793,2
6,2,3,0,1,3,9,613,278,2
7,0,1,1,1,3,9,553,322,2
8,1,2,1,1,3,9,286,660,2
9,0,1,0,1,3,9,472,626,2
10,3,4,0,1,3,9,498,366,2
11,6,7,0,0,3,9,342,361,2
12,1,2,0,0,3,9,454,690,2
13,5,6,0,0,3,9,355,578,2
14,2,3,1,1,3,9,495,285,2
15,5,6,1,0,3,9,798,594,2
16,4,5,1,0,3,9,872,498,2
1,6,7,1,0,4,9,534,516,2
2,4,5,0,0,4,9,316,349,2
3,3,4,1,0,4,9,566,798,2
4,7,8,0,1,4,9,467,451,2
5,7,8,1,1,4,9,779,466,2
6,2,3,0,1,4,9,362,764,2
7,0,1,1,1,4,9,922,796,2
8,1,2,1,1,4,9,273,445,2
9,0,1,0,1,4,9,855,455,2
10,3,4,0,1,4,9,350,970,2
11,6,7,0,0,4,9,310,457,2
12,1,2,0,0,4,9,733,532,2
13,5,6,0,0,4,9,339,863,2
14,2,3,1,1,4,9,616,633,2
15,5,6,1,0,4,9,346,607,2
16,4,5,1,0,4,9,388,407,2
1,6,7,1,0,5,9,280,504,2
2,4,5,0,0,5,9,895,395,2
3,3,4,1,0,5,9,382,554,2
4,7,8,0,1,5,9,452,842,2
5,7,8,1,1,5,9,363,638,2
6,2,3,0,1,5,9,362,736,2
7,0,1,1,1,5,9,292,394,2
8,1,2,1,1,5,9,449,924,2
9,0,1,0,1,5,9,349,879,2
10,3,4,0,1,5,9,290,482,2
11,6,7,0,0,5,9,670,434,2
12,1,2,0,0,5,9,534,357,2
13,5,6,0,0,5,9,523,739,2
14,2,3,1,1,5,9,350,502,2
15,5,6,1,0,5,9,658,345,2
16,4,5,1,0,5,9,444,656,2
