trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,87,1,0,2,500,733,1,0
2,29,0,0,2,852,507,1,0
3,164,1,0,2,371,418,1,0
4,50,0,0,2,394,878,1,0
5,63,0,0,2,778,909,1,0
6,30,1,0,2,445,733,1,0
1,132,0,1,2,293,386,1,0
2,152,1,1,2,286,773,1,0
3,154,0,1,2,956,890,1,0
4,137,0,1,2,286,754,1,0
5,90,1,1,2,700,754,1,0
6,124,1,1,2,670,392,1,0
1,89,1,0,2,646,572,2,0
2,80,0,0,2,978,333,2,0
3,128,1,0,2,575,572,2,0
4,53,0,0,2,407,438,2,0
5,144,0,0,2,939,572,2,0
6,125,1,0,2,691,893,2,0
1,55,1,1,2,809,278,2,0
2,33,1,1,2,488,424,2,0
3,29,0,1,2,391,776,2,0
4,117,1,1,2,391,690,2,0
5,149,1,1,2,676,278,2,0
6,119,0,1,2,809,690,2,0
