trial_n,gen,condition,task,ITI,ISI,block
1,8,0,4,824,267,1
2,6,0,4,432,756,1
3,7,0,4,394,373,1
4,2,0,4,567,782,1
5,1,0,4,291,352,1
6,0,0,4,489,638,1
7,1,0,4,464,394,1
8,4,0,4,605,485,1
9,8,0,4,723,646,1
10,5,0,4,343,262,1
11,3,0,4,437,913,1
12,7,0,4,964,586,1
13,0,0,4,619,491,1
14,4,0,4,868,537,1
15,6,0,4,639,965,1
16,3,0,4,272,332,1
17,5,0,4,685,322,1
18,2,0,4,622,660,1
1,2,1,4,773,639,1
2,0,1,4,974,677,1
3,5,1,4,392,420,1
4,6,1,4,613,609,1
5,3,1,4,285,326,1
6,8,1,4,445,742,1
7,7,1,4,833,945,1
8,4,1,4,604,364,1
9,4,1,4,637,324,1
10,0,1,4,724,469,1
11,1,1,4,850,916,1
12,7,1,4,412,382,1
13,8,1,4,625,330,1
14,2,1,4,509,516,1
15,5,1,4,539,251,1
16,1,1,4,911,495,1
17,6,1,4,269,428,1
18,3,1,4,719,557,1
1,3,2,4,529,930,1
2,5,2,4,594,806,1
3,2,2,4,793,256,1
4,1,2,4,267,277,1
5,7,2,4,588,426,1
6,6,2,4,542,474,1
7,8,2,4,374,868,1
8,1,2,4,816,976,1
9,0,2,4,511,277,1
10,8,2,4,453,682,1
11,4,2,4,406,838,1
12,7,2,4,983,320,1
13,2,2,4,308,328,1
14,3,2,4,559,723,1
15,4,2,4,410,334,1
16,6,2,4,454,675,1
17,5,2,4,444,513,1
18,0,2,4,568,590,1
1,2,3,4,381,683,1
2,1,3,4,653,430,1
3,7,3,4,658,364,1
4,3,3,4,505,348,1
5,3,3,4,460,504,1
6,2,3,4,399,486,1
7,4,3,4,289,296,1
8,8,3,4,799,839,1
9,6,3,4,305,578,1
10,0,3,4,495,468,1
11,4,3,4,269,530,1
12,0,3,4,365,260,1
13,5,3,4,367,421,1
14,1,3,4,448,380,1
15,6,3,4,293,737,1
16,7,3,4,769,474,1
17,8,3,4,795,668,1
18,5,3,4,411,623,1
1,7,4,4,872,886,1
2,7,4,4,575,543,1
3,0,4,4,737,669,1
4,4,4,4,622,492,1
5,1,4,4,360,619,1
6,6,4,4,496,468,1
7,5,4,4,984,415,1
8,8,4,4,439,270,1
9,3,4,4,269,349,1
10,1,4,4,407,324,1
11,0,4,4,372,529,1
12,8,4,4,575,573,1
13,3,4,4,453,700,1
14,2,4,4,996,366,1
15,2,4,4,400,291,1
16,4,4,4,555,409,1
17,6,4,4,732,425,1
18,5,4,4,459,430,1
1,0,5,4,643,360,1
2,3,5,4,498,969,1
3,8,5,4,336,611,1
4,3,5,4,938,666,1
5,2,5,4,357,496,1
6,1,5,4,430,633,1
7,8,5,4,658,546,1
8,6,5,4,289,443,1
9,5,5,4,468,743,1
10,7,5,4,911,261,1
11,1,5,4,401,266,1
12,4,5,4,868,326,1
13,4,5,4,261,296,1
14,0,5,4,437,344,1
15,2,5,4,763,363,1
16,5,5,4,320,638,1
17,7,5,4,443,645,1
18,6,5,4,477,468,1
1,7,0,4,358,418,2
2,0,0,4,483,722,2
3,1,0,4,749,840,2
4,4,0,4,398,552,2
5,5,0,4,493,798,2
6,1,0,4,302,814,2
7,6,0,4,406,730,2
8,7,0,4,268,462,2
9,0,0,4,327,852,2
10,8,0,4,380,468,2
11,3,0,4,284,289,2
12,2,0,4,400,666,2
13,8,0,4,327,674,2
14,3,0,4,812,277,2
15,2,0,4,442,279,2
16,6,0,4,266,301,2
17,4,0,4,843,500,2
18,5,0,4,603,343,2
1,2,1,4,604,448,2
2,2,1,4,868,1000,2
3,6,1,4,291,798,2
4,3,1,4,547,425,2
5,7,1,4,305,308,2
6,4,1,4,380,535,2
7,5,1,4,835,749,2
8,3,1,4,493,657,2
9,1,1,4,422,434,2
10,0,1,4,286,693,2
11,5,1,4,437,588,2
12,6,1,4,424,262,2
13,4,1,4,545,564,2
14,8,1,4,367,391,2
15,1,1,4,513,984,2
16,7,1,4,831,306,2
17,8,1,4,948,616,2
18,0,1,4,321,950,2
1,2,2,4,405,287,2
2,5,2,4,438,357,2
3,1,2,4,367,260,2
4,3,2,4,458,847,2
5,5,2,4,703,474,2
6,7,2,4,689,459,2
7,6,2,4,255,639,2
8,4,2,4,829,622,2
9,2,2,4,265,381,2
10,6,2,4,621,595,2
11,8,2,4,332,535,2
12,0,2,4,382,355,2
13,3,2,4,889,256,2
14,0,2,4,500,300,2
15,7,2,4,320,320,2
16,4,2,4,707,555,2
17,1,2,4,511,305,2
18,8,2,4,291,449,2
1,5,3,4,396,527,2
2,3,3,4,675,337,2
3,1,3,4,733,512,2
4,8,3,4,293,345,2
5,6,3,4,381,659,2
6,0,3,4,597,295,2
7,2,3,4,307,716,2
8,6,3,4,906,792,2
9,4,3,4,410,831,2
10,2,3,4,275,649,2
11,4,3,4,521,907,2
12,1,3,4,868,271,2
13,0,3,4,332,791,2
14,7,3,4,282,624,2
15,7,3,4,253,559,2
16,5,3,4,308,407,2
17,8,3,4,530,412,2
18,3,3,4,646,564,2
1,8,4,4,431,289,2
2,2,4,4,253,384,2
3,1,4,4,517,960,2
4,5,4,4,758,422,2
5,6,4,4,265,297,2
6,7,4,4,614,986,2
7,7,4,4,730,893,2
8,3,4,4,266,597,2
9,8,4,4,685,757,2
10,3,4,4,776,273,2
11,4,4,4,373,875,2
12,0,4,4,273,845,2
13,0,4,4,271,797,2
14,6,4,4,504,448,2
15,1,4,4,398,527,2
16,5,4,4,434,702,2
17,4,4,4,769,643,2
18,2,4,4,500,346,2
1,4,5,4,381,867,2
2,7,5,4,444,512,2
3,8,5,4,660,252,2
4,5,5,4,446,450,2
5,1,5,4,303,534,2
6,8,5,4,461,254,2
7,0,5,4,341,318,2
8,3,5,4,465,686,2
9,5,5,4,344,275,2
10,0,5,4,741,281,2
11,1,5,4,436,625,2
12,4,5,4,400,764,2
13,6,5,4,853,960,2
14,7,5,4,422,379,2
15,2,5,4,685,704,2
16,6,5,4,304,899,2
17,3,5,4,589,270,2
18,2,5,4,508,700,2
